marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento,valor
acer,2017.0,10,12,8.0,não,0,,581.0,HD,TN,não,0.0,250,intermediario,14965
asus,2017.0,10,13,12.0,não,0,2.0,515.0,FULLHD,IPS,não,0.0,500,,18399
samsung,,10,12,12.0,não,0,3.0,32.0,HD,TN,não,250.0,2000,entrada,5162
acer,,10,12,16.0,sim,6,2.0,34.0,4K,AMOLED,não,0.0,250,jogos_premium,18157
asus,2018.0,6,11,8.0,não,0,3.0,408.0,HD,OLED,não,0.0,250,intermediario,11604
lenovo,2020.0,8,8,16.0,sim,6,4.0,111.0,FULLHD,OLED,não,0.0,2000,jogos_intermediarios,12423
acer,2019.0,10,12,2.0,não,0,,427.0,HD,IPS,não,250.0,0,entrada,10524
asus,,12,14,64.0,não,0,3.0,301.0,HD,IPS,não,500.0,2000,entrada,11245
dell,2019.0,4,5,16.0,não,0,3.0,421.0,QUADHD,AMOLED,não,0.0,250,premium,23173
positivo,2019.0,8,13,12.0,não,0,3.0,,HD,TN,não,0.0,250,entrada,6958
,2017.0,12,12,16.0,sim,6,1.0,32.0,4K,TN,não,0.0,250,jogos_intermediarios,10368
acer,,2,3,,não,0,1.0,31.0,HD,IPS,não,2000.0,0,intermediario,4145
dell,2018.0,12,17,16.0,sim,4,,,QUADHD,OLED,não,0.0,1000,jogos_intermediarios,11695
xiaomi,2020.0,4,7,,não,0,3.0,416.0,4K,OLED,não,0.0,500,premium,15888
acer,2012.0,4,4,12.0,não,0,2.0,152.0,HD,TN,não,250.0,0,intermediario,7782
xiaomi,2023.0,6,9,8.0,não,0,,418.0,QUADHD,OLED,não,0.0,1000,premium,17499
samsung,2021.0,8,11,16.0,sim,6,,54.0,QUADHD,TN,não,0.0,500,jogos_intermediarios,9604
huawei,2017.0,10,15,16.0,não,0,2.0,409.0,FULLHD,AMOLED,não,0.0,500,premium,21657
positivo,2018.0,6,6,8.0,não,0,,248.0,HD,IPS,não,0.0,1000,entrada,7397
positivo,2021.0,4,5,,não,0,4.0,239.0,HD,TN,não,250.0,0,entrada,6672
dell,2013.0,6,9,6.0,não,0,,122.0,HD,IPS,não,500.0,0,intermediario,7090
hp,2010.0,4,5,16.0,sim,4,,113.0,4K,TN,não,0.0,1000,jogos_intermediarios,10806
,2023.0,6,12,16.0,não,0,3.0,166.0,HD,TN,não,500.0,2000,entrada,7678
acer,2010.0,10,20,,sim,6,3.0,146.0,FULLHD,TN,não,1000.0,250,,10407
huawei,2022.0,4,8,,não,0,,,FULLHD,OLED,não,0.0,250,,22304
samsung,2010.0,10,18,,não,0,2.0,531.0,4K,IPS,sim,1000.0,250,premium,25150
dell,2013.0,6,6,,não,0,2.0,,4K,OLED,não,250.0,250,premium,23089
lenovo,2020.0,10,16,32.0,não,0,,578.0,FULLHD,VA,não,0.0,250,,21334
razer,2016.0,6,10,,não,0,,,FULLHD,OLED,não,0.0,250,premium,24630
positivo,2018.0,4,5,32.0,não,0,,88.0,HD,TN,não,0.0,250,,5570
huawei,2018.0,4,8,8.0,não,0,3.0,410.0,4K,OLED,não,0.0,1000,premium,19443
razer,2015.0,4,6,,não,0,,,FULLHD,OLED,não,0.0,2000,premium,19367
apple,2014.0,10,14,8.0,não,0,3.0,,4K,OLED,não,500.0,250,premium,20683
razer,2016.0,12,14,,sim,6,,77.0,FULLHD,OLED,não,0.0,2000,jogos_premium,14049
positivo,2016.0,6,12,32.0,não,0,1.0,153.0,HD,IPS,não,0.0,250,entrada,5760
huawei,2018.0,10,17,16.0,não,0,,,FULLHD,OLED,não,0.0,250,premium,24003
asus,2019.0,12,20,32.0,não,0,2.0,44.0,HD,IPS,não,1000.0,0,intermediario,6658
acer,2019.0,4,8,16.0,não,0,2.0,,FULLHD,OLED,não,0.0,250,premium,18052
lenovo,2011.0,10,13,32.0,sim,6,,,FULLHD,OLED,não,2000.0,1000,jogos_premium,17467
xiaomi,2020.0,4,6,8.0,não,0,,,QUADHD,OLED,não,0.0,2000,premium,15523
acer,2014.0,10,17,4.0,não,0,3.0,319.0,FULLHD,IPS,sim,0.0,500,2em1,11891
lenovo,2019.0,4,5,,não,0,,552.0,FULLHD,AMOLED,sim,0.0,2000,2em1,15599
xiaomi,2019.0,10,10,16.0,não,0,,445.0,QUADHD,OLED,não,0.0,2000,premium,22741
huawei,2012.0,4,5,16.0,não,0,,,4K,AMOLED,não,2000.0,250,premium,23782
,2013.0,2,2,8.0,não,0,3.0,544.0,FULLHD,VA,não,500.0,1000,ultraportatil,19862
huawei,2014.0,4,4,16.0,não,0,3.0,,FULLHD,OLED,não,500.0,250,premium,15090
xiaomi,2010.0,8,15,8.0,não,0,2.0,555.0,4K,AMOLED,não,0.0,1000,premium,23188
positivo,2014.0,4,6,4.0,não,0,1.0,160.0,HD,TN,não,250.0,0,entrada,5645
dell,2010.0,4,8,,não,0,,373.0,HD,TN,não,2000.0,0,entrada,8585
dell,2019.0,8,8,8.0,sim,2,,33.0,FULLHD,OLED,não,0.0,250,jogos_entrada,7473
positivo,2023.0,6,7,16.0,não,0,,128.0,HD,IPS,não,500.0,125,entrada,4762
positivo,2019.0,4,6,64.0,não,0,,227.0,HD,TN,não,250.0,0,,8437
apple,2011.0,10,10,,não,0,,582.0,QUADHD,OLED,não,250.0,250,premium,24793
hp,2013.0,2,2,8.0,sim,4,,123.0,FULLHD,IPS,não,500.0,250,jogos_entrada,6938
,2010.0,4,8,12.0,sim,4,4.0,,4K,VA,não,500.0,500,jogos_intermediarios,11784
positivo,2015.0,4,6,6.0,não,0,2.0,117.0,HD,TN,não,1000.0,0,entrada,4609
acer,2010.0,4,8,8.0,não,0,,417.0,QUADHD,OLED,não,1000.0,250,premium,23508
lenovo,2018.0,4,8,32.0,não,0,,105.0,HD,TN,não,1000.0,0,entrada,4807
huawei,2016.0,10,15,8.0,não,0,,,FULLHD,OLED,não,0.0,250,premium,24333
asus,2018.0,4,8,32.0,não,0,,415.0,HD,IPS,não,0.0,2000,entrada,10745
apple,2017.0,12,18,8.0,não,0,,,QUADHD,AMOLED,não,0.0,500,,17820
razer,2013.0,10,19,8.0,não,0,,538.0,FULLHD,AMOLED,não,0.0,500,,22867
positivo,,6,12,4.0,não,0,,175.0,HD,TN,não,2000.0,0,entrada,5467
,2015.0,8,15,32.0,sim,6,3.0,,FULLHD,OLED,não,0.0,2000,jogos_premium,17573
dell,2020.0,4,5,12.0,sim,4,,126.0,FULLHD,IPS,não,0.0,250,jogos_entrada,7422
acer,2022.0,6,11,6.0,não,0,3.0,538.0,FULLHD,AMOLED,sim,0.0,500,2em1,16571
asus,2020.0,8,9,64.0,não,0,1.0,445.0,HD,TN,não,250.0,0,entrada,10609
samsung,2020.0,12,19,8.0,não,0,1.0,105.0,HD,IPS,não,2000.0,0,intermediario,8341
razer,2021.0,10,20,8.0,não,0,,469.0,4K,AMOLED,não,0.0,250,premium,15400
positivo,2023.0,12,12,,não,0,,150.0,HD,IPS,não,250.0,2000,entrada,7335
apple,2015.0,6,10,,não,0,2.0,555.0,FULLHD,OLED,não,0.0,2000,premium,19033
positivo,2013.0,6,6,,não,0,4.0,106.0,HD,IPS,não,2000.0,0,entrada,4789
lenovo,2015.0,8,8,32.0,não,0,3.0,591.0,HD,IPS,não,,0,entrada,13105
xiaomi,2013.0,6,7,16.0,não,0,3.0,,FULLHD,AMOLED,não,0.0,1000,premium,23024
apple,2019.0,10,18,16.0,não,0,2.0,497.0,QUADHD,AMOLED,não,0.0,2000,premium,23251
xiaomi,2015.0,8,10,8.0,não,0,3.0,514.0,QUADHD,AMOLED,não,0.0,2000,,20439
positivo,2018.0,10,10,12.0,não,0,,240.0,HD,IPS,não,1000.0,0,entrada,7161
hp,2019.0,8,16,12.0,sim,4,,127.0,FULLHD,VA,não,0.0,2000,jogos_intermediarios,11485
acer,2014.0,12,14,12.0,sim,6,,102.0,QUADHD,VA,não,1000.0,2000,jogos_intermediarios,12686
,2017.0,8,8,4.0,não,0,1.0,151.0,HD,IPS,não,1000.0,0,entrada,5854
huawei,2014.0,10,14,16.0,não,0,,511.0,QUADHD,AMOLED,não,2000.0,250,premium,18650
apple,2011.0,10,18,8.0,não,0,3.0,,QUADHD,OLED,não,500.0,250,premium,22369
lenovo,2015.0,4,8,,sim,6,1.0,,4K,AMOLED,não,0.0,2000,,22310
,2017.0,4,5,12.0,sim,6,2.0,42.0,FULLHD,IPS,não,0.0,250,,9589
asus,2014.0,6,9,12.0,não,0,,412.0,HD,TN,não,1000.0,0,entrada,9905
,2015.0,10,13,16.0,não,0,,453.0,4K,AMOLED,não,0.0,250,premium,23431
razer,2014.0,4,7,16.0,não,0,,595.0,FULLHD,OLED,não,2000.0,250,,17127
xiaomi,2016.0,4,8,16.0,não,0,,483.0,QUADHD,AMOLED,não,0.0,2000,premium,22074
huawei,2015.0,6,12,16.0,não,0,3.0,,QUADHD,AMOLED,não,0.0,250,premium,19845
,2011.0,2,3,,não,0,1.0,,HD,OLED,não,1000.0,0,intermediario,10625
xiaomi,2018.0,12,16,16.0,não,0,2.0,458.0,FULLHD,OLED,não,,250,premium,22891
xiaomi,2016.0,8,10,8.0,não,0,2.0,406.0,4K,OLED,não,0.0,250,premium,14801
dell,2017.0,6,7,16.0,sim,6,4.0,161.0,FULLHD,AMOLED,não,0.0,250,jogos_premium,20362
hp,2012.0,6,9,2.0,não,0,,,FULLHD,TN,não,2000.0,1000,ultraportatil,18540
,2014.0,12,21,8.0,não,0,3.0,446.0,4K,AMOLED,não,1000.0,250,premium,25115
acer,2023.0,10,12,12.0,sim,4,4.0,76.0,QUADHD,TN,não,0.0,250,jogos_intermediarios,10531
acer,2011.0,2,4,12.0,não,0,2.0,173.0,HD,IPS,não,250.0,0,entrada,5475
acer,2019.0,8,13,2.0,não,0,,400.0,HD,IPS,não,0.0,250,,9250
apple,2021.0,8,10,8.0,não,0,,600.0,QUADHD,AMOLED,não,0.0,500,premium,25610
apple,2017.0,10,18,16.0,não,0,,421.0,QUADHD,OLED,não,0.0,1000,premium,22329
razer,2012.0,8,8,16.0,sim,6,,,QUADHD,OLED,não,2000.0,2000,jogos_premium,25293
acer,2020.0,4,5,8.0,sim,2,4.0,197.0,FULLHD,VA,não,0.0,250,jogos_entrada,7880
xiaomi,2013.0,8,9,16.0,não,0,2.0,571.0,FULLHD,OLED,não,500.0,250,premium,23287
dell,2018.0,10,11,2.0,não,0,,581.0,FULLHD,VA,não,0.0,2000,ultraportatil,17809
dell,,6,12,8.0,não,0,,512.0,QUADHD,OLED,não,250.0,250,premium,23809
xiaomi,2011.0,8,15,16.0,não,0,,475.0,QUADHD,OLED,não,500.0,250,premium,16864
,2016.0,10,18,32.0,sim,6,4.0,37.0,FULLHD,AMOLED,não,0.0,500,jogos_premium,13777
huawei,2013.0,4,7,8.0,não,0,,453.0,4K,OLED,não,500.0,250,premium,22077
,2019.0,6,12,16.0,sim,6,4.0,164.0,4K,OLED,não,0.0,2000,jogos_premium,23708
dell,2016.0,6,12,12.0,não,0,4.0,65.0,HD,IPS,não,250.0,0,intermediario,5504
samsung,2023.0,8,14,16.0,sim,6,4.0,121.0,FULLHD,AMOLED,não,0.0,500,jogos_premium,14407
razer,2023.0,8,12,32.0,sim,12,4.0,136.0,QUADHD,AMOLED,não,0.0,1000,jogos_premium,25498
asus,2016.0,6,11,,não,0,,233.0,FULLHD,AMOLED,sim,0.0,2000,2em1,15274
razer,2013.0,4,5,8.0,não,0,,466.0,QUADHD,AMOLED,não,250.0,250,premium,23732
xiaomi,2021.0,6,7,8.0,não,0,,486.0,FULLHD,OLED,não,0.0,500,premium,17452
apple,2022.0,12,14,8.0,não,0,,519.0,QUADHD,AMOLED,não,0.0,250,premium,16327
,,8,10,,sim,4,1.0,36.0,FULLHD,OLED,não,0.0,500,jogos_entrada,6543
lenovo,2013.0,10,11,16.0,não,0,3.0,,4K,AMOLED,não,1000.0,250,premium,18707
asus,2021.0,4,7,8.0,não,0,2.0,540.0,4K,AMOLED,não,0.0,250,,17669
xiaomi,2013.0,6,11,16.0,não,0,3.0,557.0,4K,AMOLED,não,500.0,250,premium,24084
acer,2010.0,8,15,12.0,sim,6,,,QUADHD,TN,não,250.0,125,jogos_intermediarios,10750
asus,2014.0,6,9,12.0,não,0,,,FULLHD,TN,não,2000.0,500,,17617
samsung,2019.0,10,20,,não,0,3.0,488.0,FULLHD,IPS,sim,0.0,250,2em1,15660
apple,2018.0,12,13,8.0,não,0,,558.0,QUADHD,AMOLED,não,0.0,2000,premium,24308
lenovo,2017.0,4,5,16.0,sim,6,1.0,,4K,IPS,não,0.0,250,jogos_intermediarios,11575
hp,2012.0,10,20,16.0,sim,6,4.0,88.0,FULLHD,TN,não,1000.0,2000,,10900
hp,2010.0,4,7,8.0,não,0,2.0,507.0,FULLHD,IPS,não,500.0,2000,ultraportatil,18257
samsung,2017.0,12,21,,não,0,,,4K,IPS,sim,0.0,1000,premium,21092
hp,2016.0,4,6,16.0,sim,4,,162.0,QUADHD,VA,não,0.0,500,jogos_intermediarios,10101
samsung,2014.0,8,14,4.0,não,0,3.0,425.0,HD,IPS,não,1000.0,0,,9294
xiaomi,2012.0,4,4,,não,0,,,FULLHD,AMOLED,não,0.0,1000,premium,18656
samsung,2012.0,10,10,16.0,sim,6,,173.0,FULLHD,OLED,não,2000.0,1000,jogos_premium,22889
positivo,2010.0,4,6,6.0,não,0,3.0,186.0,HD,TN,não,500.0,0,entrada,5590
lenovo,2015.0,8,14,16.0,sim,6,1.0,81.0,4K,OLED,não,0.0,250,jogos_premium,19130
dell,2020.0,6,6,16.0,não,0,2.0,,FULLHD,IPS,sim,0.0,1000,premium,17855
positivo,2020.0,4,6,8.0,não,0,,,HD,IPS,não,500.0,0,entrada,5487
positivo,2010.0,4,7,2.0,não,0,1.0,277.0,HD,TN,não,2000.0,0,entrada,6920
samsung,2014.0,4,8,2.0,não,0,,589.0,HD,TN,não,250.0,0,entrada,11539
hp,2012.0,2,4,8.0,não,0,3.0,599.0,FULLHD,TN,não,0.0,1000,ultraportatil,17952
samsung,2019.0,8,11,16.0,sim,4,,47.0,QUADHD,IPS,não,0.0,250,jogos_intermediarios,9994
acer,2016.0,4,5,,não,0,2.0,,HD,IPS,não,0.0,1000,entrada,7272
huawei,2014.0,8,14,16.0,não,0,3.0,439.0,QUADHD,AMOLED,não,500.0,250,premium,16174
acer,2019.0,12,22,6.0,não,0,3.0,251.0,FULLHD,IPS,sim,0.0,250,2em1,11985
,2013.0,6,12,16.0,não,0,1.0,259.0,HD,TN,não,2000.0,0,entrada,7273
dell,2019.0,12,14,16.0,sim,6,,,4K,AMOLED,não,0.0,250,jogos_premium,15948
asus,2020.0,10,20,,não,0,2.0,429.0,QUADHD,AMOLED,sim,0.0,500,premium,14933
lenovo,2014.0,12,13,16.0,não,0,,459.0,FULLHD,AMOLED,não,2000.0,250,premium,17098
,2011.0,4,7,16.0,não,0,,573.0,4K,AMOLED,não,1000.0,250,,20955
dell,2015.0,8,12,,sim,6,4.0,,FULLHD,AMOLED,não,0.0,250,jogos_premium,18021
samsung,2011.0,6,6,12.0,sim,4,,,FULLHD,TN,não,250.0,125,jogos_intermediarios,10712
acer,2023.0,8,12,16.0,sim,6,4.0,,4K,VA,não,0.0,2000,jogos_intermediarios,12738
asus,2017.0,8,12,16.0,não,0,,559.0,FULLHD,TN,não,0.0,250,ultraportatil,18886
huawei,2022.0,8,8,16.0,não,0,2.0,510.0,QUADHD,OLED,não,0.0,250,premium,21288
xiaomi,2014.0,8,16,16.0,não,0,3.0,457.0,FULLHD,OLED,não,0.0,250,premium,19706
,2017.0,8,15,8.0,não,0,,457.0,FULLHD,OLED,não,,1000,premium,20343
acer,2014.0,4,6,16.0,não,0,,405.0,4K,OLED,não,1000.0,250,premium,15404
lenovo,2015.0,4,7,16.0,não,0,,411.0,QUADHD,AMOLED,não,0.0,250,premium,21244
,2023.0,8,9,12.0,sim,6,,92.0,4K,IPS,não,0.0,250,jogos_intermediarios,9786
apple,2017.0,10,15,8.0,não,0,,451.0,FULLHD,OLED,não,0.0,250,premium,19656
dell,2016.0,10,13,4.0,não,0,4.0,,HD,TN,não,0.0,2000,entrada,9968
acer,2012.0,4,7,2.0,não,0,3.0,531.0,FULLHD,AMOLED,sim,0.0,1000,2em1,15695
xiaomi,2014.0,10,15,16.0,não,0,,577.0,QUADHD,OLED,não,2000.0,250,premium,22095
xiaomi,2016.0,12,20,16.0,não,0,2.0,558.0,FULLHD,AMOLED,não,0.0,1000,,17336
huawei,2014.0,10,19,16.0,não,0,3.0,404.0,QUADHD,OLED,não,500.0,250,premium,20938
asus,2015.0,10,14,,não,0,3.0,35.0,FULLHD,AMOLED,sim,0.0,250,2em1,7576
positivo,2019.0,10,19,,não,0,,263.0,HD,IPS,não,0.0,250,entrada,9752
,2013.0,10,14,,não,0,2.0,,QUADHD,OLED,não,2000.0,250,premium,24635
lenovo,2015.0,4,6,12.0,sim,6,1.0,157.0,FULLHD,IPS,não,0.0,500,jogos_intermediarios,11002
,2016.0,4,8,16.0,não,0,,31.0,HD,IPS,não,250.0,0,entrada,3451
positivo,2014.0,10,19,,não,0,,74.0,HD,IPS,não,250.0,0,entrada,5451
acer,2010.0,2,3,4.0,não,0,2.0,278.0,FULLHD,AMOLED,sim,250.0,250,2em1,10319
xiaomi,2010.0,8,13,8.0,não,0,,446.0,FULLHD,OLED,não,250.0,250,premium,24005
acer,2017.0,6,12,32.0,sim,6,,155.0,QUADHD,OLED,não,0.0,2000,jogos_premium,15469
xiaomi,2022.0,10,13,16.0,não,0,2.0,503.0,FULLHD,AMOLED,não,0.0,2000,premium,20482
razer,2015.0,10,12,16.0,sim,6,,179.0,FULLHD,AMOLED,não,0.0,500,jogos_premium,24633
dell,2019.0,10,11,12.0,não,0,2.0,562.0,FULLHD,OLED,não,0.0,2000,ultraportatil,16388
razer,2019.0,4,8,8.0,não,0,2.0,,FULLHD,AMOLED,não,0.0,1000,premium,23357
acer,2021.0,12,24,64.0,não,0,4.0,358.0,HD,TN,não,1000.0,0,entrada,11634
,2012.0,6,9,,não,0,2.0,502.0,FULLHD,VA,não,250.0,125,ultraportatil,16632
,2013.0,4,7,16.0,não,0,,440.0,FULLHD,OLED,não,1000.0,250,,17637
huawei,2016.0,4,5,16.0,não,0,2.0,575.0,QUADHD,OLED,não,0.0,1000,,25131
,2017.0,4,5,,não,0,3.0,150.0,HD,IPS,não,250.0,0,entrada,5663
hp,2020.0,12,21,4.0,não,0,3.0,541.0,FULLHD,IPS,não,0.0,2000,ultraportatil,19281
positivo,2014.0,4,4,,não,0,,,HD,TN,não,250.0,0,entrada,5688
acer,2017.0,4,4,64.0,não,0,2.0,79.0,FULLHD,IPS,sim,0.0,250,2em1,11763
asus,2014.0,4,5,,não,0,,,FULLHD,AMOLED,sim,0.0,250,2em1,9686
positivo,2017.0,8,12,16.0,não,0,1.0,,HD,IPS,não,250.0,0,entrada,8185
acer,2018.0,12,16,16.0,sim,6,,64.0,FULLHD,TN,não,0.0,250,jogos_intermediarios,9444
positivo,2022.0,8,15,,não,0,4.0,,HD,IPS,não,250.0,1000,entrada,6746
acer,2023.0,6,11,64.0,não,0,3.0,217.0,HD,TN,não,0.0,2000,intermediario,10208
acer,2022.0,12,14,16.0,não,0,4.0,573.0,HD,TN,não,1000.0,125,entrada,13049
positivo,2019.0,8,15,6.0,não,0,3.0,165.0,HD,TN,não,500.0,0,entrada,6167
samsung,2023.0,8,14,8.0,não,0,,303.0,FULLHD,AMOLED,sim,0.0,1000,2em1,14373
samsung,2018.0,6,9,32.0,não,0,3.0,145.0,FULLHD,AMOLED,sim,0.0,250,2em1,12992
asus,2016.0,4,8,,não,0,,,FULLHD,VA,não,0.0,250,,20449
xiaomi,2019.0,12,22,,não,0,3.0,490.0,4K,OLED,não,0.0,2000,premium,19021
,2023.0,12,17,12.0,não,0,1.0,,HD,TN,não,0.0,250,entrada,5722
lenovo,2022.0,4,6,8.0,sim,2,,168.0,FULLHD,OLED,não,0.0,500,jogos_entrada,8619
xiaomi,2019.0,4,6,,não,0,,465.0,4K,OLED,não,0.0,1000,premium,21631
samsung,2016.0,12,23,12.0,sim,6,1.0,,4K,OLED,não,0.0,2000,jogos_intermediarios,13129
positivo,2016.0,4,4,6.0,não,0,4.0,,HD,IPS,não,1000.0,0,entrada,5878
xiaomi,2010.0,8,12,16.0,não,0,,429.0,4K,AMOLED,não,500.0,250,premium,23636
huawei,,10,20,16.0,não,0,3.0,544.0,QUADHD,AMOLED,não,0.0,250,premium,21187
dell,2010.0,6,9,,sim,2,2.0,78.0,FULLHD,TN,não,500.0,250,jogos_entrada,6606
acer,2019.0,6,10,12.0,sim,4,,195.0,FULLHD,OLED,não,0.0,250,jogos_entrada,9564
dell,2010.0,4,4,,não,0,1.0,,HD,IPS,não,500.0,0,intermediario,7119
acer,2010.0,2,2,8.0,não,0,2.0,577.0,FULLHD,IPS,não,0.0,250,ultraportatil,17363
samsung,2020.0,6,12,4.0,não,0,1.0,37.0,HD,VA,não,250.0,0,intermediario,6186
apple,2013.0,4,7,8.0,não,0,3.0,411.0,FULLHD,OLED,não,0.0,250,premium,19450
positivo,2014.0,10,20,2.0,não,0,,,HD,TN,não,500.0,0,,3819
xiaomi,2023.0,10,19,8.0,não,0,3.0,572.0,FULLHD,OLED,não,0.0,1000,premium,26620
apple,2023.0,6,8,16.0,não,0,,535.0,FULLHD,OLED,não,0.0,250,premium,15649
