Gênero,Ano,Duração,Diretor,Classificação,Idioma,Elenco,Restrição de Idade,Usuário Gosta
Romance,1921,161,Martin Scorsese,5.7,Português,17,16+,Não
Romance,1960,150,Martin Scorsese,7.1,Italiano,13,14+,Não
Comédia,1946,170,Woody Allen,4.5,Alemão,8,16+,Não
Drama,1986,81,Martin Scorsese,3.4,Hindi,3,12+,Não
Ficção Científica,2010,146,Woody Allen,4.8,Português,8,12+,Não
Documentário,1940,102,Ridley Scott,4.3,Japonês,12,16+,Não
Animação,1956,62,Woody Allen,8.6,Alemão,14,Livre,Sim
Comédia,1983,73,Stanley Kubrick,6.7,Hindi,1,14+,Não
Documentário,2020,169,Ridley Scott,1.5,Alemão,18,10+,Sim
Terror,1994,153,Francis Ford Coppola,7.4,Mandarim,3,14+,Não
Animação,2020,179,Quentin Tarantino,5.0,Russo,19,18+,Sim
Drama,2006,138,Martin Scorsese,3.0,Japonês,2,Livre,Sim
Drama,1939,88,Woody Allen,6.7,Hindi,15,16+,Não
Comédia,1983,72,Stanley Kubrick,9.2,Italiano,4,16+,Não
Ação,1988,153,Orson Welles,2.0,Espanhol,4,18+,Não
Thriller,1925,173,Francis Ford Coppola,2.9,Alemão,5,Livre,Sim
Thriller,1954,77,Francis Ford Coppola,10.0,Italiano,14,Livre,Sim
Terror,1940,75,Stanley Kubrick,6.2,Hindi,16,14+,Não
Ação,2003,87,Stanley Kubrick,3.6,Espanhol,7,14+,Não
Animação,1974,99,Steven Spielberg,1.7,Italiano,12,10+,Sim
Documentário,1952,68,Alfred Hitchcock,4.4,Russo,10,18+,Não
Documentário,1971,130,Alfred Hitchcock,8.9,Japonês,19,12+,Não
Comédia,1942,122,Woody Allen,8.0,Alemão,17,Livre,Sim
Drama,1980,76,Ridley Scott,5.7,Alemão,19,10+,Sim
Thriller,1962,168,Orson Welles,8.7,Francês,16,10+,Sim
Thriller,1980,144,Stanley Kubrick,2.4,Inglês,4,10+,Sim
Romance,1960,104,Martin Scorsese,9.6,Italiano,8,Livre,Sim
Terror,2016,163,Orson Welles,6.2,Inglês,20,16+,Não
Drama,1921,84,Alfred Hitchcock,4.5,Inglês,13,18+,Não
Romance,2007,89,Orson Welles,1.0,Russo,18,16+,Não
Animação,2009,128,Martin Scorsese,8.6,Espanhol,11,10+,Sim
Documentário,1986,83,Francis Ford Coppola,2.5,Alemão,8,12+,Não
Animação,2016,167,Martin Scorsese,5.5,Espanhol,17,10+,Sim
Romance,1971,131,Alfred Hitchcock,7.7,Francês,11,Livre,Sim
Romance,1927,150,Martin Scorsese,6.5,Mandarim,16,Livre,Sim
Thriller,1970,117,Christopher Nolan,8.7,Espanhol,9,18+,Sim
Ação,1990,71,Francis Ford Coppola,9.7,Espanhol,7,16+,Não
Ação,1970,163,Woody Allen,6.4,Russo,1,10+,Sim
Romance,1921,148,Francis Ford Coppola,5.1,Japonês,16,12+,Não
Fantasia,1951,124,Alfred Hitchcock,4.7,Hindi,9,12+,Não
Terror,1967,79,Orson Welles,7.9,Inglês,18,12+,Não
Documentário,1952,141,Steven Spielberg,9.4,Português,20,Livre,Sim
Drama,2021,116,Woody Allen,4.5,Inglês,5,12+,Não
Animação,2010,131,Alfred Hitchcock,3.3,Alemão,15,16+,Não
Animação,1951,81,Stanley Kubrick,9.0,Inglês,13,10+,Sim
Comédia,1923,123,Orson Welles,5.6,Inglês,19,Livre,Sim
Documentário,1968,146,Alfred Hitchcock,8.9,Espanhol,17,10+,Sim
Comédia,1960,66,Francis Ford Coppola,8.1,Italiano,15,Livre,Sim
Terror,1958,133,Ridley Scott,5.9,Português,15,10+,Sim
Comédia,1959,96,Stanley Kubrick,2.8,Russo,4,12+,Não
Animação,2022,126,Francis Ford Coppola,5.2,Italiano,5,14+,Não
Thriller,2001,129,Alfred Hitchcock,2.7,Hindi,18,18+,Não
Ação,2015,110,Steven Spielberg,6.5,Espanhol,3,16+,Não
Romance,1944,178,Steven Spielberg,3.7,Hindi,17,12+,Não
Ação,2017,89,Woody Allen,7.0,Hindi,6,14+,Não
Drama,1965,104,Ridley Scott,8.9,Mandarim,17,14+,Não
Documentário,1928,83,Orson Welles,6.8,Português,10,14+,Não
Comédia,1922,135,Francis Ford Coppola,2.1,Russo,6,18+,Não
Drama,1959,78,Martin Scorsese,4.9,Alemão,15,18+,Não
Ação,1963,79,Francis Ford Coppola,6.5,Italiano,2,14+,Não
Comédia,1999,170,Steven Spielberg,1.6,Inglês,18,16+,Não
Ação,2003,152,Christopher Nolan,1.6,Italiano,19,Livre,Sim
Animação,1933,174,Orson Welles,6.3,Inglês,5,16+,Não
Documentário,1959,100,Quentin Tarantino,1.1,Russo,16,Livre,Sim
Terror,2001,74,Quentin Tarantino,1.1,Inglês,19,16+,Sim
Documentário,2002,125,Steven Spielberg,5.5,Português,4,Livre,Sim
Terror,1970,67,Francis Ford Coppola,8.4,Inglês,17,16+,Não
Thriller,1927,133,Francis Ford Coppola,7.3,Japonês,14,14+,Não
Fantasia,1960,67,Orson Welles,8.5,Italiano,13,16+,Não
Documentário,1935,110,Francis Ford Coppola,9.5,Espanhol,7,Livre,Sim
Documentário,1960,93,Stanley Kubrick,5.9,Francês,2,14+,Não
Ação,1975,145,Woody Allen,3.8,Português,20,12+,Não
Thriller,2013,70,Orson Welles,7.3,Inglês,15,18+,Não
Thriller,1930,103,Stanley Kubrick,9.0,Italiano,9,14+,Não
Comédia,1938,137,Francis Ford Coppola,9.9,Português,6,10+,Sim
Terror,1929,135,Stanley Kubrick,6.4,Inglês,20,12+,Não
Ficção Científica,1953,110,Stanley Kubrick,5.1,Espanhol,18,Livre,Sim
Romance,1953,90,Steven Spielberg,6.1,Hindi,12,16+,Não
Romance,1958,143,Ridley Scott,1.7,Hindi,5,12+,Não
Drama,1958,122,Ridley Scott,1.1,Hindi,11,10+,Sim
Comédia,1944,124,Martin Scorsese,6.6,Mandarim,4,12+,Não
Ação,1992,93,Orson Welles,5.2,Hindi,3,Livre,Sim
Animação,1932,159,Martin Scorsese,3.4,Francês,13,12+,Não
Comédia,1999,179,Alfred Hitchcock,7.5,Hindi,9,14+,Não
Animação,1944,138,Stanley Kubrick,3.2,Inglês,4,16+,Não
Ação,2014,109,Orson Welles,1.9,Espanhol,8,14+,Não
Fantasia,1983,161,Christopher Nolan,6.4,Italiano,9,18+,Sim
Drama,1939,136,Ridley Scott,2.1,Francês,13,12+,Não
Fantasia,1938,158,Christopher Nolan,4.8,Hindi,19,16+,Sim
Drama,1933,162,Alfred Hitchcock,1.6,Francês,7,18+,Não
Drama,1931,158,Christopher Nolan,9.9,Italiano,12,Livre,Sim
Ficção Científica,1963,104,Stanley Kubrick,3.7,Hindi,15,14+,Não
Animação,1937,168,Francis Ford Coppola,6.0,Hindi,6,18+,Não
Ficção Científica,2016,72,Woody Allen,1.8,Russo,9,10+,Sim
Romance,1991,175,Martin Scorsese,2.4,Espanhol,2,Livre,Sim
Terror,1994,158,Quentin Tarantino,8.0,Japonês,12,10+,Sim
Drama,1998,152,Christopher Nolan,3.9,Português,11,16+,Sim
Fantasia,2013,148,Steven Spielberg,1.5,Hindi,5,Livre,Sim
Drama,1991,132,Orson Welles,7.2,Espanhol,11,Livre,Sim
Drama,1971,157,Stanley Kubrick,7.3,Francês,2,Livre,Sim
Ação,1950,161,Orson Welles,1.4,Italiano,1,16+,Não
Animação,1968,140,Orson Welles,3.8,Japonês,6,14+,Não
Terror,1930,129,Orson Welles,9.0,Alemão,19,12+,Não
Ficção Científica,2011,71,Orson Welles,8.1,Mandarim,13,Livre,Sim
Fantasia,1921,110,Francis Ford Coppola,7.2,Japonês,19,10+,Sim
Documentário,1954,82,Woody Allen,9.0,Inglês,20,16+,Não
Ficção Científica,1970,145,Steven Spielberg,5.5,Francês,11,10+,Sim
Romance,1972,135,Stanley Kubrick,7.9,Português,16,Livre,Sim
Animação,2009,109,Orson Welles,6.1,Espanhol,14,14+,Não
Documentário,1920,66,Ridley Scott,5.3,Português,17,16+,Não
Ficção Científica,1949,140,Stanley Kubrick,1.6,Russo,1,Livre,Sim
Animação,2022,109,Alfred Hitchcock,1.5,Alemão,13,14+,Não
Animação,1952,123,Martin Scorsese,1.2,Mandarim,11,12+,Não
Documentário,1927,68,Quentin Tarantino,1.5,Português,10,10+,Sim
Drama,1975,157,Orson Welles,1.3,Japonês,12,18+,Não
Animação,1943,81,Orson Welles,6.2,Japonês,20,12+,Não
Terror,1984,127,Stanley Kubrick,8.1,Mandarim,12,16+,Não
Comédia,1952,62,Alfred Hitchcock,2.5,Francês,18,10+,Sim
Drama,1948,112,Steven Spielberg,4.1,Japonês,1,16+,Não
Ficção Científica,1933,177,Stanley Kubrick,1.7,Francês,1,Livre,Sim
Documentário,1938,66,Christopher Nolan,1.5,Japonês,3,16+,Sim
Thriller,1992,127,Steven Spielberg,3.8,Espanhol,17,Livre,Sim
Fantasia,1988,175,Martin Scorsese,6.0,Russo,3,14+,Não
Thriller,1983,114,Ridley Scott,2.5,Francês,15,12+,Não
Ação,1972,97,Christopher Nolan,4.2,Francês,8,12+,Sim
Thriller,2009,156,Alfred Hitchcock,8.1,Francês,11,14+,Não
Terror,1968,110,Martin Scorsese,9.6,Mandarim,16,16+,Não
Animação,1955,63,Ridley Scott,6.0,Alemão,18,16+,Não
Thriller,1982,90,Steven Spielberg,3.9,Espanhol,20,12+,Não
Ficção Científica,1995,171,Francis Ford Coppola,2.5,Inglês,8,10+,Sim
Comédia,1968,178,Woody Allen,7.9,Português,10,16+,Não
Fantasia,1964,154,Alfred Hitchcock,5.8,Espanhol,2,18+,Não
Animação,1984,72,Christopher Nolan,9.0,Russo,14,12+,Sim
Comédia,2009,168,Orson Welles,6.6,Mandarim,19,10+,Sim
Romance,2007,105,Christopher Nolan,1.1,Alemão,6,14+,Sim
Thriller,1935,105,Woody Allen,2.5,Inglês,2,12+,Não
Documentário,1941,167,Francis Ford Coppola,4.7,Alemão,19,10+,Sim
Animação,1948,173,Stanley Kubrick,7.8,Alemão,13,14+,Não
Animação,1924,83,Quentin Tarantino,6.6,Inglês,13,16+,Sim
Documentário,1928,179,Alfred Hitchcock,6.8,Italiano,18,14+,Não
Drama,1954,110,Martin Scorsese,7.8,Inglês,20,Livre,Sim
Romance,1983,99,Christopher Nolan,4.4,Inglês,17,14+,Sim
Ficção Científica,1928,103,Quentin Tarantino,3.4,Hindi,17,10+,Sim
Terror,1944,106,Christopher Nolan,7.6,Italiano,4,14+,Sim
Fantasia,1979,160,Christopher Nolan,2.9,Hindi,14,18+,Sim
Thriller,1938,74,Orson Welles,5.1,Alemão,8,16+,Não
Terror,1947,63,Steven Spielberg,4.4,Espanhol,18,10+,Sim
Ação,2021,69,Stanley Kubrick,5.7,Italiano,5,16+,Não
Animação,1952,175,Woody Allen,7.7,Inglês,19,12+,Não
Terror,1985,96,Francis Ford Coppola,1.3,Português,12,14+,Não
Thriller,1972,121,Orson Welles,5.6,Inglês,7,12+,Não
Documentário,2015,105,Ridley Scott,7.4,Russo,3,10+,Sim
Drama,2014,163,Orson Welles,5.2,Alemão,3,12+,Não
Thriller,1971,110,Orson Welles,8.5,Mandarim,14,10+,Sim
Thriller,1925,125,Stanley Kubrick,6.2,Espanhol,14,10+,Sim
Thriller,1935,108,Orson Welles,6.4,Hindi,15,12+,Não
Comédia,1929,159,Woody Allen,9.6,Mandarim,16,12+,Não
Fantasia,1986,121,Ridley Scott,4.0,Inglês,6,18+,Não
Terror,2018,85,Woody Allen,1.5,Francês,4,14+,Não
Thriller,1954,171,Steven Spielberg,3.6,Japonês,20,14+,Não
Romance,1929,157,Steven Spielberg,6.9,Alemão,10,16+,Não
Animação,1959,137,Alfred Hitchcock,3.2,Alemão,11,16+,Não
Fantasia,1993,179,Steven Spielberg,6.6,Russo,8,10+,Sim
Fantasia,1982,180,Woody Allen,4.8,Português,13,14+,Não
Animação,1944,68,Woody Allen,2.0,Russo,14,12+,Não
Drama,1944,125,Orson Welles,1.9,Japonês,17,Livre,Sim
Animação,1939,97,Steven Spielberg,9.8,Italiano,12,14+,Não
Terror,1998,95,Christopher Nolan,3.6,Português,8,16+,Sim
Fantasia,1948,178,Francis Ford Coppola,6.4,Espanhol,20,12+,Não
Drama,1991,98,Alfred Hitchcock,9.7,Francês,5,12+,Não
Romance,2007,103,Stanley Kubrick,1.4,Russo,6,18+,Não
Documentário,2012,147,Quentin Tarantino,7.6,Português,12,18+,Sim
Comédia,1938,155,Francis Ford Coppola,8.1,Alemão,4,16+,Não
Ficção Científica,1929,144,Francis Ford Coppola,1.5,Francês,9,16+,Não
Comédia,1993,68,Woody Allen,8.6,Mandarim,1,12+,Não
Romance,2016,173,Alfred Hitchcock,6.7,Português,4,10+,Sim
Documentário,1929,176,Francis Ford Coppola,7.4,Inglês,14,10+,Sim
Romance,1964,104,Martin Scorsese,6.9,Inglês,20,Livre,Sim
Thriller,1971,70,Steven Spielberg,1.9,Japonês,5,18+,Não
Thriller,1972,122,Alfred Hitchcock,7.7,Espanhol,18,Livre,Sim
Ação,1967,153,Francis Ford Coppola,4.5,Japonês,10,10+,Sim
Comédia,1953,62,Alfred Hitchcock,2.3,Russo,2,10+,Sim
Ficção Científica,1969,146,Steven Spielberg,3.4,Japonês,1,10+,Sim
Terror,1954,152,Stanley Kubrick,1.1,Italiano,6,14+,Não
Thriller,1922,70,Alfred Hitchcock,9.7,Francês,15,18+,Não
Comédia,1944,73,Woody Allen,10.0,Japonês,9,18+,Não
Thriller,1951,178,Alfred Hitchcock,9.9,Italiano,2,18+,Não
Fantasia,1969,138,Ridley Scott,4.1,Alemão,9,18+,Não
Drama,1931,169,Alfred Hitchcock,7.1,Alemão,4,12+,Não
Fantasia,1995,96,Steven Spielberg,7.0,Francês,10,10+,Sim
Fantasia,1992,114,Woody Allen,1.5,Inglês,11,12+,Não
Comédia,1992,131,Woody Allen,8.2,Hindi,19,16+,Não
Comédia,1934,169,Orson Welles,9.2,Português,8,14+,Não
Romance,1926,133,Francis Ford Coppola,2.8,Japonês,11,16+,Não
Comédia,1950,154,Christopher Nolan,3.9,Português,8,12+,Sim
Comédia,1926,112,Francis Ford Coppola,5.3,Italiano,4,12+,Não
Terror,1995,101,Martin Scorsese,2.4,Espanhol,16,12+,Não
Animação,1942,164,Christopher Nolan,2.0,Português,11,Livre,Sim
Romance,2003,96,Francis Ford Coppola,1.7,Francês,15,10+,Sim
Drama,1975,102,Steven Spielberg,9.0,Russo,8,14+,Não
Drama,1932,132,Alfred Hitchcock,2.3,Italiano,17,18+,Não
Drama,1995,170,Martin Scorsese,5.4,Francês,14,18+,Não
Ficção Científica,2013,123,Francis Ford Coppola,3.0,Italiano,17,Livre,Sim
Romance,1959,102,Quentin Tarantino,2.7,Espanhol,9,12+,Sim
Animação,1976,93,Christopher Nolan,7.8,Inglês,4,18+,Sim
Animação,1959,73,Christopher Nolan,9.8,Mandarim,1,Livre,Sim
Romance,2000,157,Martin Scorsese,2.5,Russo,14,10+,Sim
Thriller,2006,118,Martin Scorsese,6.5,Hindi,7,12+,Não
Thriller,1980,92,Christopher Nolan,4.7,Francês,11,14+,Sim
Drama,1941,138,Steven Spielberg,3.3,Francês,3,14+,Não
Fantasia,1963,83,Steven Spielberg,6.8,Alemão,13,10+,Sim
Drama,2022,127,Orson Welles,6.7,Francês,15,Livre,Sim
Comédia,1932,66,Woody Allen,7.3,Português,13,Livre,Sim
Animação,1990,149,Stanley Kubrick,8.4,Alemão,19,12+,Não
Ação,1927,106,Woody Allen,8.3,Espanhol,17,10+,Sim
Thriller,1969,105,Orson Welles,1.5,Francês,13,10+,Sim
Romance,1920,169,Stanley Kubrick,5.5,Russo,4,18+,Não
Fantasia,2020,110,Stanley Kubrick,9.9,Hindi,5,14+,Não
Comédia,1954,139,Steven Spielberg,7.3,Inglês,16,16+,Não
Ação,1972,104,Ridley Scott,2.0,Inglês,18,Livre,Sim
Documentário,2010,166,Alfred Hitchcock,8.2,Espanhol,19,Livre,Sim
Documentário,1934,116,Francis Ford Coppola,9.5,Italiano,6,10+,Sim
Ficção Científica,1931,150,Steven Spielberg,5.7,Japonês,2,16+,Não
Terror,1998,130,Stanley Kubrick,6.0,Russo,8,14+,Não
Terror,1967,140,Quentin Tarantino,3.0,Espanhol,9,10+,Sim
Ficção Científica,1960,151,Ridley Scott,8.3,Espanhol,6,10+,Sim
Documentário,2002,130,Alfred Hitchcock,3.2,Francês,9,12+,Não
Ficção Científica,2005,117,Martin Scorsese,9.4,Português,10,12+,Sim
Ação,1961,80,Quentin Tarantino,3.0,Inglês,14,14+,Sim
Comédia,1964,73,Ridley Scott,5.9,Inglês,19,18+,Não
Ficção Científica,1937,163,Martin Scorsese,3.3,Alemão,17,12+,Não
Drama,1983,146,Christopher Nolan,9.2,Português,11,18+,Sim
Comédia,1992,62,Stanley Kubrick,1.2,Português,13,18+,Não
Drama,2009,87,Ridley Scott,6.8,Inglês,11,12+,Não
Comédia,1929,119,Stanley Kubrick,9.2,Japonês,14,12+,Não
Animação,2010,164,Christopher Nolan,1.6,Espanhol,20,10+,Sim
Ficção Científica,1970,87,Christopher Nolan,1.7,Japonês,5,18+,Sim
Fantasia,1994,149,Quentin Tarantino,5.4,Inglês,10,18+,Sim
Documentário,1979,68,Stanley Kubrick,3.8,Mandarim,15,14+,Não
Terror,2002,107,Stanley Kubrick,7.7,Italiano,18,14+,Não
Animação,2003,117,Woody Allen,3.7,Português,13,Livre,Sim
Animação,1968,174,Steven Spielberg,7.0,Português,1,Livre,Sim
Thriller,1928,153,Martin Scorsese,8.2,Mandarim,13,Livre,Sim
Ação,1921,94,Alfred Hitchcock,9.3,Mandarim,19,12+,Não
Fantasia,1965,85,Steven Spielberg,1.8,Português,18,14+,Não
Romance,1990,69,Francis Ford Coppola,1.7,Inglês,20,Livre,Sim
Thriller,2022,94,Woody Allen,6.8,Espanhol,15,10+,Sim
Terror,1920,156,Stanley Kubrick,9.9,Japonês,7,14+,Não
Romance,1950,136,Woody Allen,4.2,Mandarim,9,14+,Não
Terror,1945,171,Martin Scorsese,5.9,Russo,6,12+,Não
Animação,1938,157,Francis Ford Coppola,2.2,Alemão,8,18+,Não
Animação,1936,87,Francis Ford Coppola,9.0,Espanhol,11,12+,Não
Animação,1949,79,Christopher Nolan,6.7,Espanhol,3,18+,Sim
Comédia,1922,153,Francis Ford Coppola,10.0,Espanhol,19,Livre,Sim
Fantasia,1997,129,Francis Ford Coppola,7.0,Português,3,10+,Sim
Ficção Científica,2011,170,Francis Ford Coppola,7.3,Inglês,1,10+,Sim
Romance,1934,89,Alfred Hitchcock,2.0,Inglês,15,16+,Não
Comédia,1975,118,Quentin Tarantino,9.6,Francês,8,18+,Sim
Comédia,1982,160,Steven Spielberg,7.4,Mandarim,16,16+,Não
Drama,1972,102,Stanley Kubrick,6.9,Japonês,11,10+,Sim
Animação,1935,177,Christopher Nolan,3.9,Alemão,14,14+,Sim
Thriller,1945,109,Christopher Nolan,1.2,Espanhol,7,Livre,Sim
Thriller,1996,169,Quentin Tarantino,1.7,Japonês,14,Livre,Sim
Fantasia,2001,146,Stanley Kubrick,7.1,Mandarim,19,Livre,Sim
Documentário,1985,114,Martin Scorsese,9.2,Mandarim,20,18+,Não
Documentário,1928,95,Alfred Hitchcock,8.0,Japonês,11,14+,Não
Fantasia,1936,70,Steven Spielberg,2.7,Francês,16,14+,Não
Drama,1987,130,Stanley Kubrick,8.5,Francês,8,16+,Não
Drama,2005,124,Steven Spielberg,2.2,Hindi,8,16+,Não
Animação,2016,125,Woody Allen,1.4,Espanhol,10,12+,Não
Ação,1985,128,Steven Spielberg,9.2,Italiano,7,14+,Não
Romance,1954,107,Stanley Kubrick,1.3,Português,2,18+,Não
Fantasia,1979,152,Woody Allen,5.5,Português,7,10+,Sim
Romance,2022,137,Stanley Kubrick,1.2,Russo,7,12+,Não
Comédia,1938,176,Woody Allen,2.9,Alemão,16,12+,Não
Terror,2013,104,Francis Ford Coppola,1.2,Inglês,5,10+,Sim
Animação,1937,112,Woody Allen,7.2,Espanhol,15,10+,Sim
Ação,1937,174,Steven Spielberg,6.0,Português,17,14+,Não
Thriller,1963,93,Ridley Scott,5.1,Hindi,14,18+,Não
Documentário,1948,156,Ridley Scott,7.9,Hindi,19,18+,Não
Comédia,1986,84,Quentin Tarantino,1.1,Hindi,20,16+,Sim
Ficção Científica,1927,117,Woody Allen,8.5,Português,10,Livre,Sim
Romance,1933,111,Christopher Nolan,8.6,Português,12,16+,Sim
Ficção Científica,1974,102,Alfred Hitchcock,9.7,Mandarim,18,16+,Sim
Terror,1984,62,Alfred Hitchcock,2.5,Mandarim,18,12+,Não
Documentário,1975,77,Stanley Kubrick,8.6,Japonês,12,18+,Não
Drama,2006,169,Woody Allen,7.8,Japonês,1,18+,Não
Drama,1983,78,Orson Welles,5.2,Francês,20,16+,Não
Drama,1955,166,Alfred Hitchcock,3.7,Alemão,16,10+,Sim
Ficção Científica,1951,131,Quentin Tarantino,8.3,Alemão,7,18+,Sim
Thriller,1923,94,Alfred Hitchcock,5.0,Mandarim,15,12+,Não
Comédia,1925,155,Steven Spielberg,1.1,Mandarim,4,Livre,Sim
Documentário,1922,168,Stanley Kubrick,1.4,Italiano,6,10+,Sim
Ficção Científica,1982,177,Woody Allen,4.0,Francês,14,16+,Não
Terror,1992,106,Woody Allen,4.6,Russo,1,18+,Não
Drama,1941,176,Woody Allen,2.0,Russo,18,14+,Não
Thriller,2015,64,Quentin Tarantino,3.3,Italiano,14,Livre,Sim
Documentário,2003,125,Quentin Tarantino,9.8,Hindi,16,14+,Sim
Romance,1964,149,Orson Welles,1.0,Japonês,6,10+,Sim
Fantasia,2019,63,Orson Welles,4.3,Inglês,19,Livre,Sim
Animação,2018,162,Martin Scorsese,4.3,Espanhol,17,18+,Não
Comédia,1990,70,Alfred Hitchcock,8.6,Inglês,4,12+,Não
Romance,1961,151,Alfred Hitchcock,7.6,Francês,4,18+,Não
Thriller,1954,107,Steven Spielberg,5.0,Hindi,10,18+,Não
Documentário,1999,120,Quentin Tarantino,7.6,Hindi,20,18+,Sim
Comédia,1940,63,Quentin Tarantino,8.3,Japonês,17,18+,Sim
Comédia,2003,101,Christopher Nolan,7.4,Mandarim,9,16+,Sim
Ficção Científica,1992,177,Christopher Nolan,10.0,Francês,19,10+,Sim
Drama,1947,86,Ridley Scott,1.4,Japonês,3,10+,Sim
Ficção Científica,2003,170,Orson Welles,7.3,Japonês,10,16+,Não
Comédia,1949,175,Woody Allen,7.9,Português,18,18+,Não
Thriller,1970,124,Stanley Kubrick,6.1,Português,5,18+,Não
Documentário,1940,129,Alfred Hitchcock,1.3,Hindi,7,10+,Sim
Comédia,2003,175,Orson Welles,7.4,Alemão,20,16+,Não
Terror,1927,87,Steven Spielberg,4.2,Hindi,9,18+,Não
Terror,2023,168,Francis Ford Coppola,8.8,Alemão,6,16+,Não
Terror,1996,177,Christopher Nolan,6.5,Inglês,8,12+,Sim
Animação,1975,157,Woody Allen,7.0,Russo,6,18+,Não
Fantasia,1946,149,Orson Welles,3.6,Português,20,14+,Não
Drama,1936,78,Woody Allen,6.3,Inglês,15,Livre,Sim
Terror,1966,72,Quentin Tarantino,4.9,Português,2,12+,Sim
Documentário,1932,77,Christopher Nolan,8.9,Francês,16,16+,Sim
Drama,1986,163,Orson Welles,6.7,Hindi,10,18+,Não
Animação,2005,112,Stanley Kubrick,9.6,Português,10,12+,Não
Documentário,1963,174,Woody Allen,5.2,Japonês,14,14+,Não
Thriller,1946,173,Francis Ford Coppola,9.9,Mandarim,16,16+,Não
Fantasia,1999,136,Stanley Kubrick,7.2,Alemão,15,16+,Não
Terror,1930,179,Alfred Hitchcock,9.2,Japonês,14,10+,Sim
Thriller,2007,176,Martin Scorsese,1.6,Inglês,3,16+,Não
Romance,1991,112,Alfred Hitchcock,5.1,Hindi,1,14+,Não
Animação,1938,115,Martin Scorsese,9.0,Japonês,9,Livre,Sim
Ficção Científica,1936,127,Martin Scorsese,4.8,Japonês,20,14+,Não
Drama,1953,73,Christopher Nolan,3.4,Japonês,3,Livre,Sim
Drama,1926,95,Woody Allen,8.0,Português,13,16+,Não
Terror,1960,151,Ridley Scott,6.5,Italiano,18,10+,Sim
Animação,1959,125,Christopher Nolan,9.0,Alemão,12,Livre,Sim
Thriller,1931,72,Steven Spielberg,8.1,Italiano,9,10+,Sim
Thriller,1935,79,Alfred Hitchcock,1.7,Japonês,1,14+,Não
Romance,1965,115,Martin Scorsese,3.0,Italiano,19,18+,Não
Fantasia,1941,92,Quentin Tarantino,2.5,Alemão,12,16+,Sim
Romance,1934,142,Francis Ford Coppola,7.2,Italiano,1,16+,Não
Fantasia,1996,119,Christopher Nolan,6.7,Japonês,16,14+,Sim
Romance,1973,77,Stanley Kubrick,4.1,Italiano,17,14+,Não
