renda_mensal,idade,pontuacao_credito,valor_emprestimo,duracao_emprestimo,outras_dividas,emprestimo_ativo,emprestimo_aprovado
5727,33,352,29841,14.0,não,sim,sim
10005,28,474,32580,59.0,não,não,sim
19198,54,760,34968,38.0,sim,não,sim
8080,51,808,34277,24.0,não,não,sim
8710,57,314,25330,48.0,sim,não,sim
12752,33,616,17639,,sim,não,sim
5358,54,333,2102,53.0,sim,não,sim
15386,34,708,39099,33.0,sim,sim,sim
14702,29,527,44437,14.0,não,sim,sim
6275,23,468,35395,54.0,sim,não,não
12805,52,672,9242,,não,não,sim
6972,53,839,43867,54.0,não,não,sim
19101,40,320,19690,45.0,sim,não,sim
2123,24,324,44741,19.0,não,sim,não
15153,29,706,18132,44.0,sim,sim,sim
12860,19,635,30802,25.0,não,não,sim
12847,46,362,27183,37.0,sim,não,sim
6089,40,553,47980,45.0,sim,não,sim
10436,63,362,41886,14.0,sim,não,sim
1279,57,355,12479,52.0,sim,não,sim
17071,49,832,49202,44.0,sim,não,sim
19504,26,878,37326,,sim,sim,sim
4943,68,350,39136,53.0,não,não,sim
4880,57,374,13432,11.0,sim,não,sim
10610,21,689,42336,8.0,não,sim,não
10745,66,784,26428,26.0,sim,não,sim
1401,20,888,5677,46.0,não,sim,não
2344,65,570,47661,60.0,sim,não,não
9412,53,397,47359,,sim,sim,sim
9973,59,784,22904,41.0,sim,não,sim
10740,34,414,33837,42.0,sim,sim,sim
17697,18,775,30607,24.0,não,sim,não
12518,20,752,19565,37.0,sim,sim,não
15263,42,826,20914,51.0,sim,não,sim
7360,36,886,3272,,sim,sim,sim
5943,54,606,34724,10.0,não,não,sim
19945,57,779,26128,45.0,não,não,sim
11811,66,633,30554,22.0,não,sim,sim
11752,47,622,23929,44.0,não,sim,sim
18136,68,798,7350,30.0,não,sim,sim
18571,68,853,3774,6.0,não,sim,sim
16110,41,800,20311,33.0,sim,não,sim
19013,40,378,31925,,não,sim,sim
5656,33,735,4839,13.0,sim,sim,sim
5298,20,802,22706,9.0,não,não,sim
17446,46,540,8327,31.0,não,não,sim
9486,56,659,45303,58.0,sim,sim,sim
17196,63,315,9492,37.0,não,sim,sim
9841,56,851,24168,57.0,não,sim,sim
7397,50,459,26801,,sim,sim,sim
14519,67,593,44493,37.0,não,não,sim
12745,35,454,33489,18.0,sim,não,sim
5612,54,570,20342,22.0,não,não,sim
17845,67,351,9943,,sim,sim,sim
4438,24,401,3721,55.0,não,sim,não
11771,31,480,5837,33.0,não,não,sim
3505,53,667,49807,9.0,não,não,sim
5748,30,883,42872,55.0,sim,não,sim
13320,57,654,27189,16.0,sim,sim,sim
14908,28,620,26208,24.0,sim,não,sim
8788,28,740,34110,58.0,não,não,sim
13102,59,618,40968,54.0,não,sim,sim
5555,45,682,4701,41.0,não,não,sim
18091,68,754,40426,58.0,não,sim,sim
5022,38,897,21964,38.0,não,sim,sim
1989,41,447,21734,57.0,não,sim,sim
19111,62,551,40898,36.0,sim,não,sim
9552,36,444,6106,27.0,não,não,sim
19265,44,473,22669,11.0,sim,sim,sim
17318,69,691,20439,17.0,sim,não,sim
10718,57,881,20593,,não,sim,sim
17677,58,867,7660,49.0,não,sim,sim
3586,57,432,47645,,sim,sim,não
16555,58,333,17621,31.0,não,não,sim
7876,51,749,10851,54.0,sim,não,sim
16611,37,705,23796,52.0,sim,não,sim
1291,41,735,20289,28.0,sim,não,sim
13522,66,391,26845,,sim,sim,sim
1322,34,848,29978,6.0,sim,não,sim
14430,69,829,41775,15.0,não,sim,sim
15916,22,596,48462,9.0,sim,sim,não
10053,37,366,20270,51.0,não,sim,sim
5963,44,533,4669,,sim,sim,sim
12195,29,772,34192,,não,sim,sim
6668,37,512,29485,52.0,sim,sim,sim
1169,18,715,14788,54.0,não,sim,não
3406,32,703,36517,24.0,sim,sim,não
12621,58,720,48034,30.0,sim,não,sim
5578,20,809,2005,49.0,sim,sim,não
18545,35,739,2307,58.0,sim,não,sim
5572,39,387,43389,13.0,não,sim,não
18352,57,860,36882,30.0,sim,sim,sim
1173,28,363,15686,,não,não,sim
8868,38,671,41223,50.0,sim,não,sim
5139,65,416,12085,33.0,não,sim,sim
7927,42,485,35365,57.0,não,não,sim
3074,28,369,47852,55.0,sim,sim,sim
17376,56,874,30784,42.0,não,não,sim
4634,66,503,14080,34.0,não,não,sim
2495,63,863,31429,22.0,não,não,sim
13241,59,344,3881,31.0,sim,sim,sim
1966,47,831,25218,47.0,não,sim,sim
19044,66,558,22223,40.0,não,não,sim
5536,55,527,39893,10.0,não,não,não
8945,69,434,40009,48.0,sim,sim,sim
13931,56,306,9952,27.0,sim,não,sim
9289,70,899,34483,17.0,sim,sim,sim
11380,25,886,12324,36.0,não,não,sim
1534,52,860,47305,,não,sim,não
6579,27,856,19931,25.0,sim,sim,sim
7370,35,637,20329,42.0,sim,sim,sim
17089,42,409,21742,60.0,sim,não,sim
1465,24,825,6447,8.0,sim,não,não
14418,18,533,30391,23.0,não,sim,não
7909,18,437,11700,59.0,sim,não,não
10024,19,386,14387,58.0,não,não,sim
5244,45,447,49415,6.0,não,sim,não
19837,19,665,8479,53.0,sim,não,não
3987,24,765,22618,19.0,não,sim,não
12758,66,725,14876,22.0,não,não,sim
18099,22,695,1907,42.0,não,não,sim
12387,40,560,47563,27.0,sim,sim,sim
12638,39,842,25135,9.0,não,não,sim
8774,61,804,38818,,sim,não,sim
13229,24,667,35364,57.0,sim,sim,não
6411,64,413,19760,34.0,não,sim,sim
3522,45,823,18382,20.0,não,sim,sim
12026,40,335,40364,22.0,sim,sim,sim
9841,34,563,49234,21.0,não,sim,sim
18721,59,515,5731,60.0,não,não,sim
11809,55,748,41447,47.0,sim,não,sim
3597,41,339,38878,,sim,não,não
3574,48,653,42213,29.0,não,sim,sim
13549,62,791,12532,57.0,não,sim,sim
15818,52,670,36385,45.0,sim,sim,sim
13548,62,336,10961,33.0,não,sim,sim
6330,60,372,34055,25.0,sim,sim,sim
3072,47,594,43319,28.0,sim,sim,não
8625,61,524,21863,47.0,não,não,sim
19063,18,556,48426,47.0,sim,não,não
9291,66,777,34772,47.0,não,não,sim
12861,35,681,44733,38.0,sim,sim,sim
16283,59,547,32524,,não,sim,sim
5894,67,652,19839,53.0,não,não,sim
6388,49,853,32292,13.0,não,sim,sim
9777,25,459,29207,,sim,não,não
1730,48,451,24536,60.0,não,sim,sim
11500,30,703,31224,12.0,sim,sim,sim
13230,69,314,19170,39.0,não,não,sim
17558,51,452,48722,19.0,não,não,sim
3191,34,639,36660,40.0,não,não,sim
12365,66,687,46860,49.0,não,sim,sim
2115,37,646,49209,21.0,não,sim,não
8776,22,622,1510,26.0,sim,sim,não
6171,40,750,1334,34.0,não,sim,sim
3234,39,732,29219,6.0,não,não,sim
18215,60,385,45204,54.0,sim,sim,sim
10333,33,546,21927,,sim,não,sim
2519,57,543,36375,11.0,não,não,não
11548,48,820,32281,34.0,não,não,sim
18319,67,715,18391,45.0,sim,não,sim
5141,36,702,43716,50.0,sim,sim,sim
9233,54,400,31615,52.0,não,sim,sim
10937,50,699,13017,24.0,não,sim,sim
6844,25,353,8980,28.0,sim,não,não
14889,42,853,25842,54.0,sim,não,sim
2349,22,763,9465,8.0,sim,não,não
11102,60,537,36927,7.0,não,não,sim
3756,39,516,8188,13.0,sim,não,sim
13838,40,478,10797,34.0,sim,não,sim
18960,35,711,44920,7.0,sim,não,sim
7210,41,438,16046,10.0,não,sim,sim
15288,62,697,18884,29.0,não,sim,sim
19919,48,854,27390,33.0,não,não,sim
18448,62,472,11347,7.0,não,sim,sim
15457,53,686,43302,12.0,sim,não,sim
2644,41,653,39899,7.0,sim,sim,não
4245,18,302,11329,47.0,sim,sim,não
3653,47,614,35220,43.0,sim,não,sim
1517,60,745,43978,60.0,sim,não,sim
7114,36,752,530,60.0,não,sim,sim
5422,68,584,17221,38.0,sim,sim,sim
18327,55,612,3933,28.0,sim,sim,sim
8625,69,710,1683,50.0,sim,não,sim
16474,44,548,31786,39.0,não,não,sim
3892,22,717,10816,26.0,não,sim,não
7056,66,448,25924,37.0,sim,sim,sim
3266,63,375,17963,9.0,não,sim,não
11259,43,755,2784,31.0,sim,não,sim
11209,62,412,13123,6.0,sim,não,sim
12526,39,770,25716,18.0,não,sim,sim
12511,32,619,49012,17.0,sim,não,sim
1952,34,752,3558,7.0,não,não,sim
7875,51,765,17029,32.0,não,sim,sim
19440,64,679,39310,32.0,não,sim,sim
12579,58,525,6529,,não,sim,sim
2128,44,442,22038,17.0,não,não,não
17970,57,499,5989,25.0,não,sim,sim
11154,55,752,18178,,sim,não,sim
8353,70,740,2075,57.0,sim,sim,sim
2089,38,840,14098,58.0,sim,sim,sim
3515,70,822,39354,48.0,sim,sim,sim
2006,67,598,44896,48.0,sim,sim,não
13605,24,858,4201,53.0,não,sim,não
17514,64,642,25566,31.0,sim,sim,sim
15893,68,789,3464,16.0,não,não,sim
10617,52,384,9789,16.0,sim,não,sim
2486,68,774,24414,41.0,não,sim,sim
18722,37,778,15211,56.0,sim,sim,sim
18689,45,707,40838,42.0,não,não,sim
2271,40,672,7456,,não,sim,sim
1711,48,310,33792,15.0,não,não,não
6104,56,632,24950,9.0,sim,não,sim
13850,48,501,41819,14.0,não,não,sim
15747,35,682,26115,17.0,sim,sim,sim
9512,46,704,19384,57.0,sim,não,sim
19857,54,679,19013,39.0,não,não,sim
15607,36,357,47367,56.0,não,não,sim
11703,47,428,20655,16.0,sim,não,sim
4023,24,493,31620,42.0,sim,sim,não
10387,63,651,10052,16.0,sim,não,sim
18888,59,702,45474,47.0,sim,não,sim
8778,69,388,43872,47.0,não,não,sim
3747,30,543,49106,6.0,sim,sim,não
9099,63,855,43471,60.0,não,sim,sim
3359,54,313,32479,52.0,sim,não,sim
15466,31,316,8701,15.0,sim,sim,sim
8026,37,751,47213,26.0,sim,sim,sim
19331,19,712,45184,6.0,sim,sim,não
3880,58,427,44132,46.0,sim,sim,sim
7077,68,408,18942,31.0,não,sim,sim
11037,52,566,20254,18.0,sim,não,sim
4550,54,760,41093,31.0,não,não,sim
13740,35,671,47069,52.0,sim,não,sim
19029,60,867,18275,33.0,não,não,sim
15455,40,426,4312,10.0,não,sim,sim
7797,48,393,9026,52.0,sim,não,sim
8397,39,691,11393,20.0,sim,sim,sim
1279,37,891,5257,22.0,sim,sim,sim
4438,69,432,2271,40.0,não,não,sim
7639,20,877,21888,55.0,sim,sim,não
8839,30,596,36093,30.0,não,não,sim
12497,58,791,19218,7.0,não,sim,sim
11892,43,881,7829,26.0,não,não,sim
19097,22,746,8930,9.0,não,sim,não
15759,43,584,39245,15.0,sim,sim,sim
13278,24,461,30114,,não,sim,não
16367,62,464,35387,30.0,não,não,sim
13390,40,755,26330,24.0,sim,sim,sim
10367,26,409,38109,8.0,sim,não,não
13260,44,781,20825,47.0,não,sim,sim
12657,59,711,12227,8.0,sim,não,sim
1957,68,562,692,,não,não,sim
6925,35,705,30977,14.0,não,não,sim
4015,40,626,13270,12.0,não,sim,sim
16398,67,662,4029,49.0,não,sim,sim
14034,49,845,25656,8.0,sim,sim,sim
4202,38,474,38641,18.0,sim,não,não
13256,22,337,8223,36.0,sim,sim,não
1883,64,800,1199,40.0,sim,sim,sim
18474,58,584,34042,26.0,sim,não,sim
5162,33,845,34133,24.0,sim,não,sim
3652,40,763,15971,7.0,não,não,sim
16406,69,632,22509,12.0,sim,não,sim
12236,22,510,33507,10.0,sim,não,não
3547,18,892,39071,,sim,não,não
17545,36,757,37935,21.0,sim,não,sim
7784,53,361,35436,,não,não,sim
5798,29,336,37904,40.0,não,não,sim
16457,49,679,12073,39.0,não,não,sim
12542,45,775,11615,49.0,não,sim,sim
12553,61,302,45606,17.0,não,não,sim
12386,57,506,31489,10.0,não,sim,sim
5246,29,766,25746,35.0,não,não,sim
18946,64,570,17019,10.0,sim,sim,sim
19744,43,851,31668,,sim,não,sim
8025,38,413,13064,,não,não,sim
13175,28,404,7915,18.0,sim,não,sim
6340,64,780,42768,28.0,não,não,sim
18034,59,439,16350,15.0,não,sim,sim
15290,70,457,21572,34.0,não,sim,sim
19850,50,892,20848,12.0,sim,não,sim
10353,52,784,17696,30.0,não,não,sim
14389,23,716,30124,9.0,não,não,sim
16820,39,622,31949,15.0,não,não,sim
12571,43,791,33025,,não,não,sim
8002,21,488,6918,57.0,sim,sim,não
14579,56,447,44075,15.0,não,não,sim
7760,25,754,40581,45.0,não,não,sim
19449,27,898,49181,30.0,não,não,sim
6164,47,475,48748,57.0,não,não,sim
2156,23,571,19654,7.0,sim,não,não
13361,38,774,28916,32.0,não,não,sim
13528,38,496,8261,58.0,sim,não,sim
1172,54,889,45462,48.0,sim,não,sim
3037,43,797,8096,8.0,sim,não,sim
1879,39,683,7496,48.0,não,não,sim
8303,49,603,36418,28.0,não,sim,sim
11486,61,303,32599,52.0,não,sim,sim
1684,31,418,25758,21.0,não,sim,não
16414,69,354,37671,6.0,não,sim,sim
6033,45,845,19901,23.0,sim,sim,sim
16325,58,363,41256,18.0,não,sim,sim
12208,18,374,22085,9.0,não,não,sim
15804,35,601,15628,56.0,não,sim,sim
16813,36,813,8018,30.0,sim,sim,sim
13472,50,846,44600,17.0,não,não,sim
10397,68,687,11718,53.0,sim,sim,sim
15864,35,552,33003,29.0,não,sim,sim
11297,30,567,48761,46.0,não,sim,sim
16545,49,416,38227,41.0,sim,não,sim
13303,58,725,41152,58.0,não,não,sim
5193,48,835,40890,9.0,sim,sim,não
6768,40,458,14728,32.0,não,sim,sim
2278,40,736,28990,22.0,não,não,sim
11684,34,560,40839,15.0,sim,sim,sim
12046,61,441,23524,31.0,sim,não,sim
19644,62,541,34686,,sim,sim,sim
15496,41,601,41029,,sim,não,sim
19864,30,401,23424,32.0,não,sim,sim
18172,33,876,46434,42.0,não,não,sim
7257,67,426,43437,49.0,sim,sim,sim
18612,60,789,5830,33.0,não,sim,sim
6710,33,619,35229,22.0,sim,não,sim
6046,51,312,30218,13.0,sim,sim,não
15442,24,319,47324,21.0,não,sim,não
12658,18,852,41155,31.0,não,sim,não
1079,41,774,1313,46.0,não,não,sim
4078,25,846,48628,59.0,não,não,sim
12057,57,832,36500,37.0,sim,não,sim
3473,49,801,18300,24.0,não,não,sim
6912,21,546,16809,,não,sim,não
19354,24,698,2681,30.0,não,não,sim
14275,68,808,23052,58.0,não,não,sim
17143,54,823,17976,22.0,sim,não,sim
9349,33,410,38194,,sim,não,sim
19811,20,522,30439,49.0,não,sim,não
17403,46,679,44015,19.0,sim,não,sim
13357,20,849,2496,21.0,não,não,sim
17984,44,501,11858,26.0,não,sim,sim
6060,61,622,17865,20.0,não,não,sim
17816,69,639,44638,49.0,sim,sim,sim
18603,64,614,37297,55.0,sim,não,sim
12918,39,590,47193,,não,sim,sim
15635,45,378,15790,31.0,não,não,sim
18343,28,372,23652,9.0,sim,sim,sim
19943,51,721,35290,43.0,sim,sim,sim
8690,46,795,26584,34.0,não,não,sim
16881,28,442,49252,17.0,sim,não,sim
5680,61,742,47439,11.0,não,não,sim
19334,38,416,8627,47.0,sim,não,sim
15012,60,835,3828,26.0,não,sim,sim
1400,54,858,7528,43.0,sim,não,sim
6971,61,467,9546,20.0,não,não,sim
17647,69,502,17822,27.0,não,não,sim
16670,51,659,10224,54.0,sim,sim,sim
12101,70,720,13043,53.0,sim,sim,sim
13235,65,641,18828,30.0,não,sim,sim
12590,64,878,37644,49.0,não,sim,sim
5600,24,859,37473,58.0,não,não,sim
16460,24,368,1998,,não,não,sim
1024,18,465,37032,54.0,não,sim,não
6675,21,538,1017,29.0,sim,sim,não
1867,62,313,30616,25.0,não,não,não
4563,26,434,44282,,sim,não,não
7363,62,556,40463,30.0,sim,sim,sim
13984,70,893,27631,26.0,não,sim,sim
4094,64,525,18844,21.0,sim,sim,sim
17273,54,872,29441,55.0,não,não,sim
3790,44,439,5274,17.0,sim,sim,sim
17291,26,636,10297,50.0,sim,sim,sim
16320,33,436,16773,11.0,não,sim,sim
13419,69,748,36613,53.0,não,sim,sim
2227,19,661,11629,39.0,não,não,sim
18540,40,669,36353,40.0,sim,sim,sim
3612,61,811,15973,8.0,sim,não,sim
14476,43,508,24123,6.0,não,sim,sim
5431,53,725,13596,55.0,sim,não,sim
1855,39,677,48462,56.0,sim,sim,não
13069,46,713,15326,15.0,sim,não,sim
8572,42,705,23997,38.0,sim,não,sim
6884,38,782,41402,34.0,sim,sim,sim
19845,60,566,37705,18.0,não,sim,sim
7949,26,509,2433,40.0,sim,não,sim
1720,55,858,48970,56.0,sim,sim,não
1024,40,672,49528,59.0,não,sim,não
7892,35,371,23404,27.0,não,sim,sim
2418,63,788,28257,36.0,não,sim,sim
17808,23,550,16436,21.0,não,sim,não
18106,54,323,1411,8.0,não,sim,sim
