marca,ano,quilometragem,combustivel,transmissao,tipo_carro,cor,valor
Hyundai,2018,36038,diesel,automático,sedan,verde,135773
Honda,2012,77480,diesel,automático,pickup,cinza,71764
BMW,2014,168307,gasolina,automático,SUV,,134185
Honda,2005,18752,híbrido,automático,sedan,,63874
Ford,2002,27486,elétrico,manual,pickup,branco,43760
Nissan,2010,68110,híbrido,automático,pickup,verde,92323
Honda,2015,41924,elétrico,manual,conversível,,138653
Hyundai,2010,64001,gasolina,manual,conversível,cinza,46199
Honda,2023,195969,elétrico,manual,SUV,verde,100822
Audi,2003,59123,elétrico,manual,pickup,,133614
Volkswagen,2016,87901,elétrico,manual,SUV,branco,127469
Audi,2016,163421,elétrico,automático,SUV,verde,172605
Volkswagen,2022,103129,elétrico,manual,conversível,,144810
Toyota,2008,91622,diesel,automático,pickup,,26865
Ford,2011,36856,gasolina,automático,hatchback,,30201
Hyundai,2012,59853,gasolina,manual,conversível,,63103
BMW,2009,110621,híbrido,manual,sedan,,132565
BMW,2010,125647,elétrico,automático,conversível,,178047
Audi,2019,116299,diesel,manual,pickup,,163591
Volkswagen,2001,10443,gasolina,automático,conversível,branco,20690
Volkswagen,2005,2508,elétrico,automático,hatchback,azul,89244
Toyota,2013,60080,diesel,automático,hatchback,preto,55944
BMW,2010,138442,híbrido,manual,SUV,branco,148091
BMW,2008,131172,híbrido,manual,hatchback,,104180
Audi,2010,52881,elétrico,automático,sedan,branco,179983
Audi,2010,123599,elétrico,automático,conversível,,144481
Ford,2020,103835,diesel,manual,SUV,verde,81316
Audi,2022,48787,híbrido,manual,pickup,vermelho,252849
Mercedes,2010,105433,elétrico,manual,conversível,,178197
Honda,2012,116553,elétrico,manual,hatchback,,44413
Mercedes,2022,217276,híbrido,automático,sedan,branco,162907
Honda,2011,17568,gasolina,manual,sedan,,57702
Volkswagen,2022,93488,gasolina,automático,sedan,vermelho,95558
Chevrolet,2020,179300,híbrido,manual,conversível,preto,42490
Toyota,2013,132337,híbrido,manual,sedan,,19364
Ford,2018,228244,elétrico,automático,sedan,preto,8229
Audi,2020,189264,elétrico,automático,sedan,,154515
Volkswagen,2023,91195,diesel,automático,sedan,preto,118163
Honda,2021,161073,diesel,manual,pickup,,62249
Mercedes,2001,176581,híbrido,manual,sedan,azul,30393
Audi,2021,17030,elétrico,manual,sedan,vermelho,268079
BMW,2003,159777,gasolina,automático,sedan,cinza,35156
Honda,2015,143777,híbrido,automático,SUV,prata,74356
Chevrolet,2008,78166,gasolina,automático,pickup,,15284
Mercedes,2001,94579,elétrico,automático,sedan,,122795
,2006,170167,gasolina,automático,sedan,,48883
Audi,2016,44276,gasolina,manual,SUV,prata,186007
Mercedes,2016,85540,gasolina,automático,pickup,,199122
Mercedes,2011,28738,híbrido,automático,SUV,,245883
Honda,2004,32636,gasolina,automático,pickup,preto,33155
Mercedes,2009,63857,híbrido,automático,sedan,,179300
Ford,2017,61060,elétrico,manual,pickup,,125258
Mercedes,2001,186676,elétrico,manual,hatchback,,37327
Honda,2023,191935,elétrico,automático,hatchback,,82646
Nissan,2020,43165,híbrido,manual,pickup,verde,165784
Honda,2013,102911,elétrico,automático,SUV,vermelho,109962
Hyundai,2012,82508,diesel,manual,pickup,,68244
BMW,2013,78327,diesel,automático,conversível,,190171
Chevrolet,2020,142924,elétrico,automático,hatchback,,81953
BMW,2019,213720,gasolina,automático,sedan,,109396
Chevrolet,2014,189036,híbrido,automático,SUV,,21675
Mercedes,2010,67513,elétrico,manual,SUV,branco,218741
Volkswagen,2012,48774,gasolina,automático,conversível,,70858
Hyundai,2023,236168,híbrido,automático,pickup,,72682
Chevrolet,2021,106282,gasolina,manual,conversível,prata,65603
Hyundai,2018,61095,diesel,automático,pickup,cinza,139234
Audi,2007,201142,gasolina,automático,pickup,,20201
Toyota,2015,115789,híbrido,automático,pickup,,79948
Volkswagen,2018,38554,gasolina,automático,pickup,,127012
Toyota,2021,13964,elétrico,manual,pickup,verde,200225
Audi,2012,213440,híbrido,automático,hatchback,azul,53592
BMW,2006,103362,elétrico,automático,pickup,azul,172647
Nissan,2004,19388,gasolina,automático,conversível,,42428
Nissan,2012,106188,diesel,automático,SUV,cinza,65668
Volkswagen,2021,193396,diesel,manual,SUV,,46623
Audi,2022,246071,gasolina,manual,SUV,preto,86750
Honda,2019,97926,elétrico,manual,hatchback,azul,106452
Audi,2000,33236,híbrido,manual,SUV,,116735
Audi,2014,168975,elétrico,manual,conversível,azul,126717
Audi,2011,236912,híbrido,automático,conversível,branco,51162
Chevrolet,2003,66733,elétrico,automático,sedan,vermelho,23287
Chevrolet,2019,567,gasolina,automático,hatchback,cinza,118603
BMW,2022,146973,diesel,automático,conversível,branco,205119
BMW,2002,223780,elétrico,manual,hatchback,azul,18354
Volkswagen,2015,109477,diesel,manual,hatchback,,28366
Mercedes,2004,108643,diesel,automático,pickup,,112950
Toyota,2006,18877,híbrido,automático,sedan,azul,63786
Hyundai,2015,232690,elétrico,manual,SUV,cinza,33117
BMW,2006,6762,elétrico,manual,conversível,,219267
BMW,2016,8782,híbrido,manual,pickup,branco,273853
Hyundai,2011,142367,híbrido,automático,sedan,azul,33343
Honda,2018,125148,diesel,manual,pickup,vermelho,66396
Nissan,2005,17821,elétrico,automático,hatchback,,85525
Toyota,2018,81709,elétrico,automático,hatchback,,117804
Chevrolet,2006,48530,híbrido,manual,conversível,,36029
Mercedes,2005,204789,gasolina,manual,conversível,preto,17648
Nissan,2020,68162,gasolina,automático,sedan,,106287
Mercedes,2008,87187,híbrido,manual,SUV,preto,169969
Volkswagen,2001,7672,híbrido,automático,conversível,,57630
Honda,2018,58595,híbrido,manual,hatchback,,105984
Nissan,2012,106224,diesel,automático,pickup,,58643
BMW,2005,30086,híbrido,manual,conversível,prata,174940
Mercedes,2015,120260,híbrido,automático,hatchback,cinza,174818
Honda,2023,199088,gasolina,automático,SUV,vermelho,56638
Ford,2015,67946,elétrico,automático,conversível,,113438
Honda,2023,160778,híbrido,manual,SUV,cinza,104455
Mercedes,2023,74851,elétrico,manual,hatchback,,269604
Audi,2003,40758,gasolina,manual,SUV,,97469
BMW,2020,3149,gasolina,manual,conversível,,263796
Hyundai,2015,193951,diesel,automático,SUV,,32234
Volkswagen,2022,190941,diesel,manual,conversível,vermelho,41341
Audi,2005,105983,diesel,manual,hatchback,preto,44812
Audi,2002,24317,elétrico,automático,sedan,branco,143978
BMW,2015,217220,elétrico,automático,sedan,prata,134946
Audi,2023,197663,híbrido,manual,hatchback,,127636
Honda,2023,187004,híbrido,automático,hatchback,cinza,65097
Toyota,2015,136743,gasolina,manual,SUV,,23280
Honda,2019,39230,diesel,automático,sedan,,126539
Hyundai,2012,14670,diesel,automático,hatchback,azul,101731
Honda,2004,35940,elétrico,automático,conversível,,79842
Toyota,2016,226032,elétrico,automático,SUV,cinza,37778
Volkswagen,2008,80815,elétrico,manual,hatchback,,41430
Volkswagen,2002,43332,elétrico,automático,SUV,branco,74668
Nissan,2020,206278,híbrido,automático,sedan,,44605
Audi,2020,201184,híbrido,automático,hatchback,vermelho,118171
BMW,2017,32490,híbrido,automático,pickup,,278257
Chevrolet,2007,55763,diesel,automático,sedan,,16966
Nissan,2008,18974,gasolina,automático,sedan,verde,56718
Mercedes,2011,8548,gasolina,manual,conversível,,197016
Audi,2017,248407,híbrido,manual,SUV,,85115
BMW,2007,41292,diesel,automático,sedan,vermelho,160096
Ford,2022,49585,gasolina,automático,SUV,,133290
Toyota,2012,118866,gasolina,manual,pickup,verde,7794
Hyundai,2006,34141,elétrico,automático,pickup,,116101
Audi,2007,52920,elétrico,manual,SUV,,172956
Toyota,2017,100876,híbrido,manual,hatchback,,62387
Volkswagen,2008,2677,diesel,manual,sedan,verde,61126
Mercedes,2005,112257,elétrico,manual,pickup,,145420
Mercedes,2011,235187,elétrico,automático,SUV,,122369
Mercedes,2022,142777,gasolina,automático,conversível,azul,194056
Audi,2011,228404,híbrido,manual,SUV,vermelho,57117
BMW,2020,195003,elétrico,manual,sedan,,171498
Hyundai,2001,18664,diesel,manual,SUV,preto,42935
Ford,2023,63327,diesel,automático,conversível,verde,130671
Volkswagen,2023,84509,híbrido,manual,sedan,,129844
Mercedes,2009,128490,gasolina,automático,hatchback,verde,92057
Toyota,2017,175974,gasolina,automático,conversível,azul,9818
Honda,2014,112369,híbrido,automático,hatchback,cinza,54342
Audi,2013,49441,híbrido,manual,conversível,vermelho,182391
Mercedes,2006,237678,híbrido,automático,hatchback,,29625
Mercedes,2009,50221,gasolina,manual,sedan,,139845
BMW,2011,188698,elétrico,manual,conversível,azul,126911
BMW,2007,203398,elétrico,automático,hatchback,cinza,81621
Audi,2001,64938,elétrico,manual,pickup,,115543
Ford,2018,245326,elétrico,automático,SUV,,24272
Nissan,2009,79258,híbrido,automático,pickup,prata,77519
BMW,2002,230469,híbrido,automático,SUV,prata,41672
Audi,2008,229522,elétrico,manual,conversível,branco,42335
Honda,2019,22937,elétrico,automático,pickup,azul,200944
Mercedes,2021,77811,gasolina,manual,conversível,azul,218532
Volkswagen,2003,28869,elétrico,manual,SUV,cinza,77792
BMW,2007,108569,diesel,automático,pickup,azul,134002
Hyundai,2002,102336,híbrido,automático,pickup,,19365
Volkswagen,2020,27592,elétrico,automático,conversível,,197686
Nissan,2023,73662,híbrido,automático,sedan,preto,158437
BMW,2006,73456,híbrido,manual,hatchback,,130581
Hyundai,2023,93798,gasolina,manual,SUV,azul,130341
Chevrolet,2004,67914,híbrido,automático,SUV,,36460
Audi,2020,205071,diesel,manual,hatchback,,80450
BMW,2020,114979,gasolina,automático,hatchback,azul,178515
Ford,2019,157331,gasolina,automático,pickup,,29868
Mercedes,2022,243290,diesel,automático,conversível,,137697
Chevrolet,2001,70987,elétrico,automático,conversível,,20309
Volkswagen,2000,24050,elétrico,automático,sedan,,46165
Honda,2008,76385,gasolina,automático,SUV,,37530
Ford,2019,100821,híbrido,automático,sedan,preto,83425
Ford,2015,43486,gasolina,automático,sedan,,60560
BMW,2012,197447,gasolina,automático,SUV,,99787
BMW,2010,172588,híbrido,automático,SUV,verde,138188
Mercedes,2004,141097,gasolina,automático,conversível,cinza,69232
Mercedes,2005,20837,gasolina,manual,pickup,,153414
Nissan,2015,63147,diesel,manual,hatchback,,67797
Nissan,2012,149788,híbrido,automático,sedan,,28148
Audi,2007,113321,gasolina,automático,conversível,,74675
Toyota,2013,46434,elétrico,manual,sedan,,100496
Ford,2021,244398,elétrico,automático,conversível,cinza,31921
BMW,2003,201111,híbrido,automático,conversível,,55222
Mercedes,2011,144223,gasolina,automático,conversível,vermelho,116044
Toyota,2023,102420,diesel,automático,pickup,,124306
Hyundai,2009,11124,diesel,manual,sedan,,76213
Nissan,2019,66533,elétrico,manual,SUV,,170427
Honda,2019,101097,elétrico,automático,pickup,azul,146232
Mercedes,2000,177505,diesel,automático,hatchback,verde,8746
BMW,2006,79469,híbrido,manual,pickup,,154372
Audi,2006,163499,gasolina,manual,SUV,vermelho,32551
Volkswagen,2023,44715,diesel,manual,SUV,cinza,164700
Mercedes,2009,106270,diesel,manual,pickup,verde,135611
Honda,2016,164189,gasolina,manual,SUV,branco,18068
Nissan,2001,14770,gasolina,manual,conversível,,10661
Nissan,2015,117129,gasolina,automático,conversível,cinza,51010
Mercedes,2002,193918,elétrico,manual,conversível,,60257
Ford,2010,30171,gasolina,automático,SUV,,62880
Chevrolet,2008,34847,elétrico,manual,pickup,cinza,87607
BMW,2018,170630,elétrico,automático,SUV,vermelho,216559
Nissan,2015,224939,híbrido,automático,SUV,branco,24543
Hyundai,2016,20000,gasolina,automático,SUV,,147000
Nissan,2018,190732,diesel,manual,SUV,,34488
Nissan,2014,74687,diesel,automático,conversível,,87719
Toyota,2002,12377,diesel,manual,SUV,,33336
BMW,2015,243106,gasolina,manual,conversível,,60826
Honda,2021,172816,diesel,automático,sedan,branco,47029
Audi,2012,14720,híbrido,automático,conversível,,213696
Hyundai,2017,133003,gasolina,manual,sedan,cinza,32898
Hyundai,2013,166834,elétrico,manual,sedan,,37216
Mercedes,2013,157783,diesel,manual,sedan,,106552
Ford,2008,54068,elétrico,automático,hatchback,,53152
Hyundai,2004,50913,elétrico,manual,sedan,,55361
Toyota,2023,182215,híbrido,automático,pickup,,89450
Toyota,2013,86825,elétrico,manual,conversível,,86222
Audi,2022,137710,gasolina,automático,sedan,cinza,148603
Nissan,2018,28046,elétrico,manual,SUV,vermelho,190368
Volkswagen,2008,75772,elétrico,automático,conversível,,79960
Chevrolet,2021,206987,diesel,manual,SUV,preto,23109
Mercedes,2021,206579,elétrico,manual,conversível,prata,184395
BMW,2015,192502,híbrido,manual,sedan,,117249
Audi,2017,235384,híbrido,automático,pickup,,101231
Audi,2007,82669,gasolina,automático,sedan,verde,82132
Nissan,2023,30846,híbrido,manual,sedan,cinza,174408
BMW,2000,111102,diesel,manual,sedan,,48229
Toyota,2019,80927,híbrido,manual,pickup,verde,118351
Ford,2021,59812,diesel,manual,conversível,,105132
BMW,2011,183623,elétrico,automático,sedan,,130464
Audi,2016,56844,híbrido,manual,conversível,,198209
BMW,2022,216626,híbrido,manual,hatchback,preto,142362
Nissan,2015,43268,elétrico,manual,SUV,vermelho,158712
Ford,2021,93625,híbrido,manual,SUV,preto,116462
Honda,2016,224955,híbrido,manual,SUV,,10532
Hyundai,2016,123897,elétrico,manual,pickup,azul,109272
Mercedes,2011,82128,gasolina,automático,hatchback,verde,138510
BMW,2016,137024,diesel,automático,pickup,verde,177083
BMW,2011,137004,elétrico,manual,hatchback,cinza,142097
Chevrolet,2023,64268,híbrido,automático,pickup,verde,165012
Audi,2001,94708,elétrico,automático,SUV,branco,115704
Audi,2018,90113,elétrico,manual,SUV,,223921
Audi,2001,19601,gasolina,automático,SUV,preto,112279
Volkswagen,2009,129713,gasolina,automático,SUV,,7201
Honda,2022,23729,diesel,manual,SUV,prata,172390
Ford,2011,119762,elétrico,automático,SUV,,63167
Toyota,2019,20656,elétrico,automático,sedan,preto,174541
Mercedes,2006,179345,gasolina,manual,pickup,,49458
Nissan,2008,50267,gasolina,automático,SUV,branco,62813
Chevrolet,2016,1519,gasolina,automático,hatchback,prata,96937
Toyota,2021,160581,híbrido,manual,conversível,vermelho,69593
Chevrolet,2008,6632,diesel,manual,hatchback,,37358
Hyundai,2003,97804,elétrico,automático,hatchback,cinza,22537
Ford,2010,19538,elétrico,manual,conversível,cinza,98323
Nissan,2013,168785,híbrido,manual,SUV,preto,35850
Ford,2017,136531,elétrico,automático,SUV,cinza,93428
Honda,2021,110151,elétrico,manual,conversível,,132894
Audi,2019,245954,híbrido,automático,SUV,,114832
Volkswagen,2016,98199,diesel,manual,SUV,,78261
Audi,2010,164676,diesel,automático,conversível,preto,73727
Mercedes,2005,61915,elétrico,manual,sedan,,159660
Nissan,2020,20636,gasolina,manual,conversível,,139555
Ford,2015,66024,elétrico,automático,SUV,,128783
Nissan,2016,151886,gasolina,automático,pickup,,40680
Volkswagen,2022,41811,híbrido,automático,pickup,verde,187732
Audi,2008,145273,híbrido,automático,pickup,prata,101309
Audi,2005,98377,híbrido,manual,SUV,,106136
Nissan,2008,90767,gasolina,automático,pickup,branco,27463
Ford,2020,20090,diesel,manual,sedan,preto,111937
Nissan,2004,50739,híbrido,manual,conversível,cinza,41483
BMW,2018,227087,híbrido,automático,conversível,preto,142039
Nissan,2010,19254,gasolina,manual,SUV,branco,84522
Mercedes,2021,201528,gasolina,manual,sedan,azul,117930
Hyundai,2003,138719,híbrido,automático,SUV,,7897
Hyundai,2016,194336,elétrico,manual,SUV,verde,66965
Audi,2022,207066,híbrido,manual,SUV,preto,149054
Hyundai,2009,3530,híbrido,manual,hatchback,,95529
Audi,2013,238221,elétrico,automático,SUV,prata,99245
Ford,2023,196959,elétrico,manual,conversível,azul,65129
Ford,2022,228497,diesel,automático,pickup,,15052
Honda,2021,62874,elétrico,automático,hatchback,,158988
Chevrolet,2018,175644,gasolina,automático,pickup,,17049
Nissan,2010,104074,híbrido,automático,sedan,,46148
BMW,2002,198554,elétrico,manual,SUV,,71012
Hyundai,2011,103300,diesel,automático,pickup,,60690
Ford,2007,95694,elétrico,manual,pickup,,31014
Honda,2013,172926,híbrido,manual,conversível,verde,11952
BMW,2015,8674,diesel,manual,pickup,,245928
Audi,2004,156994,diesel,automático,conversível,,37104
BMW,2007,133342,gasolina,manual,SUV,azul,95661
Nissan,2008,177483,híbrido,automático,SUV,branco,8762
Nissan,2008,26416,gasolina,automático,pickup,prata,72509
Nissan,2017,113792,elétrico,automático,SUV,azul,137346
Nissan,2020,188129,gasolina,automático,SUV,,50310
Hyundai,2021,44142,gasolina,automático,pickup,verde,158101
Volkswagen,2014,63,diesel,manual,SUV,vermelho,132956
Honda,2006,68520,diesel,manual,pickup,,22036
Mercedes,2004,77999,elétrico,automático,hatchback,,148401
Nissan,2019,31170,diesel,automático,sedan,,139181
Audi,2014,90221,elétrico,manual,pickup,,188845
Ford,2022,106437,gasolina,automático,hatchback,,58494
Mercedes,2007,4259,gasolina,manual,conversível,verde,172019
Mercedes,2016,189679,diesel,automático,SUV,,147225
Honda,2016,83605,gasolina,automático,sedan,,60476
Toyota,2008,38627,diesel,manual,hatchback,,21961
BMW,2000,40397,elétrico,manual,sedan,vermelho,139722
Nissan,2016,203383,elétrico,manual,conversível,verde,39632
BMW,2003,74921,elétrico,automático,conversível,,164555
Ford,2009,48387,elétrico,automático,hatchback,prata,64129
Mercedes,2009,138184,elétrico,automático,hatchback,,141271
Mercedes,2019,122978,híbrido,automático,hatchback,,200915
Toyota,2011,202069,elétrico,automático,SUV,,19552
BMW,2019,21158,gasolina,automático,SUV,,272189
Chevrolet,2016,30460,elétrico,manual,SUV,,153678
Mercedes,2008,193855,híbrido,manual,sedan,,67302
Audi,2014,81082,híbrido,manual,SUV,,181243
Chevrolet,2012,34261,elétrico,automático,pickup,,130017
BMW,2005,73956,híbrido,automático,pickup,,165231
Audi,2020,210715,gasolina,manual,conversível,preto,83500
Ford,2018,37275,híbrido,manual,conversível,preto,120907
Hyundai,2022,194517,híbrido,automático,conversível,,87838
Volkswagen,2004,20608,diesel,manual,SUV,,48574
Mercedes,2005,189831,gasolina,manual,hatchback,,7118
Hyundai,2020,150724,diesel,manual,hatchback,verde,48493
Mercedes,2019,186287,diesel,automático,hatchback,,135599
Nissan,2010,79997,diesel,automático,pickup,,63002
Ford,2017,46772,gasolina,automático,pickup,branco,93260
Audi,2006,185572,híbrido,automático,hatchback,cinza,31100
Nissan,2013,198717,elétrico,automático,conversível,azul,35898
Toyota,2011,47203,híbrido,automático,hatchback,cinza,71958
Chevrolet,2018,25983,híbrido,manual,pickup,,142812
Hyundai,2020,180762,gasolina,manual,SUV,cinza,48467
Audi,2005,76008,diesel,manual,sedan,,72794
Mercedes,2023,191579,diesel,automático,hatchback,,159895
Toyota,2021,142582,diesel,automático,hatchback,vermelho,54193
Audi,2018,54604,híbrido,manual,sedan,prata,199777
Nissan,2011,150143,diesel,automático,SUV,vermelho,27900
Mercedes,2022,79542,diesel,automático,conversível,,252321
Chevrolet,2023,186358,híbrido,manual,SUV,azul,72549
BMW,2002,174281,diesel,manual,sedan,verde,18003
BMW,2002,114652,híbrido,manual,pickup,vermelho,101744
BMW,2001,123760,elétrico,manual,SUV,azul,116368
BMW,2010,196721,gasolina,automático,sedan,preto,58295
Audi,2011,127513,híbrido,automático,sedan,vermelho,113741
Toyota,2021,239898,híbrido,manual,SUV,branco,28071
BMW,2023,54093,diesel,manual,pickup,vermelho,270135
Hyundai,2007,111704,elétrico,automático,sedan,,47807
Mercedes,2003,88833,gasolina,manual,hatchback,,63817
Audi,2015,143578,híbrido,automático,sedan,,130495
Audi,2020,60197,gasolina,manual,SUV,,202862
Nissan,2020,80084,elétrico,manual,conversível,,153941
Audi,2013,245389,diesel,manual,conversível,preto,24228
Audi,2013,84501,gasolina,automático,pickup,cinza,143849
Ford,2020,46340,elétrico,automático,SUV,prata,177562
Mercedes,2009,195330,híbrido,manual,SUV,cinza,101269
Ford,2010,77734,diesel,automático,hatchback,cinza,8586
Volkswagen,2005,7997,híbrido,manual,hatchback,vermelho,50402
Chevrolet,2015,58389,gasolina,automático,sedan,vermelho,57128
Hyundai,2011,48835,diesel,manual,pickup,preto,84816
Honda,2000,33707,diesel,automático,pickup,,18405
Volkswagen,2015,125589,gasolina,automático,hatchback,,17088
Audi,2007,142026,híbrido,automático,SUV,,103582
Audi,2012,160893,elétrico,manual,pickup,,125375
Toyota,2021,77750,elétrico,manual,sedan,branco,134575
Chevrolet,2023,72166,diesel,automático,sedan,cinza,117484
Toyota,2022,44712,elétrico,automático,pickup,cinza,199702
Toyota,2006,15144,elétrico,manual,hatchback,cinza,66399
Volkswagen,2007,51829,diesel,manual,conversível,preto,33720
Mercedes,2003,77779,diesel,manual,conversível,prata,106555
BMW,2023,152286,diesel,automático,SUV,,222400
Honda,2005,108834,híbrido,automático,pickup,branco,21816
Volkswagen,2023,91013,gasolina,manual,SUV,,118291
Nissan,2014,16471,gasolina,automático,sedan,prata,100470
Ford,2020,163086,diesel,automático,SUV,,53840
Mercedes,2016,96416,híbrido,manual,conversível,,205509
Hyundai,2020,129329,híbrido,automático,hatchback,,98470
Mercedes,2018,2256,gasolina,automático,SUV,branco,278421
BMW,2013,231140,gasolina,automático,sedan,verde,55202
Toyota,2015,85527,híbrido,manual,conversível,,80131
Mercedes,2018,6815,elétrico,automático,hatchback,,296230
Audi,2006,54112,híbrido,manual,SUV,verde,144122
Chevrolet,2023,173762,elétrico,automático,pickup,,109367
Toyota,2016,111526,gasolina,manual,sedan,,19932
Mercedes,2022,121052,gasolina,manual,SUV,,209264
Volkswagen,2016,97934,elétrico,manual,pickup,preto,113446
Hyundai,2004,78428,híbrido,manual,SUV,,43100
Honda,2014,218852,elétrico,automático,conversível,azul,21804
Toyota,2022,186004,híbrido,automático,pickup,,79797
BMW,2009,214785,diesel,automático,conversível,cinza,66650
Chevrolet,2005,18547,híbrido,automático,sedan,cinza,50017
Volkswagen,2012,8807,híbrido,manual,sedan,,105835
BMW,2010,201601,diesel,manual,SUV,,82879
Toyota,2023,86863,híbrido,manual,pickup,azul,142196
Nissan,2005,64729,diesel,automático,SUV,vermelho,45690
Ford,2020,130347,gasolina,manual,pickup,,41757
Hyundai,2021,165783,elétrico,automático,sedan,,107952
Chevrolet,2021,115437,diesel,manual,SUV,azul,87194
Nissan,2013,159550,diesel,manual,conversível,,7315
Mercedes,2000,8321,híbrido,manual,conversível,,155175
Chevrolet,2015,78051,híbrido,manual,sedan,,64364
Nissan,2023,126236,elétrico,manual,conversível,,142635
Volkswagen,2023,15773,diesel,automático,conversível,azul,184959
Hyundai,2010,104372,gasolina,automático,conversível,,31940
Honda,2020,85228,diesel,manual,pickup,,108340
Mercedes,2001,90136,híbrido,automático,pickup,preto,125905
BMW,2023,121091,diesel,manual,sedan,azul,202236
Toyota,2011,34039,gasolina,automático,sedan,vermelho,53173
Mercedes,2023,238094,diesel,manual,hatchback,branco,113334
BMW,2014,86206,diesel,manual,SUV,verde,191656
Ford,2009,8918,elétrico,automático,pickup,,119757
Nissan,2005,103929,híbrido,automático,conversível,verde,25250
Chevrolet,2012,131947,híbrido,manual,SUV,,33637
Volkswagen,2022,76588,gasolina,automático,sedan,,107388
Toyota,2001,60226,elétrico,automático,sedan,,20842
Toyota,2005,56778,híbrido,automático,conversível,,44255
Mercedes,2008,74955,elétrico,manual,sedan,branco,171532
Mercedes,2008,149412,diesel,manual,hatchback,,70412
Audi,2023,248664,elétrico,automático,hatchback,vermelho,126935
Audi,2017,30249,elétrico,automático,hatchback,,237826
Ford,2006,11272,elétrico,automático,hatchback,,69110
Mercedes,2018,129849,diesel,automático,pickup,cinza,196106
Toyota,2019,45362,elétrico,manual,conversível,prata,157247
Audi,2001,63973,gasolina,manual,SUV,vermelho,67219
Audi,2015,15061,elétrico,manual,pickup,vermelho,248457
Hyundai,2018,19209,híbrido,automático,SUV,,196554
Mercedes,2022,62235,gasolina,automático,sedan,,236435
Mercedes,2020,185607,gasolina,automático,pickup,azul,157075
Mercedes,2005,40130,gasolina,manual,SUV,branco,146909
Ford,2002,13060,diesel,manual,pickup,verde,11858
Audi,2004,71250,elétrico,manual,pickup,azul,132125
Nissan,2015,152796,gasolina,manual,SUV,,26043
Nissan,2018,112676,híbrido,automático,pickup,preto,117127
Audi,2023,148047,gasolina,automático,hatchback,,141367
Audi,2010,239275,diesel,manual,pickup,cinza,14507
Audi,2016,240346,gasolina,manual,pickup,,41758
BMW,2012,246620,elétrico,manual,conversível,preto,93366
Ford,2007,49495,gasolina,automático,SUV,,28354
BMW,2023,177996,elétrico,manual,pickup,vermelho,225403
Ford,2018,122715,híbrido,automático,SUV,,89100
Ford,2014,11189,gasolina,automático,pickup,,97168
Mercedes,2000,80620,gasolina,automático,SUV,,97566
Hyundai,2022,6384,gasolina,manual,conversível,verde,170531
Volkswagen,2013,175908,elétrico,manual,sedan,azul,16864
Chevrolet,2016,169000,híbrido,automático,sedan,,21700
Volkswagen,2017,136912,elétrico,automático,pickup,,107162
Ford,2012,98707,híbrido,manual,hatchback,,14905
Mercedes,2006,58024,elétrico,automático,pickup,,204383
Volkswagen,2001,23471,híbrido,automático,sedan,cinza,32570
BMW,2017,235758,diesel,automático,conversível,cinza,107969
Audi,2010,56299,elétrico,manual,SUV,azul,191591
Mercedes,2003,36097,gasolina,automático,conversível,,135732
Mercedes,2016,86388,diesel,manual,sedan,,177528
Chevrolet,2022,133561,híbrido,manual,conversível,prata,88507
Audi,2002,176294,diesel,automático,conversível,,9594
