,ID_Estoque,Quantidade_Disponível,Local_Estoque,Nivel_Maximo,Data_Atualizacao
108,7756117167143642452,359,Fábrica,35000000,2021-07-31
109,1228755707318875304,5,Atacado,40000000,2022-03-13
110,5874986296006763446,222,Fábrica,70000000,2020-12-31
111,8144632815096049524,280,Atacado,50000000,2020-03-16
112,2369734793383773615,39,Depósito Regional,8000,2025-05-01
113,3324642968201099860,226,Centro de Distribuição,600000,2020-01-17
114,3702186084343762954,234,Centro de Distribuição,80000000,2021-10-13
115,7431165683919487649,362,Fábrica,30000000,2024-11-01
116,5885148249889624925,425,Fábrica,8000,2022-02-17
117,1088682628579218699,10,Atacado,7500,2025-04-04
118,9387291630110367697,172,Fábrica,9500,2021-04-06
119,5027305176517242265,147,Loja Física,25000000,2021-02-01
120,6333262017652318361,494,Depósito Regional,30000000,2021-03-21
121,4243243003153737271,9,Atacado,250000,2020-06-22
122,7157166748642242211,342,Varejo,950000,2024-08-21
123,7383705103418290171,151,Varejo,250000,2020-01-18
124,6346194120029222021,359,Centro de Distribuição,3500,2024-12-24
125,1277927143080858530,329,Loja Física,4500,2024-04-30
126,4749490746733307047,241,Centro de Distribuição,65000000,2025-02-10
127,2594916167033048147,274,Varejo,4000,2025-05-04
128,2575360813179092251,349,Atacado,8500,2020-05-25
129,8881220253027847355,423,Atacado,1500,2023-10-31
130,9536519074442710592,87,Centro de Distribuição,9000,2024-04-03
131,6602043089111476473,178,Loja Física,5000,2024-07-06
132,4848475401138886836,312,Atacado,6500,2021-03-19
133,2695367466539933794,473,Depósito Regional,7500,2021-08-28
134,9901156623978173079,407,Atacado,1000,2023-09-24
135,6510475974852225914,146,Depósito Regional,25000000,2022-06-08
136,2242962443372754635,448,Varejo,9500,2023-02-25
137,2765409371109285865,267,Atacado,3000,2024-05-14
138,2305513689635147118,474,Fábrica,15000000,2023-01-28
139,5481337849581499558,146,Fábrica,5500,2022-04-23
140,5091290341571956397,247,Varejo,10000000,2024-12-26
141,6331189514997903310,226,Centro de Distribuição,850000,2020-06-18
142,9430341476951527752,270,Fábrica,350000,2023-10-12
143,2625663073713947396,467,Depósito Regional,8500,2024-07-14
144,2990192781168407488,84,Centro de Distribuição,550000,2020-03-18
145,9653803680837624148,310,Loja Física,85000000,2025-03-09
146,9809950235920320433,420,Atacado,65000000,2023-06-16
147,5963749164922847491,333,Fábrica,6000,2022-01-06
148,5461394412503898829,367,Depósito Regional,70000000,2022-03-02
149,2254409867795577297,229,Loja Física,4000,2025-08-30
150,7531372670871669650,229,Varejo,15000000,2024-06-21
151,1595058408512522317,494,Depósito Regional,95000000,2021-06-25
152,6703894850346291966,151,Varejo,850000,2023-06-12
153,9429919923726017668,482,Depósito Regional,6000,2022-06-03
154,4756311408864989687,45,Atacado,500000,2024-07-29
155,5065214572544086301,47,Fábrica,2500,2023-11-09
156,3980493259326959795,275,Fábrica,5500,2025-02-22
157,9574269438156136479,220,Fábrica,2500,2020-07-22
158,9781754669111354419,98,Fábrica,650000,2022-11-21
159,5233104234728088787,486,Depósito Regional,35000000,2023-05-06
160,8455328118973920640,395,Fábrica,650000,2022-11-15
161,8781845373954842717,405,Depósito Regional,9000,2024-04-05
162,6974128048241107393,409,Fábrica,350000,2025-09-24
163,4587867907402404170,484,Varejo,200000,2024-11-20
164,7560505747193117366,374,Loja Física,250000,2023-08-20
165,7611302531029974744,464,Atacado,5500,2023-07-02
166,6313089006699512610,309,Varejo,350000,2021-06-29
167,4472276746043380180,273,Atacado,950000,2023-12-16
168,8054980265314106703,55,Fábrica,25000000,2020-09-18
169,5101950605488533549,194,Atacado,9500,2023-07-02
170,5394534527907125846,309,Loja Física,150000,2023-08-11
171,5947852913133880932,190,Centro de Distribuição,5500,2020-04-04
172,3909817200863642191,257,Loja Física,150000,2023-03-30
173,5560338657220747682,151,Centro de Distribuição,250000,2025-10-27
174,2072937984545175555,30,Atacado,40000000,2025-06-13
175,4452163952997617136,269,Depósito Regional,3000,2020-06-17
176,9163702295416227134,4,Atacado,3500,2025-06-12
177,1656352648372874579,331,Loja Física,5000,2025-01-09
178,3478561818212620581,142,Atacado,70000000,2023-09-17
179,3928813093645899946,209,Depósito Regional,8000,2021-07-09
180,5473003667933638855,11,Fábrica,750000,2022-03-08
181,2993103234686865781,244,Depósito Regional,3500,2022-01-29
182,7344270014356083146,208,Fábrica,500,2023-12-13
183,9572364297293312429,129,Centro de Distribuição,500,2022-04-10
184,1025378202487216462,279,Depósito Regional,7000,2022-11-08
185,8944500751079160935,188,Atacado,6000,2022-02-14
186,2132478131628797334,116,Depósito Regional,50000,2020-12-03
187,4123136454911727049,484,Fábrica,1000,2021-07-01
188,6943059169090286462,138,Loja Física,100000,2025-08-11
189,4034907553531235456,410,Depósito Regional,90000000,2020-10-29
190,3937008461966193200,154,Centro de Distribuição,50000,2025-06-24
191,7825151262984028285,367,Depósito Regional,85000000,2021-12-11
192,9727683215148851386,500,Atacado,450000,2022-10-19
193,8999238125490691739,295,Centro de Distribuição,9000,2022-01-15
194,1355169337167910945,395,Depósito Regional,50000,2024-06-09
195,6635852682691585452,448,Atacado,8000,2022-07-17
196,5726304453488757018,365,Centro de Distribuição,45000000,2024-05-23
197,7455744018801801740,405,Atacado,150000,2023-02-06
198,2915295742924029245,465,Fábrica,900000,2024-07-12
199,4213857731084582622,349,Centro de Distribuição,950000,2024-01-01
200,6205441263083099079,341,Centro de Distribuição,600000,2024-11-02
201,9545252244587987461,38,Fábrica,2000,2023-07-20
202,2132423814254417946,245,Atacado,600000,2025-08-12
203,1683813797927747733,297,Loja Física,450000,2023-09-15
204,3389679536688289391,342,Centro de Distribuição,750000,2021-12-13
205,8144563752301328550,47,Loja Física,20000000,2021-09-09
206,6273053571002730864,34,Varejo,6500,2022-02-08
207,2969296760069272424,243,Depósito Regional,45000000,2024-08-08
208,8166631597668902811,47,Loja Física,2500,2023-11-18
209,4018449630515307471,49,Centro de Distribuição,350000,2021-07-03
210,5877819269866473834,133,Varejo,90000000,2023-03-26
211,9063923069697484586,49,Varejo,550000,2020-05-12
212,7503596359214566026,192,Loja Física,15000000,2025-07-06
213,7738961936172466357,485,Depósito Regional,1000,2022-10-24
214,4380141284905125670,108,Varejo,35000000,2022-08-24
215,6096316860485073293,382,Fábrica,500,2025-05-01
216,5904389249980847221,161,Depósito Regional,50000000,2024-07-25
217,7293482876198311756,19,Atacado,7000,2020-06-15
218,9086170211245730489,345,Fábrica,300000,2021-11-30
219,6484431299498806673,144,Atacado,50000000,2024-10-01
220,8669035212742836359,95,Loja Física,5500,2021-04-06
221,9818742172211116930,441,Centro de Distribuição,600000,2024-10-09
222,5887827856817815514,432,Centro de Distribuição,9500,2025-09-09
223,8436001618416722822,135,Loja Física,650000,2023-03-04
224,1231864526283521414,93,Fábrica,6500,2024-03-12
225,9816875668037282614,354,Fábrica,35000000,2025-04-20
226,8825018895664877542,320,Fábrica,60000000,2021-08-11
227,5290156193955002970,96,Loja Física,95000000,2021-12-12
228,2659823232087227864,497,Varejo,20000000,2021-08-27
229,8939853273871641337,457,Varejo,55000000,2021-10-01
230,5840042595093856642,202,Atacado,85000000,2023-05-23
231,8724851564584308769,220,Loja Física,500,2025-04-14
232,5078397503084787687,108,Depósito Regional,2000,2020-05-22
233,9683418428020228926,205,Centro de Distribuição,250000,2024-04-03
234,2426860710572281681,402,Varejo,6500,2025-05-25
235,5179201663615678208,86,Fábrica,60000000,2020-08-20
236,9397089378643005304,103,Loja Física,900000,2020-01-02
237,5180911561625326389,168,Loja Física,9000,2020-01-21
238,8932008291176621867,471,Fábrica,50000000,2023-09-01
239,6912265324120166197,153,Atacado,8500,2025-04-26
240,9393964443526003812,332,Centro de Distribuição,350000,2024-12-23
241,7343161872009149756,477,Varejo,4000,2025-06-24
242,7407169169357642614,252,Fábrica,750000,2023-06-12
243,5197582065608603920,69,Varejo,150000,2024-02-09
244,9263295516155749716,194,Centro de Distribuição,20000000,2022-02-03
245,2331958437551122373,40,Depósito Regional,150000,2025-10-30
246,2749425523832667780,167,Varejo,800000,2022-05-30
247,9393697970618407354,51,Varejo,6500,2024-05-03
248,1051104192599154061,125,Depósito Regional,9500,2020-12-29
249,2170770750477066811,79,Fábrica,250000,2021-12-02
250,1734518712755838503,314,Varejo,7500,2023-10-31
251,2450494826005809158,452,Atacado,25000000,2020-11-05
252,5559817301338965698,17,Atacado,25000000,2022-03-02
253,1869922399444909109,16,Fábrica,3000,2023-07-15
254,9412218636072153320,417,Loja Física,400000,2025-02-11
255,7202209087585634053,90,Centro de Distribuição,700000,2024-03-25
256,5998322012723446746,455,Fábrica,3000,2022-03-08
257,5982839321051532028,371,Loja Física,90000000,2020-11-20
258,2022368698739884129,233,Atacado,90000000,2020-12-29
259,4739231817980537704,419,Atacado,2000,2022-05-11
260,5376623016604899135,219,Varejo,5500,2022-10-15
261,6793146929684267576,40,Varejo,750000,2024-01-18
262,1766812084036724060,19,Depósito Regional,30000000,2021-03-29
263,4085156112320822685,497,Varejo,85000000,2020-07-05
264,7864666333865492134,337,Depósito Regional,80000000,2023-03-26
265,8948379253588794627,115,Loja Física,550000,2024-05-04
266,1276709185793275400,413,Loja Física,9500,2024-07-10
267,7731977214848762689,25,Fábrica,250000,2024-06-03
268,2788719616659195186,158,Centro de Distribuição,8500,2024-01-06
269,6783784503195326409,40,Varejo,70000000,2020-10-02
270,4034120097581376061,396,Centro de Distribuição,250000,2025-05-21
271,6609507907532136712,430,Centro de Distribuição,600000,2025-07-07
272,4034152859163197032,106,Atacado,2500,2024-01-11
273,7026799598719868492,161,Atacado,3000,2024-06-14
274,1511923018058541863,281,Loja Física,15000000,2024-05-05
275,1839070910017695885,222,Loja Física,5000,2020-10-11
276,3438681416698606353,137,Fábrica,300000,2020-10-13
277,8626756455730313069,159,Centro de Distribuição,60000000,2021-10-11
278,9582856631829912464,436,Atacado,15000000,2025-04-06
279,5076944261838963562,150,Depósito Regional,7000,2022-02-01
280,8141548701175541097,331,Atacado,8500,2020-12-17
281,7134558778993320989,114,Varejo,25000000,2024-08-20
282,1278071307954219029,348,Varejo,6000,2023-12-18
283,7347884856515879485,83,Varejo,100000,2025-07-16
284,8053467713760724766,432,Fábrica,6000,2021-02-14
285,8140262684637019419,141,Atacado,650000,2024-01-22
286,3599139474713744544,241,Loja Física,750000,2022-02-19
287,4601184639787149444,28,Depósito Regional,85000000,2025-12-28
288,8470364877739781660,120,Atacado,1000,2023-08-24
289,3868408440083807810,260,Fábrica,150000,2024-12-30
290,5800071921876512325,373,Varejo,40000000,2023-07-06
291,2938475432979954206,211,Atacado,55000000,2021-02-10
292,3669550592429638885,58,Loja Física,550000,2022-10-12
293,2654420772369889961,260,Loja Física,35000000,2023-01-21
294,3183527436798218668,454,Centro de Distribuição,95000000,2020-10-07
295,8979897772075892686,359,Fábrica,80000000,2024-09-18
296,3192657299895318481,95,Varejo,15000000,2021-11-22
297,1487983661726984104,93,Loja Física,750000,2023-03-15
298,6531325683366792453,308,Varejo,400000,2022-03-14
299,4003011547043198933,138,Depósito Regional,7000,2020-08-01
300,1735433987966895598,127,Fábrica,9000,2022-11-22
301,8503749106405490590,223,Atacado,150000,2024-12-30
302,6100399008207216732,317,Centro de Distribuição,1000,2021-12-23
303,9786964355008144464,234,Atacado,350000,2024-07-03
304,7859082520489976085,462,Loja Física,600000,2023-04-07
305,9472406795323064642,393,Varejo,650000,2023-08-06
306,6850477229305878324,99,Loja Física,4000,2020-11-30
307,8822569057858652769,384,Varejo,55000000,2023-03-01
308,2864393963960308913,235,Atacado,95000000,2022-04-12
309,7341379714132596323,291,Atacado,200000,2020-09-12
310,4619446765156398507,493,Fábrica,500000,2020-03-21
311,2702833688738469201,406,Fábrica,650000,2023-08-30
312,1320665135017276180,423,Centro de Distribuição,10000000,2021-05-16
313,2035194694894552886,188,Varejo,20000000,2023-02-02
314,2131143149813425969,455,Centro de Distribuição,200000,2024-08-10
315,2411776088124567030,480,Varejo,55000000,2021-02-16
316,3644219499273934337,288,Loja Física,2500,2025-07-21
317,8292875814227597649,34,Varejo,150000,2023-10-11
318,3023915106609845996,116,Centro de Distribuição,4000,2024-05-11
319,5540922659476818355,123,Depósito Regional,3000,2025-05-20
320,4155377239458201181,396,Depósito Regional,5500,2021-01-26
321,2098451074582960921,250,Centro de Distribuição,85000000,2023-11-26
322,2469620571008463475,128,Atacado,600000,2022-04-12
323,5000754757848146965,460,Varejo,10000000,2021-06-13
324,4520364176821730801,123,Loja Física,2000,2020-10-08
325,3393016073044569114,148,Varejo,2500,2025-03-18
326,9184139113715892130,25,Loja Física,9500,2023-03-02
327,2898453628603276303,270,Atacado,750000,2022-03-31
328,4188364890372691965,98,Depósito Regional,650000,2020-09-26
329,5690164875176209873,141,Depósito Regional,25000000,2020-07-07
330,9266969742357533765,370,Depósito Regional,8500,2021-09-27
331,7474328184510405877,412,Varejo,1500,2023-08-10
332,7475054698804088287,259,Loja Física,10000000,2025-03-21
333,1533380641896583814,406,Loja Física,60000000,2022-06-21
334,1451658331641483099,499,Loja Física,35000000,2023-10-24
335,5925107720945033242,233,Atacado,700000,2021-06-14
336,6136617314748585499,140,Loja Física,500000,2025-03-20
337,3829430000853999935,49,Depósito Regional,500,2024-09-02
338,6855154330428784538,466,Depósito Regional,5000,2024-03-23
339,3280633326208427751,194,Fábrica,500000,2024-08-01
340,4945230127972534533,230,Varejo,5000000,2023-04-04
341,1271954720574223183,443,Fábrica,2500,2020-10-11
342,4831536164374492313,51,Fábrica,750000,2025-05-31
343,7344409307567332082,128,Depósito Regional,700000,2024-12-08
344,3878095893024710540,247,Loja Física,9500,2021-05-14
345,4337297504215828646,340,Atacado,8000,2020-08-25
346,6557667298369623185,400,Fábrica,80000000,2023-04-21
347,1275614231005556501,394,Loja Física,2000,2024-09-16
348,4829929301749621737,342,Fábrica,600000,2025-08-17
349,9760813058413929936,320,Atacado,65000000,2022-03-28
350,2113918445717165593,115,Varejo,5000000,2025-07-20
351,2786724690833800038,171,Atacado,850000,2022-10-09
352,1425491576072502210,403,Fábrica,30000000,2022-07-23
353,9832453668329854743,172,Depósito Regional,6500,2024-08-29
354,6509653746722196309,449,Depósito Regional,1500,2022-07-03
355,6585464578371059194,322,Varejo,65000000,2022-10-03
356,7332553147301345853,500,Varejo,750000,2023-10-02
357,2467878661566133953,233,Fábrica,60000000,2022-03-06
358,3460767538963973508,176,Centro de Distribuição,90000000,2024-04-18
359,4536624224637982075,75,Centro de Distribuição,3500,2020-04-19
360,3535224712817519530,145,Centro de Distribuição,500000,2023-04-02
361,6019038015513073454,59,Depósito Regional,850000,2020-08-02
362,2209453583646056932,457,Varejo,850000,2020-09-22
363,1988695920342177472,168,Centro de Distribuição,5500,2024-10-30
364,4181923222426507630,299,Atacado,700000,2023-04-02
365,8901761420777712973,161,Fábrica,7000,2022-09-23
366,1533967419786606450,98,Fábrica,85000000,2025-09-04
367,9507180263358587812,405,Atacado,90000000,2022-10-10
368,4498514975770449080,313,Loja Física,9000,2022-04-12
369,9829473474503940709,297,Fábrica,4500,2022-07-22
370,8270820961411582929,70,Depósito Regional,4000,2023-12-03
371,6457488060629701462,161,Loja Física,950000,2023-08-21
372,5260908700239125497,322,Atacado,750000,2025-05-08
373,2705182054030071406,453,Atacado,95000000,2023-11-18
374,9294019229357105082,203,Fábrica,50000000,2025-11-05
375,4640648313741881010,25,Varejo,650000,2023-10-02
376,7551050752022844382,445,Atacado,10000000,2025-04-22
377,5492958362475133450,11,Depósito Regional,7000,2025-07-27
378,8528666711380688507,183,Loja Física,6000,2023-12-04
379,9802784588701035213,327,Varejo,45000000,2024-07-18
380,3419503300367916571,393,Loja Física,350000,2021-03-25
381,2350420490751800147,146,Centro de Distribuição,800000,2020-01-05
382,8866803343262715369,499,Varejo,80000000,2024-08-04
383,2452543515772635811,187,Loja Física,100000,2022-01-05
384,5539448723927945635,305,Depósito Regional,10000000,2021-06-26
385,5190080957113055885,63,Loja Física,90000000,2025-01-06
386,1521392817813173352,103,Varejo,60000000,2022-02-21
387,4892125135635889961,85,Varejo,5000,2022-02-22
388,3610787877070383363,92,Fábrica,500,2020-12-15
389,2974378770747533746,225,Fábrica,95000000,2025-01-12
390,6505269817877790603,27,Varejo,6500,2021-03-03
391,8710336166199430039,481,Centro de Distribuição,2500,2024-10-28
392,8711377180721916478,471,Loja Física,3500,2021-08-04
393,1610617152691992940,442,Depósito Regional,8000,2024-05-08
394,9736920715052678589,464,Centro de Distribuição,850000,2022-03-03
395,5440937910632655323,211,Depósito Regional,450000,2023-10-11
396,8979603278155646944,119,Fábrica,15000000,2021-05-24
397,5036997332374696649,428,Varejo,6500,2021-04-24
398,3065847444188966436,60,Loja Física,900000,2023-03-03
399,3201987156935718725,326,Centro de Distribuição,400000,2025-07-19
400,9703180003586442990,279,Depósito Regional,9000,2020-10-03
401,7017615300311103628,397,Fábrica,1000,2025-01-19
402,5656242018847917451,376,Atacado,800000,2025-03-14
403,7821476570859789760,30,Atacado,35000000,2021-09-24
404,7921581665806623816,85,Loja Física,15000000,2024-11-07
405,1082231820122278423,443,Centro de Distribuição,5000000,2024-03-22
406,2566983154332238552,37,Varejo,2500,2022-12-20
407,7851039381734312597,222,Depósito Regional,4000,2024-12-05
408,2495653376403861736,259,Depósito Regional,80000000,2024-12-05
409,3939349563226348479,109,Fábrica,850000,2022-05-06
410,3445196576051660251,106,Varejo,65000000,2024-07-16
411,8591043781005773712,438,Varejo,4000,2022-06-01
412,5341077526799840693,215,Varejo,800000,2021-02-14
413,2411639850792144029,289,Loja Física,150000,2020-04-04
414,8442419419074414005,194,Loja Física,75000000,2025-05-16
415,9752395813849786659,81,Varejo,5000000,2021-09-25
416,4560870481522262184,42,Depósito Regional,4000,2021-03-09
417,8555029422556626288,14,Centro de Distribuição,800000,2024-02-22
418,7751652075153534763,129,Atacado,4000,2024-08-25
419,4689211893338842948,27,Varejo,60000000,2025-08-06
420,1403861194030905178,58,Centro de Distribuição,35000000,2025-05-08
421,1280636542388683535,319,Atacado,6000,2024-11-17
422,8590699680403958660,326,Centro de Distribuição,450000,2023-05-21
423,2869647440513477356,243,Atacado,65000000,2020-03-31
424,5948772335977858350,237,Depósito Regional,15000000,2022-11-06
425,8028284227426009910,116,Loja Física,850000,2022-06-15
426,1004241597712089797,273,Atacado,2500,2021-11-01
427,5041485606161603416,212,Centro de Distribuição,5000,2024-05-25
428,4429832360944839636,33,Fábrica,650000,2025-05-01
429,6975282668657838747,191,Fábrica,85000000,2022-02-16
430,4359772081369043453,366,Centro de Distribuição,5000000,2021-10-10
431,7020383249294109690,430,Centro de Distribuição,400000,2022-07-26
432,6293638840079750272,221,Fábrica,7500,2022-06-11
433,7641681241136795190,132,Loja Física,3000,2025-09-13
434,3886230299850925104,220,Fábrica,7500,2025-08-28
435,1059436823903855831,463,Loja Física,90000000,2024-06-20
436,2527339902399222972,112,Depósito Regional,1000,2020-08-24
437,3688244782123573536,127,Fábrica,70000000,2025-08-25
438,7560115082749415263,70,Fábrica,85000000,2021-01-02
439,2896901836126593366,287,Varejo,350000,2021-08-23
440,6447703504661996751,368,Varejo,700000,2025-07-09
441,4359823452175690246,314,Fábrica,35000000,2023-06-16
442,1222007619450992941,175,Atacado,8500,2022-10-28
443,4089024633863041427,326,Varejo,55000000,2024-05-02
444,5063140394690334287,136,Loja Física,200000,2025-05-30
445,7871704653790138398,235,Centro de Distribuição,3500,2025-03-10
446,1642784564217596972,97,Centro de Distribuição,650000,2025-09-24
447,2477585448269953246,266,Loja Física,900000,2020-02-14
448,6340100886910145552,311,Varejo,9000,2024-01-04
449,9764785122098002681,107,Depósito Regional,450000,2020-03-19
450,5942369395387150719,107,Centro de Distribuição,8000,2022-08-08
451,6992957265845537644,243,Varejo,900000,2022-11-14
452,5198142956694961928,464,Atacado,250000,2020-06-21
453,8002697399914311357,122,Atacado,50000,2025-02-18
454,1458220613693114628,478,Loja Física,2000,2021-05-20
455,2775929700360488675,459,Depósito Regional,9000,2020-06-25
456,4798516638511341704,247,Atacado,30000000,2024-01-06
457,6261575993501955872,126,Depósito Regional,80000000,2024-08-16
458,5249951235937457858,395,Depósito Regional,850000,2024-12-30
459,5997786592067029579,395,Fábrica,95000000,2021-08-12
460,4154530163122993654,489,Atacado,65000000,2025-07-20
461,2956732787695802350,409,Depósito Regional,400000,2020-04-30
462,4877202561370662204,315,Atacado,400000,2020-06-01
463,9179004107803960323,89,Loja Física,15000000,2025-07-19
464,8733077549732460419,388,Atacado,85000000,2023-09-29
465,2890096865767109075,356,Centro de Distribuição,80000000,2024-08-28
466,8051343929709496705,496,Depósito Regional,300000,2025-05-11
467,3289636055054580880,116,Fábrica,50000000,2021-07-05
468,6808491718037262053,477,Loja Física,850000,2021-09-25
469,1678530570419359301,312,Centro de Distribuição,75000000,2022-02-11
470,7607606229757831487,99,Centro de Distribuição,35000000,2023-09-07
471,1835234836993856475,33,Loja Física,5000000,2022-02-17
472,1641086768276143135,489,Fábrica,650000,2022-04-25
473,9346988091681395016,339,Varejo,500000,2025-06-17
474,4530468599450810123,255,Varejo,2000,2023-05-11
475,1412161339357034593,500,Loja Física,60000000,2022-12-08
476,2610586278568198551,386,Depósito Regional,80000000,2022-03-21
477,7657842294059166667,20,Depósito Regional,9500,2024-08-19
478,1001305735961912900,128,Centro de Distribuição,9500,2020-08-14
479,7899459764832948541,174,Centro de Distribuição,30000000,2024-11-05
480,7336898744974891285,287,Depósito Regional,1500,2024-07-26
