,ID_Estoque,CEP
88,6.197812050510066e+18,15114-196
89,4.2138100938508984e+18,30662-469
90,4.3395801968843745e+18,17444-323
91,4.326491130922673e+18,44945-967
92,6.598940999079579e+18,76983-667
93,5.958523300522463e+18,95099-585
94,5.282477286770373e+18,39151-544
95,3.0917322473183534e+18,99336-710
96,4.663389849397319e+18,30304-704
97,9.502886275931367e+18,92644-799
98,4.350991423756676e+18,25516-414
99,3.116927556761022e+18,83250-615
100,3.5702671962259103e+18,43547-304
101,1.6122167564907105e+18,91222-846
102,2.212403632217389e+18,07783-796
103,2.7898955648202373e+18,05051-068
104,5.070572548245194e+18,06643-681
105,3.4252305212566917e+18,26929-581
106,4.73479477525371e+18,51973-957
107,9.758750161963108e+18,45116-305
108,7.756117167143642e+18,71243-294
109,1.2287557073188754e+18,89067-975
110,5.874986296006764e+18,10379-746
111,8.14463281509605e+18,28770-566
112,2.3697347933837737e+18,11083-538
113,3.3246429682011e+18,03659-307
114,3.702186084343763e+18,48229-884
115,7.431165683919488e+18,99306-883
116,5.885148249889625e+18,41877-436
117,1.0886826285792187e+18,80402-902
118,9.387291630110368e+18,66082-094
119,5.027305176517242e+18,17851-811
120,6.333262017652318e+18,42247-451
121,4.243243003153737e+18,73068-802
122,7.157166748642243e+18,04226-931
123,7.38370510341829e+18,17190-350
124,6.346194120029222e+18,64233-021
125,1.2779271430808586e+18,46295-996
126,4.749490746733307e+18,32111-165
127,2.594916167033048e+18,98065-287
128,2.5753608131790925e+18,26470-229
129,8.881220253027847e+18,89109-878
130,9.536519074442711e+18,74080-012
131,6.602043089111476e+18,16109-108
132,4.848475401138887e+18,45406-263
133,2.6953674665399337e+18,78696-454
134,9.901156623978172e+18,82071-880
135,6.510475974852226e+18,78452-107
136,2.2429624433727547e+18,97331-574
137,2.765409371109286e+18,86855-808
138,2.305513689635147e+18,18333-094
139,5.481337849581499e+18,51894-535
140,5.091290341571957e+18,71802-619
141,6.331189514997903e+18,60318-395
142,9.430341476951527e+18,14038-423
143,2.6256630737139476e+18,56937-176
144,2.9901927811684076e+18,46367-028
145,9.653803680837624e+18,64459-430
146,9.80995023592032e+18,73310-981
147,5.963749164922847e+18,99026-524
148,5.461394412503899e+18,13826-036
149,2.2544098677955773e+18,10619-707
150,7.53137267087167e+18,91307-388
151,1.5950584085125222e+18,78774-718
152,6.703894850346292e+18,82001-376
153,9.429919923726019e+18,09057-702
154,4.756311408864989e+18,74384-186
155,5.065214572544086e+18,73774-903
156,3.9804932593269596e+18,13767-294
157,9.574269438156136e+18,89874-486
158,9.781754669111355e+18,09356-530
159,5.233104234728089e+18,68749-264
160,8.45532811897392e+18,66604-565
161,8.781845373954843e+18,62067-982
162,6.974128048241107e+18,18421-086
163,4.5878679074024044e+18,14018-765
164,7.560505747193118e+18,96088-449
165,7.611302531029975e+18,05227-053
166,6.313089006699513e+18,41849-154
167,4.47227674604338e+18,57603-289
168,8.054980265314106e+18,57634-693
169,5.101950605488534e+18,00097-003
170,5.394534527907126e+18,24288-079
171,5.947852913133881e+18,56518-862
172,3.909817200863642e+18,64930-429
173,5.560338657220747e+18,56080-340
174,2.0729379845451756e+18,55848-210
175,4.452163952997617e+18,16128-381
176,9.163702295416227e+18,44830-313
177,1.6563526483728745e+18,57383-341
178,3.478561818212621e+18,06772-170
179,3.9288130936459e+18,60717-875
180,5.473003667933639e+18,70040-616
181,2.993103234686866e+18,80087-678
182,7.344270014356083e+18,08943-790
183,9.572364297293312e+18,60211-350
184,1.0253782024872165e+18,25620-790
185,8.944500751079161e+18,99032-745
186,2.1324781316287974e+18,40081-613
187,4.123136454911727e+18,96616-522
188,6.943059169090287e+18,10350-669
189,4.0349075535312353e+18,36838-786
190,3.937008461966193e+18,63597-204
191,7.825151262984028e+18,31258-975
192,9.727683215148851e+18,11045-110
193,8.999238125490692e+18,91674-338
194,1.355169337167911e+18,66567-138
195,6.635852682691585e+18,51520-237
196,5.726304453488757e+18,09502-910
197,7.455744018801802e+18,94391-335
198,2.9152957429240294e+18,14585-355
199,4.2138577310845824e+18,21332-778
200,6.205441263083099e+18,19103-700
201,9.545252244587987e+18,71583-485
202,2.132423814254418e+18,80194-106
203,1.6838137979277478e+18,88765-978
204,3.3896795366882893e+18,75827-215
205,8.144563752301328e+18,86338-119
206,6.27305357100273e+18,72377-561
207,2.9692967600692726e+18,31154-154
208,8.166631597668903e+18,05718-542
209,4.0184496305153075e+18,87385-272
210,5.877819269866473e+18,37140-064
211,9.063923069697485e+18,08652-764
212,7.503596359214566e+18,11611-685
213,7.738961936172466e+18,22041-198
214,4.380141284905126e+18,61090-830
215,6.096316860485073e+18,88337-556
216,5.904389249980847e+18,97799-989
217,7.293482876198312e+18,19453-871
218,9.086170211245731e+18,36651-794
219,6.484431299498806e+18,39776-902
220,8.669035212742836e+18,57995-240
221,9.818742172211116e+18,63154-662
222,5.887827856817816e+18,40449-736
223,8.436001618416723e+18,27615-478
224,1.2318645262835215e+18,24541-130
225,9.816875668037282e+18,47070-753
226,8.825018895664878e+18,32830-355
227,5.290156193955003e+18,80228-170
228,2.659823232087228e+18,54399-241
229,8.939853273871642e+18,73682-629
230,5.840042595093856e+18,88640-899
231,8.724851564584309e+18,19834-202
232,5.078397503084788e+18,77021-588
233,9.683418428020228e+18,09303-736
234,2.426860710572282e+18,24575-828
235,5.179201663615678e+18,89401-868
236,9.397089378643005e+18,90436-338
237,5.180911561625327e+18,11907-541
238,8.932008291176622e+18,68319-428
239,6.912265324120166e+18,75592-170
240,9.393964443526005e+18,32284-438
241,7.343161872009149e+18,20550-249
242,7.407169169357643e+18,62437-954
243,5.197582065608604e+18,12071-315
244,9.26329551615575e+18,42725-545
245,2.3319584375511224e+18,07703-997
246,2.7494255238326676e+18,50149-451
247,9.393697970618407e+18,24443-468
248,1.051104192599154e+18,07203-066
249,2.1707707504770668e+18,91250-457
250,1.7345187127558385e+18,81694-082
251,2.450494826005809e+18,52777-014
252,5.559817301338966e+18,06876-621
253,1.869922399444909e+18,22986-073
254,9.412218636072153e+18,79046-718
255,7.202209087585634e+18,99172-378
256,5.998322012723447e+18,63752-343
257,5.982839321051532e+18,05369-972
258,2.022368698739884e+18,68015-367
259,4.739231817980538e+18,31318-426
260,5.376623016604899e+18,63602-674
261,6.793146929684268e+18,30013-843
262,1.766812084036724e+18,04162-528
263,4.085156112320823e+18,57875-798
264,7.864666333865492e+18,33299-583
265,8.948379253588794e+18,22173-343
266,1.2767091857932754e+18,37634-010
267,7.731977214848763e+18,23084-102
268,2.7887196166591954e+18,50434-207
269,6.783784503195326e+18,75294-924
270,4.034120097581376e+18,13514-159
271,6.609507907532136e+18,98030-362
272,4.034152859163197e+18,64133-769
273,7.026799598719869e+18,45248-883
274,1.5119230180585418e+18,33141-404
275,1.839070910017696e+18,48838-826
276,3.4386814166986066e+18,04116-738
277,8.626756455730313e+18,02829-203
278,9.582856631829912e+18,85565-089
279,5.076944261838964e+18,52503-283
280,8.141548701175541e+18,10388-930
281,7.134558778993321e+18,81637-804
282,1.278071307954219e+18,31197-092
283,7.34788485651588e+18,45029-224
284,8.053467713760725e+18,60011-810
285,8.140262684637019e+18,64385-079
286,3.5991394747137444e+18,46416-624
287,4.6011846397871493e+18,29369-770
288,8.470364877739782e+18,72207-764
289,3.8684084400838077e+18,21620-943
290,5.800071921876513e+18,51605-260
291,2.938475432979954e+18,35417-582
292,3.6695505924296387e+18,08108-180
293,2.65442077236989e+18,98525-953
294,3.183527436798219e+18,26307-415
295,8.979897772075893e+18,24324-708
296,3.1926572998953185e+18,52420-065
297,1.4879836617269842e+18,28942-237
298,6.531325683366792e+18,64738-082
299,4.003011547043199e+18,96054-363
300,1.7354339879668956e+18,84451-852
301,8.503749106405491e+18,54499-069
302,6.100399008207217e+18,49755-136
303,9.786964355008145e+18,60274-839
304,7.859082520489976e+18,79065-105
305,9.472406795323064e+18,17933-892
306,6.850477229305879e+18,55732-248
307,8.822569057858653e+18,19590-666
308,2.8643939639603087e+18,08961-615
309,7.341379714132597e+18,73238-567
310,4.619446765156398e+18,44162-645
311,2.7028336887384694e+18,14550-448
312,1.3206651350172762e+18,83694-528
313,2.0351946948945528e+18,00312-564
314,2.131143149813426e+18,51427-669
315,2.411776088124567e+18,19880-410
316,3.6442194992739343e+18,64984-258
317,8.292875814227597e+18,07231-224
318,3.023915106609846e+18,84106-758
319,5.540922659476818e+18,46611-467
320,4.155377239458201e+18,44334-135
321,2.098451074582961e+18,72670-819
322,2.4696205710084634e+18,08122-277
323,5.000754757848147e+18,12892-689
324,4.520364176821731e+18,39122-358
325,3.393016073044569e+18,49091-747
326,9.184139113715892e+18,01481-414
327,2.8984536286032763e+18,78436-597
328,4.188364890372692e+18,39224-004
329,5.690164875176209e+18,91841-266
330,9.266969742357535e+18,76791-221
331,7.474328184510406e+18,77257-831
332,7.475054698804088e+18,06885-232
333,1.533380641896584e+18,60677-434
334,1.451658331641483e+18,71371-068
335,5.925107720945033e+18,91060-171
336,6.136617314748586e+18,33295-367
337,3.829430000854e+18,41358-824
338,6.855154330428785e+18,28336-290
339,3.2806333262084275e+18,60215-081
340,4.945230127972534e+18,76753-884
341,1.271954720574223e+18,81723-332
342,4.831536164374492e+18,55948-619
343,7.344409307567332e+18,10244-397
344,3.8780958930247107e+18,37559-985
345,4.3372975042158285e+18,75695-833
346,6.557667298369623e+18,13029-586
347,1.2756142310055565e+18,82246-535
348,4.829929301749622e+18,71026-121
349,9.76081305841393e+18,53029-746
350,2.1139184457171656e+18,89126-703
351,2.7867246908338e+18,66541-490
352,1.4254915760725023e+18,98791-596
353,9.832453668329855e+18,75429-501
354,6.509653746722196e+18,11164-690
355,6.585464578371059e+18,69045-631
356,7.332553147301346e+18,47176-278
357,2.467878661566134e+18,19226-501
358,3.4607675389639736e+18,95750-569
359,4.536624224637982e+18,72925-815
360,3.5352247128175196e+18,00527-053
361,6.019038015513074e+18,01561-437
362,2.209453583646057e+18,13258-821
363,1.9886959203421775e+18,90458-162
364,4.181923222426508e+18,86902-368
365,8.901761420777713e+18,16314-802
366,1.5339674197866063e+18,68738-856
367,9.507180263358587e+18,26200-534
368,4.498514975770449e+18,00856-373
369,9.82947347450394e+18,69581-566
370,8.270820961411583e+18,86311-020
371,6.457488060629702e+18,39008-308
372,5.260908700239126e+18,78358-075
373,2.7051820540300713e+18,13182-718
374,9.294019229357105e+18,30772-089
375,4.640648313741881e+18,28882-888
376,7.551050752022844e+18,24680-626
377,5.492958362475134e+18,99366-471
378,8.528666711380689e+18,24292-382
379,9.802784588701034e+18,66858-819
380,3.4195033003679165e+18,30654-110
381,2.3504204907518003e+18,02477-693
382,8.866803343262715e+18,63283-245
383,2.4525435157726356e+18,41074-384
384,5.539448723927945e+18,89988-218
385,5.190080957113056e+18,06536-512
386,1.5213928178131732e+18,39030-432
387,4.89212513563589e+18,23632-708
388,3.6107878770703836e+18,15208-493
389,2.974378770747534e+18,72996-683
390,6.505269817877791e+18,86348-458
391,8.71033616619943e+18,24696-912
392,8.711377180721917e+18,50757-092
393,1.6106171526919928e+18,83282-152
394,9.73692071505268e+18,54792-896
395,5.440937910632655e+18,25662-698
396,8.979603278155647e+18,23321-561
397,5.036997332374697e+18,05493-984
398,3.0658474441889664e+18,19799-844
399,3.201987156935719e+18,46456-785
400,9.703180003586443e+18,68277-797
401,7.017615300311103e+18,31550-431
402,5.656242018847917e+18,98808-163
403,7.821476570859789e+18,79102-415
404,7.921581665806624e+18,80070-965
405,1.0822318201222784e+18,55504-880
406,2.5669831543322383e+18,87056-213
407,7.851039381734313e+18,68111-881
408,2.4956533764038615e+18,77957-854
409,3.9393495632263485e+18,98572-633
410,3.4451965760516603e+18,17075-395
411,8.591043781005774e+18,84188-804
412,5.34107752679984e+18,90943-909
413,2.411639850792144e+18,54698-934
414,8.442419419074414e+18,80957-221
415,9.752395813849786e+18,93065-016
416,4.560870481522262e+18,37819-148
417,8.555029422556626e+18,50630-060
418,7.751652075153535e+18,94841-899
419,4.689211893338843e+18,59814-582
420,1.403861194030905e+18,99383-057
421,1.2806365423886835e+18,20374-681
422,8.590699680403959e+18,20268-228
423,2.869647440513477e+18,68701-241
424,5.948772335977858e+18,66464-912
425,8.02828422742601e+18,47021-175
426,1.0042415977120899e+18,85938-313
427,5.041485606161604e+18,11046-597
428,4.4298323609448397e+18,42922-191
429,6.975282668657839e+18,92718-356
430,4.3597720813690435e+18,86132-203
431,7.02038324929411e+18,77694-020
432,6.29363884007975e+18,38673-977
433,7.641681241136796e+18,65003-972
434,3.886230299850925e+18,41478-860
435,1.0594368239038559e+18,60671-200
436,2.527339902399223e+18,47933-890
437,3.688244782123574e+18,64774-415
438,7.560115082749415e+18,46910-302
439,2.8969018361265935e+18,79443-973
440,6.447703504661997e+18,38929-383
441,4.35982345217569e+18,07442-845
442,1.222007619450993e+18,92988-540
443,4.0890246338630415e+18,49528-585
444,5.063140394690335e+18,42469-190
445,7.871704653790138e+18,83780-908
446,1.642784564217597e+18,10592-781
447,2.477585448269953e+18,91191-340
448,6.340100886910146e+18,31608-813
449,9.764785122098002e+18,54385-294
450,5.94236939538715e+18,77951-042
451,6.992957265845538e+18,31016-947
452,5.198142956694962e+18,21927-389
453,8.002697399914312e+18,42888-372
454,1.4582206136931146e+18,25467-888
455,2.7759297003604884e+18,44767-582
456,4.798516638511342e+18,94116-747
457,6.261575993501956e+18,98920-247
458,5.249951235937458e+18,50063-960
459,5.99778659206703e+18,42556-121
460,4.1545301631229937e+18,44719-766
461,2.9567327876958024e+18,96819-746
462,4.877202561370662e+18,80521-554
463,9.17900410780396e+18,81875-612
464,8.733077549732461e+18,50215-032
465,2.890096865767109e+18,07763-401
466,8.051343929709496e+18,26810-491
467,3.2896360550545807e+18,26048-440
468,6.808491718037262e+18,66597-411
469,1.6785305704193592e+18,65844-708
470,7.607606229757831e+18,05768-493
471,1.8352348369938565e+18,01531-827
472,1.641086768276143e+18,48997-453
473,9.346988091681395e+18,11902-839
474,4.5304685994508104e+18,71402-129
475,1.4121613393570345e+18,06554-097
476,2.6105862785681987e+18,38256-758
477,7.657842294059167e+18,52376-863
478,1.001305735961913e+18,54497-033
479,7.899459764832948e+18,19182-387
480,7.336898744974891e+18,59811-116
481,1.9092799751234214e+18,23216-997
482,4.685063529041001e+18,28116-105
483,4.900478106157465e+18,51349-272
484,5.329978860755444e+18,37352-727
485,5.019536463610975e+18,58429-437
486,9.097134285126468e+18,14913-075
487,5.352829587397427e+18,93402-950
488,4.020594109183247e+18,42315-329
489,7.325452172940233e+18,44470-701
490,1.1058373714845064e+18,34114-545
491,8.215783511641146e+18,05029-227
492,8.961103938743468e+18,25241-304
493,5.207206854706372e+18,14300-233
494,3.7357239921659566e+18,90001-199
495,2.993538520981033e+18,41879-751
496,3.083251993293903e+18,19719-335
497,4.074733396604626e+18,18125-155
498,1.7105782197989655e+18,91276-180
499,9.117381895252798e+18,05922-607
500,9.660119053641998e+18,77093-154
501,7.188572313866718e+18,54725-912
502,3.027592589359706e+18,77166-902
503,4.829987812148111e+18,40561-672
504,3.6718599666593915e+18,71285-035
505,7.606574655478895e+18,28868-929
506,2.6149701251582925e+18,93981-381
507,7.408918013135616e+18,51059-311
508,2.7399909413516165e+18,01907-164
509,4.780989914977588e+18,16427-413
510,4.1700235985519933e+18,31863-130
511,8.147770612851348e+18,57274-566
512,6.180086321553013e+18,80938-229
513,6.671382600849436e+18,37853-385
514,9.492293748238723e+18,63467-031
515,9.291754287150017e+18,60992-095
516,7.278531848992038e+18,21479-402
517,4.48069925963129e+18,97779-684
518,4.101949959068523e+18,14389-724
519,6.117582040204563e+18,53930-035
520,3.4329892104770104e+18,66905-516
521,1.4680551568363292e+18,08484-925
522,8.99381074747132e+18,58647-755
523,1.426849805515617e+18,95568-317
524,5.337439036908681e+18,67292-724
525,5.452233500788239e+18,78684-960
526,2.357336009623027e+18,65878-700
527,6.950602149077149e+18,28702-873
528,9.823892988680962e+18,91241-921
529,6.54084077451342e+18,19274-149
530,7.964965434913136e+18,78612-208
531,2.828662794402705e+18,68868-372
532,7.824437307915346e+18,31132-520
533,9.054292638176971e+18,09843-788
534,5.111323670401031e+18,19868-129
535,6.984424202976554e+18,37663-333
536,4.2878634195230505e+18,06974-567
537,8.491711797003583e+18,27762-938
538,6.302530014091127e+18,19299-007
539,4.495370055258164e+18,58004-022
540,3.384525947472976e+18,79163-403
541,4.834261268009934e+18,75383-326
542,9.882144919668793e+18,08458-824
543,2.5169992369371464e+18,57293-316
544,9.783091796021635e+18,78605-466
545,7.085253146236715e+18,29540-877
546,4.05155216753763e+18,46942-130
547,5.357957205693795e+18,00800-047
548,7.206115755114803e+18,22605-471
549,2.044453169319108e+18,67771-551
550,4.456665707869742e+18,44082-869
551,5.294090299842266e+18,28976-072
552,1.779942582216964e+18,87807-569
553,4.4644419165779896e+18,13616-354
554,4.6013891323350753e+18,64848-896
555,4.5197074813660605e+18,68138-136
556,5.232824924509799e+18,93224-966
557,8.050915496963906e+18,41820-669
558,5.982894020838894e+18,06451-644
559,8.458953073402125e+18,32641-407
560,4.1414968129717975e+18,79028-791
561,5.130291610371411e+18,06552-732
562,3.7643650865542267e+18,26655-633
563,6.937654893340802e+18,84228-531
564,7.594907348922059e+18,59355-776
565,9.061578397437996e+18,06613-501
566,9.449006904878436e+18,56531-959
567,7.42093438172045e+18,12523-019
568,6.294245254362631e+18,56785-208
569,5.1659486563945e+18,86927-795
570,9.108184091533135e+18,62101-465
571,9.416969741043415e+18,10574-318
572,4.506346939898181e+18,54709-425
573,4.1254847331115464e+18,12464-568
574,6.023491309547132e+18,27320-279
575,2.983927302887031e+18,81761-022
576,2.688724217765094e+18,96125-551
577,3.106266026542964e+18,68947-419
578,7.938896697763137e+18,62633-160
579,7.391674358606602e+18,89049-139
580,7.564547578795041e+18,65269-848
581,5.440531461613604e+18,68212-398
582,9.4752462459475e+18,14811-218
583,1.4172847859234038e+18,02847-369
584,8.845968700644336e+18,09645-933
585,1.9090856083572918e+18,94776-666
586,8.368259200173539e+18,09380-334
587,5.512929110446061e+18,80367-794
588,4.026529638911837e+18,88718-269
589,7.755462116997404e+18,64120-338
590,5.995180579347676e+18,45674-719
591,4.5292271322530975e+18,49770-447
592,2.343530962330189e+18,20626-178
593,8.646236133613061e+18,08339-335
594,4.79043268576915e+18,50941-638
595,2.7535376453572756e+18,40632-077
596,3.5594723060006804e+18,91148-951
597,1.0949266022169382e+18,82319-459
598,8.786148338721097e+18,59142-889
599,3.8000449334944056e+18,29563-392
600,9.957568329087013e+18,49573-927
601,9.049267319180396e+18,03756-747
602,4.1395093909047204e+18,04647-430
603,6.817491251604368e+18,03578-189
604,1.6191262106539315e+18,21436-419
605,9.90936142194906e+18,59492-848
606,8.461036387057768e+18,31175-672
607,7.079294529989655e+18,23600-449
608,7.942618703178328e+18,02171-541
609,7.712514140184753e+18,48633-677
610,2.7598967369309194e+18,03962-661
611,2.6036543552909993e+18,41753-274
612,2.8197854665522857e+18,49243-632
613,5.224916083661831e+18,30138-067
614,9.641444236280529e+18,23970-018
615,5.303783340387433e+18,73929-279
616,8.367539141218979e+18,58158-895
617,1.8135376855569997e+18,00158-081
618,9.796388644848228e+18,63878-665
619,1.9377092842895493e+18,63612-293
620,1.7481030003949125e+18,04820-742
621,9.480931641426057e+18,93499-604
622,8.425460231911426e+18,23022-471
623,1.1259410712805827e+18,92685-665
624,7.041218469913457e+18,05240-076
625,9.931946029056438e+18,33405-194
626,3.981468407074676e+18,33789-743
627,3.260663401068228e+18,14379-646
628,5.749836967937421e+18,93298-670
629,9.830493193118646e+18,98479-798
630,5.036719033290658e+18,27656-609
631,2.734964803259115e+18,44891-909
632,6.666651232251127e+18,48747-863
633,4.240115419163699e+18,22042-696
634,1.6308753607729285e+18,82484-648
635,4.620222219640234e+18,12856-612
636,3.961602557519313e+18,72056-102
637,1.0736403671008118e+18,29605-875
638,1.8336885771710602e+18,24479-768
639,5.43051717579795e+18,99081-836
640,3.7783229995134e+18,18758-512
641,6.108007356621069e+18,61381-580
642,3.517238644511196e+18,18191-865
643,2.5534272396499917e+18,09929-893
644,9.235382368704412e+18,26409-216
645,4.886686076253144e+18,77860-166
646,9.559408336415578e+18,78272-627
647,5.696485925368471e+18,98598-718
648,1.2435177474318994e+18,63188-339
649,8.478933688426576e+18,76859-408
650,3.385874591621229e+18,72458-438
651,5.080921426327794e+18,07406-721
652,2.1976361805419116e+18,61963-644
653,9.798011522191899e+18,81838-498
654,6.735241478527195e+18,66053-760
655,6.837951586748483e+18,94747-735
656,5.259978068230033e+18,14461-265
657,3.3623030564013844e+18,35439-081
658,9.75476099207518e+18,90354-108
659,1.4854471878896896e+18,45651-229
660,6.278522803632521e+18,44088-535
661,9.78726064778438e+18,21175-639
662,9.404096908769837e+18,33158-315
663,2.4434717474774456e+18,11313-319
664,8.796108051974177e+18,98108-173
665,1.5677801141290877e+18,99764-372
666,2.387187325658294e+18,58015-630
667,9.837394345337248e+18,76468-934
668,4.1289174608698936e+18,54545-818
669,7.277128861235708e+18,19250-456
670,3.6422818208007634e+18,60190-708
671,9.59810829558083e+18,30866-760
672,7.548311362003041e+18,63475-698
673,7.876370758194462e+18,46375-046
674,1.2732495371176338e+18,08684-901
675,5.032975927766596e+18,95471-308
676,5.75251224414157e+18,32575-885
677,6.26340648274971e+18,45514-813
678,8.472132955287768e+18,57063-490
679,7.665228358205289e+18,11864-230
680,3.8042477438498043e+18,53581-575
681,2.6812318501801784e+18,88426-931
682,3.872542241017152e+18,64134-639
683,5.811058581007242e+18,63956-043
684,5.599218386852181e+18,63532-531
685,2.4244905508749353e+18,79504-893
686,2.2239472752958902e+18,49837-609
687,4.496590610398983e+18,68298-027
688,5.69658940678255e+18,91050-265
689,3.0782094840911805e+18,08767-840
690,9.887411089101107e+18,33656-100
691,5.600786795331381e+18,11639-807
692,5.697634420744647e+18,66581-283
693,9.888629352509078e+18,47901-732
694,4.392853159872222e+18,34488-477
695,3.999132649675149e+18,58129-158
696,8.764307506212242e+18,17969-018
697,8.281760623443124e+18,69475-000
698,1.7418518444501432e+18,41561-004
699,9.362633832288473e+18,54074-031
700,7.664631040936294e+18,09295-790
701,9.913000580768985e+18,14978-147
702,9.195886669179111e+18,42919-023
703,3.140797315991642e+18,37670-155
704,6.32899493399435e+18,05320-844
705,8.154376704138212e+18,24909-683
706,8.257286352641055e+18,56568-811
707,4.271692877944544e+18,45671-757
708,2.199851459715032e+18,06970-758
709,9.482706467820665e+18,29227-048
710,9.921486208471972e+18,38222-442
711,5.589111850152959e+18,92222-075
712,7.560786009580006e+18,36277-901
713,6.434628708833805e+18,72667-566
714,7.134014612390204e+18,54003-659
715,1.1990576205105787e+18,47503-886
716,8.48368161791431e+18,71550-513
717,9.884884925566022e+18,43220-923
718,6.529071226842736e+18,17074-259
719,6.596786167450989e+18,24152-800
720,7.557194075446442e+18,20462-909
721,2.4342297092711137e+18,97056-316
722,5.399307825638937e+18,64270-678
723,3.9937406722604605e+18,26333-940
724,8.270962337584514e+18,45847-863
725,3.324194216014153e+18,97016-403
726,9.801533979963314e+18,00192-287
727,3.779414889493171e+18,04204-486
728,2.747600269078698e+18,49339-319
729,5.459154943139445e+18,93211-026
730,8.708850063612217e+18,62032-620
731,9.064013883145283e+18,37142-341
732,4.494178373709209e+18,89187-786
733,3.6097527320068797e+18,22108-463
734,9.460199946871073e+18,42745-341
735,7.504313299190177e+18,17535-932
736,4.2019645073248026e+18,53182-967
737,2.236714252275554e+18,45629-610
738,1.4023681589853914e+18,79438-122
739,7.522329777000508e+18,68937-640
740,5.20804520450276e+18,43796-172
741,9.170222705031737e+18,77411-777
742,1.6446037202943964e+18,61514-153
743,1.7744919740414085e+18,54818-804
744,5.133880675064937e+18,11042-685
745,5.937403399599544e+18,84806-330
746,7.277014833393951e+18,75339-665
747,4.07504993130338e+18,25980-447
748,2.3885120355101624e+18,85502-188
749,9.326110862711433e+18,94492-243
750,3.713241925993425e+18,25563-485
751,2.485339752946899e+18,85131-962
752,1.9850658535923658e+18,42336-044
753,7.014023464667783e+18,13763-518
754,2.454184961313234e+18,41298-454
755,6.587321583055366e+18,57471-485
756,5.425918769470404e+18,56523-771
757,5.593097509192914e+18,27472-680
758,6.970257704988331e+18,07896-981
759,5.42289755772461e+18,78940-626
760,5.802356188781399e+18,90215-849
761,2.8506377492175857e+18,45039-594
762,4.597510861161365e+18,16788-454
763,4.264643213456995e+18,74165-091
764,9.220844985657989e+18,14659-331
765,3.085636776766279e+18,11548-330
