,ID_Fabricante,CNPJ,Contato,CEP
44,6880054019756229779,45.833.729/0001-98,11906438805,51268-745
45,9718294571323089501,77.073.654/0001-74,18982781411,56295-876
46,4677421586222607441,17.984.407/0001-79,43946948105,06077-355
47,4936216382293503142,40.372.648/0001-35,71901016458,21756-564
48,1709366767187431108,61.960.903/0001-82,22982867745,79364-158
49,2041120576420172563,64.791.912/0001-64,48974664573,10685-763
50,2642505447819489252,51.191.818/0001-89,77939756383,00938-528
51,4389946781914877697,99.024.545/0001-62,84987623554,01418-747
52,3833427028984063681,73.854.744/0001-80,85960729024,22075-987
53,8832376237496965408,11.830.307/0001-22,54982517042,57281-106
54,8435939817510945324,11.960.602/0001-82,24922851080,78387-867
55,5452997230119074885,13.615.368/0001-27,89930155863,29103-818
56,6725691898202877981,80.980.430/0001-39,84905790314,36526-846
57,6863203244756586824,83.339.457/0001-24,96948792304,52553-614
58,5556644506833676586,62.824.078/0001-34,64905318529,35129-897
59,5701948834858793622,74.314.844/0001-75,94904215485,21237-162
60,6464062083723548301,99.673.333/0001-02,51972590748,31773-006
61,5721238105292676825,61.645.972/0001-23,43931594984,97610-418
62,9036477851428665496,52.871.540/0001-48,18980787733,99343-063
63,5217111984406298000,17.505.273/0001-42,18937378332,61350-311
64,3007547678162870716,21.137.639/0001-10,47967715316,53940-090
65,1224622879421949034,45.647.780/0001-57,64913980541,27610-467
66,2802768276228454983,54.638.558/0001-52,37982901231,36607-695
67,8079958539866027393,98.883.045/0001-20,12955470233,31013-101
68,9525426829605186345,59.633.487/0001-66,47985175791,77191-362
69,6196101201360824853,10.299.043/0001-87,99908164308,96772-965
70,4538140383592638249,47.307.404/0001-25,38992051182,79151-844
71,4447241235706857014,23.933.539/0001-73,88909685127,99298-974
72,5812209748281882048,49.368.216/0001-31,62923212376,37839-777
73,9573459077095692925,40.691.622/0001-66,63920755558,31271-841
74,3932402977218788278,60.960.399/0001-19,21902497714,55378-897
75,7713884246793929209,37.135.908/0001-80,93956004437,67597-652
76,1984805248107246875,44.164.098/0001-04,75983686410,13874-324
77,1466575811653384705,57.652.690/0001-64,61953452655,64050-408
78,1185082317177383381,98.188.232/0001-48,31925620733,48173-002
79,3479628298545832151,71.018.168/0001-43,37994189329,00385-523
80,1967721758078846036,28.155.700/0001-43,73930880010,24374-662
81,9454947672106330914,28.907.858/0001-45,47933567402,36379-408
82,4829704657402013342,20.556.618/0001-31,79982375619,35091-580
83,1333569834876004493,64.598.556/0001-85,62907129021,34482-228
84,6006580358676472972,51.307.197/0001-79,27996359081,60972-512
85,9707375705839591006,03.974.480/0001-97,55904916710,65904-542
86,5363432210563720205,90.539.465/0001-41,81953591586,59100-855
87,4904847622321223156,06.287.577/0001-68,21998294679,70064-113
88,6148588998733166601,76.570.374/0001-04,96951906451,40316-473
89,8569614548222973978,50.652.060/0001-72,37998790695,81380-662
90,4598529649010792882,09.395.897/0001-76,46993430601,25966-478
91,7996944894165214943,25.500.110/0001-60,53936203545,83307-382
92,1245064819090982753,73.100.876/0001-64,31924777822,02512-499
93,4113262297571237776,32.169.560/0001-51,31965887707,67168-017
94,7160122704867412780,99.077.336/0001-65,48992960317,33789-165
95,2142396762938582463,15.081.044/0001-38,69916898299,84455-205
96,9605716012430281141,46.704.864/0001-66,42983834292,56124-663
97,7966509303676268181,82.295.079/0001-32,41963479456,25003-423
98,3687834765272646131,04.886.505/0001-34,66923302026,17918-845
99,3671240338942684768,53.973.425/0001-00,96922252539,35977-775
100,8250453001953861414,44.378.158/0001-55,17934033432,91741-569
101,7342865512551286360,79.055.417/0001-26,73975788095,53109-629
102,6766120531477728348,46.724.858/0001-51,63941461512,15093-635
103,8464399272555324976,12.672.905/0001-25,55930834727,25007-678
104,4473859055780226810,42.737.870/0001-57,64955386354,20825-050
105,9718451301128161088,56.669.336/0001-26,89959588338,52214-730
106,5287792058243463619,99.143.254/0001-71,71914217418,97425-667
107,3160178696923763360,40.351.011/0001-55,17901993275,09297-272
108,7866582570357383006,45.394.536/0001-87,28961041863,07920-803
109,9677153004253986844,60.572.945/0001-20,33906436032,48154-477
110,1262490218064080060,75.935.847/0001-87,85945739795,38858-995
111,5166356573224262288,16.139.409/0001-73,66902494860,34908-707
112,8283616837668980822,65.766.293/0001-30,42963063041,23933-008
113,7912949597753521469,68.181.741/0001-22,79967638368,64521-529
114,2253289596441052168,22.565.332/0001-31,97903783720,77193-230
115,1255594449337296221,94.297.300/0001-10,47983401019,78946-870
116,1631108649381491716,48.105.314/0001-35,44962798177,72988-191
117,6916407518475822338,15.207.754/0001-43,94914379596,72256-592
118,6786854584900011136,54.472.272/0001-93,43931209161,65684-510
119,4461930066399191567,75.132.305/0001-34,75990979292,21880-379
120,8255286464561148646,89.910.346/0001-35,94979213179,69633-926
121,2059638920454238348,49.611.250/0001-35,65955193917,55540-746
122,5430545502507233691,57.933.723/0001-31,44973354461,74181-488
123,3006779262741397080,84.459.682/0001-98,53978875656,06204-675
124,5666121215899803907,27.196.397/0001-13,46922944436,48906-427
125,4335650972774224312,79.696.958/0001-54,75910948958,68290-098
126,6215128551484642769,94.177.787/0001-70,69916092259,46226-019
127,4369436662758973284,93.162.016/0001-56,65941824411,80985-683
128,5626784578055127030,90.390.138/0001-69,68915865925,27167-388
129,1428272718439676598,33.514.134/0001-55,83947211898,19522-107
130,3014885708252539417,90.997.837/0001-37,12951022426,68384-519
131,9159530877701463277,62.117.977/0001-32,41960449874,76133-574
132,4612828159935280939,99.694.543/0001-82,65904001237,81024-942
133,9885981868340733004,39.184.560/0001-26,38971114182,14683-397
134,4478134986295301755,84.793.198/0001-96,71915290551,91085-918
135,9266578485530118541,12.086.950/0001-58,67975253539,60768-450
136,2713439380132346003,50.178.770/0001-20,41929095990,30157-900
137,9077663528234950836,97.829.668/0001-44,94987072172,44877-542
138,9708692334833073759,54.695.268/0001-95,18912650124,91036-464
139,7747811082025599860,48.086.079/0001-48,55923105133,29864-253
140,6893005287723345627,38.292.721/0001-83,61941882098,97989-546
141,1606057006167607020,25.059.551/0001-64,46968067043,60529-198
142,5083753377689168081,12.966.470/0001-69,97910618358,90499-200
143,9018499206792661208,77.954.973/0001-80,96979769067,50720-097
144,8507585465037169456,17.192.701/0001-07,88955779898,65127-255
145,7036485959646042749,35.924.144/0001-12,74916737271,28578-969
146,7831568736799495121,16.870.989/0001-08,63918704457,92190-475
147,7987347368439855350,31.049.191/0001-62,97965247175,91037-415
148,6273959514317301252,68.044.726/0001-29,48952034130,02142-613
149,7030408180241957593,56.770.337/0001-33,19971948801,22906-524
150,4710456068185481262,00.149.237/0001-57,97962413357,16275-493
151,8940985253162889895,38.858.956/0001-69,75930387129,06161-213
152,9449339417192024436,55.568.206/0001-43,19900529730,64864-745
153,7988509714096941683,59.095.065/0001-38,64923310834,01339-877
154,8315758993830579522,39.309.200/0001-42,14996042874,06957-190
155,4423574218828321124,11.380.288/0001-06,94955631444,83647-944
156,3838708554506566809,84.492.623/0001-92,17904832892,35642-734
157,3113168815378927916,60.519.079/0001-26,62938151360,08723-402
158,7267193888290757597,32.501.527/0001-09,35975750551,92248-759
159,2326068899415557147,91.058.034/0001-29,33981647292,40981-328
160,9095167526486489830,50.641.124/0001-12,44998398168,54845-716
161,5491345855291315371,81.995.657/0001-36,42964398787,69064-510
162,2357300523413389015,81.759.580/0001-00,55918424029,86051-515
163,7358352868019797066,47.593.387/0001-78,55972248504,10685-509
164,6737689109088257447,45.730.584/0001-83,11972391846,28782-564
165,9296606412739058311,44.382.157/0001-77,99923336229,52058-993
166,7389281203672908084,20.930.067/0001-90,43927593712,03093-397
167,5221449417594094724,47.046.242/0001-50,99932462932,66626-246
168,6135547829786943740,10.651.608/0001-55,38943657592,63022-033
169,8773732535986878815,18.331.825/0001-93,22988304193,51050-975
170,2960480004617599860,71.326.474/0001-95,17948599929,38383-759
171,1546509343489864220,22.762.421/0001-96,89955059714,65890-391
172,5184421589215269464,23.841.335/0001-42,47933394129,94587-746
173,1555705402022397823,48.381.835/0001-32,77995038392,60322-588
174,6972783767812087458,93.978.789/0001-28,86925701916,49102-555
175,1632406707651720153,37.329.543/0001-14,12948683633,74805-992
176,7433005539855615780,22.307.156/0001-26,42906682599,81262-773
177,4390434176202599356,31.957.357/0001-60,93997721311,93274-247
178,6353058312555786963,06.741.463/0001-66,19904132938,32822-096
179,2547975635282192431,93.588.629/0001-33,99983712647,34015-287
180,3290801298103483669,96.892.335/0001-36,22950541874,13105-196
181,4036383795593296363,84.086.515/0001-58,21932818862,88762-543
182,4740154631606162954,40.005.899/0001-06,31991135155,86073-592
183,7253820327002212983,24.068.463/0001-37,48985292697,84096-168
184,3134130582407103183,20.481.865/0001-66,63905500353,63509-455
185,2304862252270881895,00.802.526/0001-49,61971903966,25073-219
186,7362636495074706632,70.296.452/0001-63,44923669297,79821-396
187,3018374787365384759,64.973.806/0001-47,27995778531,51237-193
188,2892395572099174252,69.725.809/0001-18,88959397400,34155-718
189,7990534796690762809,92.333.659/0001-17,38982802524,85309-097
190,9664940988440224776,63.274.167/0001-18,46925934248,64527-817
191,8999159912124024813,46.098.050/0001-53,49952584633,47764-504
192,5463162818540308920,69.109.122/0001-46,53983001276,89192-716
193,4896813535544920807,55.802.079/0001-23,47926455045,04249-537
194,3983030769510301362,81.342.002/0001-46,45910253340,69854-216
195,6673843616238144519,78.973.783/0001-78,47916634064,81274-553
196,2264471700893956772,00.658.862/0001-12,86984047757,36263-243
197,9283423432194260394,70.296.664/0001-60,53976662178,04372-842
198,2230903222353809417,07.264.387/0001-39,99994345457,85546-018
199,3552939103375740658,94.070.167/0001-17,95988468268,88380-450
200,4371172339629520672,52.391.421/0001-51,55908639650,71572-904
201,9648055773092414235,50.742.436/0001-94,85957124397,18754-527
202,1878944457949849476,01.967.148/0001-63,89976086398,51867-232
203,9099262518176097993,31.564.402/0001-95,93926624868,71372-938
204,1560258506019121415,46.694.613/0001-12,86964791499,59175-470
205,8816919837671719564,28.651.679/0001-63,48902605884,65771-676
206,1278489955592411215,15.039.608/0001-17,35954961032,00324-738
207,9618293378291354630,85.453.834/0001-34,88981970464,80609-093
208,6413533205120148074,56.563.664/0001-67,65953830841,35513-061
209,7418324084308119900,07.775.347/0001-73,93962731436,67148-376
210,5454610218451418276,68.299.984/0001-66,81948905594,82664-845
211,3948843226058883202,87.749.786/0001-47,69970237809,24395-789
212,7001079116588836266,93.903.352/0001-53,44992619099,23970-779
213,4231760532669275625,41.931.556/0001-42,17953044990,00252-583
214,9259191270937013490,77.204.694/0001-13,86926137647,69060-004
215,1355623626018166367,24.524.278/0001-49,89912150045,10689-521
216,6498324784692702045,51.018.675/0001-37,86977540654,63026-706
217,1888156583712113059,76.118.530/0001-51,96945676495,57542-640
218,2406777867385262419,16.193.769/0001-85,47952593023,12798-019
219,6859654856113073993,61.512.140/0001-53,98929713686,68862-875
220,6459585814254464937,36.256.827/0001-74,46914848931,57943-945
221,7223642074988507012,14.883.551/0001-63,17981451448,76359-596
222,1890808944260176535,86.505.084/0001-36,74930152663,46617-633
223,6706259533257523871,02.978.755/0001-35,37941101982,11319-253
224,8864318187579376120,88.156.563/0001-31,44937866000,55762-415
225,5239183956828111996,62.407.132/0001-26,95984390371,60660-549
226,2633098949478900173,78.092.633/0001-74,28916335382,71661-614
227,7356634504302171440,73.655.028/0001-25,66919377296,78433-791
228,1524526250581228790,27.482.992/0001-35,19985179047,80339-206
229,8253532014351459387,13.979.523/0001-18,49959618052,47056-418
230,1811301320235309316,89.396.661/0001-53,89938783644,60728-276
231,8449949902716771769,03.141.376/0001-13,28936854043,55857-377
232,7879384814127789266,47.835.625/0001-59,53931564276,18213-887
233,8788675107079205073,37.494.674/0001-67,86904548472,19751-037
234,6308952586389553263,47.579.278/0001-33,73981747201,28088-546
235,8364070694424834658,04.559.445/0001-12,43943608020,16926-076
236,2914517989550563446,27.357.503/0001-44,82921353430,87772-934
237,4021357116398243204,27.612.588/0001-03,43972852374,12450-884
238,2388803897152180792,10.787.500/0001-63,61983279823,70142-331
239,5986223866383414458,93.585.297/0001-68,64936802117,71886-329
240,6401096621763617875,75.533.929/0001-20,42935284992,94545-185
241,3605564095287567183,45.157.480/0001-44,61950120025,45597-786
242,5781223169765632782,44.254.479/0001-43,91978190233,71857-028
243,7800465978956162602,60.086.630/0001-83,33914174208,46379-274
244,3517452261639782500,96.631.716/0001-81,84933964454,64273-619
245,4891607951323515539,97.746.039/0001-63,65969066824,24151-066
246,1716752602487313805,09.424.750/0001-33,21980733995,23297-962
247,5125948756792679261,14.430.237/0001-22,51911313964,96697-972
248,4216015059755765562,07.495.164/0001-07,15912364093,64920-431
249,7034837327234679495,43.119.208/0001-57,61972705249,02778-604
250,8669345444882655195,33.381.913/0001-09,84997134328,37136-387
251,2196798419695966303,23.333.464/0001-50,67929191427,07145-090
252,2034436476072621839,49.372.338/0001-95,12931869992,68615-581
253,3695776367961856624,42.328.498/0001-86,11953500888,02401-388
254,6300029069891375117,30.846.262/0001-42,37921626137,03979-418
255,6179480230456487713,50.031.130/0001-77,75907807760,58944-697
256,8696433972973077676,38.030.757/0001-07,55925052854,87757-305
257,9363506973757339237,21.169.331/0001-86,44913904383,02215-221
258,4224333136238667896,60.866.350/0001-79,32925637355,98586-279
259,8796837610121759332,30.576.266/0001-92,89968813708,17831-640
260,3174795026608412840,92.968.691/0001-43,31932974115,61654-969
261,4182315255780511230,97.569.622/0001-65,49934738120,80856-705
262,5882214281829346408,55.301.764/0001-50,37939082279,11810-151
263,8644111432646477747,52.758.475/0001-79,47917613813,40491-885
264,2451766882437106335,43.990.460/0001-83,53917604032,52675-626
265,3743236318142520997,53.513.995/0001-91,69938738186,52570-659
266,1066580680182587217,56.917.069/0001-96,44985536050,25125-746
267,7282494230286722674,40.550.267/0001-57,61912521492,09693-215
268,2080228178354272763,36.747.076/0001-18,86912803180,23037-086
269,9357471908145258409,08.699.228/0001-59,32938071235,92148-850
270,5107834555423679338,04.426.298/0001-10,32993503720,32217-875
271,1627510071404237725,39.320.864/0001-03,98948972899,82459-424
272,2052182810909702897,52.131.590/0001-04,73998870356,64232-463
273,7738337695189305018,53.805.006/0001-62,81903787848,89923-030
274,3323776573444072055,17.810.132/0001-47,19944641853,30463-020
275,2682008986576557910,53.402.283/0001-70,32984038685,63280-840
276,2663503860755419750,03.789.001/0001-68,96901799525,35234-993
277,4813622073871555477,24.950.244/0001-90,53969188918,01853-951
278,6459615297665444709,13.569.944/0001-89,97974723629,18185-226
279,9092284875226530128,25.830.587/0001-26,65917362474,08666-759
280,3182225630284673252,32.837.710/0001-09,83934822337,97050-914
281,7744201971353456036,57.373.081/0001-47,51983461967,98195-827
282,2777952954645665959,02.766.982/0001-66,22975145400,10238-388
283,6610438962847028503,53.882.778/0001-92,37944466991,45343-763
284,7371810171596981359,45.618.384/0001-31,81914549979,20647-823
285,2844089964180449459,90.765.208/0001-18,97908550191,17012-487
286,4243951037947459867,03.078.458/0001-94,51948281886,13956-692
287,1080437738476537645,75.850.091/0001-89,89955264218,32400-179
288,4104250769273188091,50.243.572/0001-51,96926482684,76339-642
289,9567850412544560308,25.140.665/0001-80,32977968864,27613-831
290,3146621116015610050,34.472.927/0001-19,65950189689,06721-997
291,4198568511871462913,79.687.989/0001-54,19977075815,74935-224
292,1537909930213385544,29.048.254/0001-57,21995213178,31679-548
293,1662369120623273399,71.600.554/0001-44,68923401964,40501-108
294,3187363349155986719,07.682.294/0001-43,67980691149,22564-497
295,4746464058278488286,05.082.441/0001-84,68900033319,03471-920
296,8268055306319805264,28.496.890/0001-37,74947884102,08012-133
297,8915027452969085462,94.133.650/0001-74,35993175237,97492-053
298,2282346591728975416,47.700.533/0001-11,41989647869,06407-718
299,1718064809170759838,02.203.474/0001-56,99997836190,40200-253
300,2275509103323379221,83.230.595/0001-82,74938012541,66511-525
301,5977271252885268782,82.063.452/0001-00,24926284887,92461-622
302,2791871178207347059,97.394.577/0001-39,64991858545,70485-155
303,5862152408697897433,70.774.736/0001-53,24907626870,12562-544
304,6766210774624337300,43.535.856/0001-28,33963139993,45209-871
305,4848992043334677313,52.371.565/0001-85,43932952891,72223-861
306,8020826216494307324,94.465.923/0001-68,53979911634,38654-064
307,3915202747590852880,73.272.227/0001-50,81957803762,79764-698
308,5803665891750659954,35.668.781/0001-16,44942004678,95007-859
309,2930986917800355235,20.801.980/0001-02,48909124747,95461-433
310,3175851598508235702,99.992.596/0001-13,87909113352,93198-528
311,8326804655791595921,72.581.787/0001-61,15978789115,71684-628
312,3808662528463306663,59.309.417/0001-61,85975288156,60698-205
313,5596630811503176952,40.128.812/0001-22,27904738367,62120-710
314,4821610374801853759,61.327.946/0001-31,22909281256,82531-001
315,9767548023721875114,19.705.744/0001-19,82944253757,57510-739
316,6720844809144781067,74.213.944/0001-31,18988386257,18241-253
317,8424273792098008884,92.323.175/0001-20,86968268641,08416-174
318,9092085964305993695,16.067.416/0001-45,14962139507,20969-987
319,2644263142335701769,53.341.804/0001-52,98980990062,40914-030
320,9165672330120018786,96.728.480/0001-20,82957127748,72987-354
321,4379546749590661243,09.282.244/0001-94,66969349363,32221-080
322,5432145912035226214,87.103.049/0001-29,91933926616,19608-583
323,2458601929850891008,08.729.722/0001-85,62953485526,42883-289
324,8836500791645434398,47.251.623/0001-10,83987766209,34135-436
325,1076628197147557171,58.437.615/0001-37,14941808909,98150-822
326,3351318522380943455,10.054.763/0001-78,82932399533,23617-963
327,2228785800856330195,57.142.145/0001-57,47964104573,51463-958
328,7036077712489645547,29.123.588/0001-75,31916686385,02549-933
329,6968894497086537437,95.716.486/0001-13,48907647085,60046-031
330,7371862560495147568,43.123.674/0001-72,63967528158,03339-422
331,6186368559970650162,64.263.381/0001-44,66930872363,87011-023
332,9254085028880671800,97.540.917/0001-50,42978130416,80659-651
333,2440147083104805410,07.102.746/0001-89,51989648406,14819-701
334,1143501701338156224,72.608.962/0001-94,37912614216,35397-752
335,4434593462323174672,52.984.284/0001-98,48944748656,36089-255
336,4321675311029825662,96.901.774/0001-74,75927464464,69798-735
337,8847131848961937865,90.749.816/0001-39,15909938759,04114-172
338,6440881465090131130,32.062.980/0001-56,77984915076,71202-871
339,1214386991887832423,72.881.888/0001-71,11973867751,62237-021
340,6948825225744443846,66.853.797/0001-51,77954394436,67632-913
341,7221434048769344269,22.290.884/0001-97,31955539677,22127-791
342,9677758352197521477,44.188.458/0001-92,41952004573,38781-031
343,8048662363855746188,53.797.339/0001-75,74974544865,53322-878
344,9375568631024149552,67.169.106/0001-57,84976500807,95438-155
345,4390067975952228600,37.622.494/0001-99,15930067189,11473-750
346,7263301914659881083,28.616.795/0001-04,81956240957,24466-896
347,3464781921655083352,20.848.062/0001-05,96996457115,97250-288
348,5875087843821928409,38.229.824/0001-66,17991824638,78183-170
349,5666936996908757637,35.245.803/0001-76,49905534755,24474-087
350,4833795936091221864,02.674.020/0001-88,97901597044,84914-215
351,4943103142592943345,93.227.243/0001-64,38948569369,55200-730
352,9328059309071301695,00.632.423/0001-24,77946957915,87620-812
353,9836513362081260337,18.336.845/0001-11,42950032930,18272-494
354,1811926040098120671,34.405.632/0001-84,18961381211,32209-366
355,5623685189627063166,23.510.343/0001-52,31989112799,35829-327
356,3539071018105355722,67.062.685/0001-30,75908416999,45954-032
357,2113439234736308121,35.529.443/0001-48,33976697203,58663-918
358,4805088661077987177,14.806.299/0001-08,92947234276,78277-335
359,4812656594252336772,67.724.594/0001-86,35992478634,06810-984
360,1835032116775881631,33.189.452/0001-11,38957631735,38327-597
361,9083950912982199881,61.715.828/0001-69,63992254572,58830-654
362,5803742233661822298,09.636.160/0001-61,98989891216,04218-321
363,7157484174773619527,91.090.322/0001-91,24922777287,58603-799
364,7680080428172268267,60.473.063/0001-23,86991605305,76014-232
365,2045433449434144645,27.449.718/0001-12,12979852896,78927-756
366,9087332242941829436,96.577.415/0001-45,75952647600,49204-212
367,5325704093092011661,52.427.497/0001-99,77926608387,55042-524
368,1701739865490138732,51.946.635/0001-16,34995673288,47089-363
369,3974742526878869174,97.436.128/0001-24,77969135229,95866-345
370,9911363057466808902,28.253.598/0001-62,75963325155,03963-572
371,3875074607217215586,83.497.199/0001-13,79902302074,18387-066
372,4635568204484799078,87.992.830/0001-56,74932571943,82530-014
373,8511206085477333884,90.236.205/0001-49,54929811006,53009-368
374,2812730537506250539,94.471.402/0001-53,79988968779,37145-641
375,2150153118046258126,92.956.104/0001-17,31917747318,14917-075
376,2088431707078788619,71.881.021/0001-17,32921580334,31109-407
377,7527490375256876896,89.055.922/0001-63,49997269453,45942-791
378,7021094507872675516,75.609.817/0001-24,91972847256,98883-202
379,6116079833740128958,26.013.765/0001-89,81944194489,60519-612
380,8080971830261009787,71.005.811/0001-74,15941967969,75858-505
381,4268013855701452860,57.301.158/0001-34,48935544870,92019-234
382,2478807234895945554,89.080.486/0001-52,28942991070,79164-104
383,1511168890072070445,33.070.445/0001-49,55969136725,52705-434
384,9796534873236383963,88.120.676/0001-64,74905815663,70535-667
385,7393460336486848908,49.840.287/0001-96,87969204536,57386-173
386,1618052300761734478,30.342.361/0001-43,53931262444,10109-139
387,9151780535135986212,30.638.401/0001-97,14992925823,44052-374
388,6727323721485559774,88.685.324/0001-86,77941303215,23756-630
389,5805383635618361127,90.236.920/0001-52,97969217048,59546-938
390,4269192355251766978,99.407.531/0001-64,51970166733,59780-010
391,9300837549746315273,41.605.401/0001-86,11982566278,19672-949
392,9775885995516728496,49.489.222/0001-25,24953042590,07507-729
393,1992155311156012419,91.904.209/0001-06,47920377353,84338-311
394,5863903266579883735,33.090.858/0001-91,17968507849,15076-893
395,8052032859048043191,63.383.359/0001-72,71915879285,20236-415
396,2722911975011407271,25.723.307/0001-82,46982185801,96167-260
397,6352166372789299044,42.024.491/0001-70,92910503997,99677-731
398,4883518041660356512,79.502.384/0001-11,71957434340,24726-473
399,5134957418803367705,69.811.276/0001-94,97953330592,00498-046
400,5477104450415737474,59.297.049/0001-70,89991714385,85035-520
401,6725632748707738357,10.140.094/0001-08,98936033869,20638-944
402,3773823349134969810,05.616.569/0001-56,77986735793,22037-400
403,5938574235936809238,54.018.125/0001-24,85908882407,80575-802
404,1278239753055176277,75.879.257/0001-70,15925437268,90097-054
405,5422072487350072756,71.338.942/0001-51,11970305527,13229-403
406,8324703306949402550,99.178.051/0001-53,74944466813,75206-771
407,1395549069794405695,14.813.025/0001-43,48992019872,38220-423
408,5398526978805054760,31.540.383/0001-96,68967365309,82287-261
409,6285565380309216650,26.597.448/0001-16,22977161630,82510-681
410,3110655605758532493,02.439.235/0001-57,12901963377,45466-971
411,6014973122208719417,10.525.730/0001-89,67972456565,11913-051
412,7685247511174612835,45.362.787/0001-08,88925544679,31354-151
413,8533058652589819472,11.437.537/0001-01,22924165585,37413-026
414,1775849387353629303,94.013.801/0001-44,71932598882,42798-281
415,4008741839650383450,97.441.900/0001-44,69943708282,66465-236
416,9774618011223487339,81.499.492/0001-84,66920095644,92362-631
417,7622255965168020480,15.190.878/0001-24,66963784556,84384-434
418,5352834760732759349,83.002.912/0001-33,62914062426,53659-388
419,4008641270672375209,32.161.148/0001-45,81965531898,26309-412
420,4632939756134632846,46.460.987/0001-18,21953192065,40049-761
421,8486097086791805259,31.479.592/0001-52,84963076241,92225-924
422,9600685329500549935,11.637.014/0001-56,14967864914,38042-050
423,6109153601027100114,31.562.019/0001-64,15940715047,79650-693
424,3066634310958128004,31.087.682/0001-72,82935135583,59313-623
425,6554891541888010995,80.310.614/0001-45,77943334784,03962-964
426,3102153585814311235,06.873.677/0001-16,79957901442,13401-085
427,8985761999159836029,52.091.341/0001-31,84933282550,71381-409
428,5167648383634197116,94.148.806/0001-32,22947460839,96207-636
429,1499945435649780721,63.968.273/0001-96,13976558104,90679-013
430,2476607454989282046,72.841.849/0001-61,13982252652,69411-493
431,5433608626119759473,97.602.098/0001-70,33960027149,07793-968
432,8422364191923148282,84.933.931/0001-49,33908688135,25124-911
433,3027895761683020953,85.344.078/0001-94,16907599964,07802-848
434,2858007710570893947,92.295.609/0001-92,86921654300,14045-741
435,2119259885935272819,56.234.298/0001-13,28964677897,04106-407
436,8307552338054352431,18.223.610/0001-89,55988214640,00167-803
437,7633770001096634234,19.396.506/0001-92,99952310850,81093-934
438,4589917947175622946,61.100.060/0001-51,71950645175,32543-403
439,6124278463571424729,74.428.476/0001-62,47946906220,78438-431
440,8590114603136669089,48.678.422/0001-08,82989318215,30977-988
441,1976760458397047893,78.644.965/0001-70,61918428031,28475-503
442,2785640710398715103,36.580.654/0001-23,19952167145,21916-867
443,7632392206898421719,15.141.841/0001-17,51901987167,81914-830
444,2564222733281415224,67.957.253/0001-02,18936317472,24229-913
445,6990446362904421802,20.780.653/0001-82,37987968467,06516-800
446,7537160075332005518,63.423.383/0001-95,24901433483,55591-359
447,7176276264050355856,52.303.417/0001-67,21987451335,39757-376
448,5448535642671676317,91.221.980/0001-68,86956621619,01537-180
449,6531909954570572772,74.399.629/0001-39,64927699293,91020-787
