ano,cidade,esporte,disciplina,atleta,pais,genero,evento,medalha
1972,munique,,natação,"TAGUCHI, Nobutaka",JPN,homens,200M Breaststroke,bronze
1972,munique,aquatics,natação,"HENCKEN, John Frederick",USA,homens,200M Breaststroke,ouro
1972,munique,aquatics,natação,"WILKIE, David Andrew",GBR,homens,200M Breaststroke,prateado
1972,munique,aquatics,natação,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,mulheres,200M Breaststroke,bronze
1972,munique,aquatics,natação,"WHITFIELD, Beverley Joy",AUS,mulheres,200M Breaststroke,ouro
1972,munique,aquatics,natação,"SCHOENFIELD, Dana Lee",USA,mulheres,200M Breaststroke,prateado
1972,munique,aquatics,natação,"BACKHAUS, Robin James",USA,homens,200M Butterfly,bronze
1972,munique,aquatics,natação,"SPITZ, Mark",USA,homens,200M Butterfly,ouro
1972,munique,,natação,"HALL, Gary Wayne",USA,homens,200M Butterfly,prateado
1972,munique,aquatics,natação,"DANIEL, Eleanor Suzanne",USA,mulheres,200M Butterfly,bronze
1972,munique,aquatics,natação,"MOE-THORNTON, Karen Patricia",USA,mulheres,200M Butterfly,ouro
1972,munique,aquatics,natação,"COLELLA, Lynn Ann",USA,mulheres,200M Butterfly,prateado
1972,munique,aquatics,natação,"LAMPE, Werner",FRG,homens,200M Freestyle,bronze
1972,munique,aquatics,natação,"SPITZ, Mark",USA,homens,200M Freestyle,ouro
1972,munique,aquatics,natação,"GENTER, Robert Steven",USA,homens,200M Freestyle,prateado
1972,munique,aquatics,natação,"ROTHHAMMER, Keena Ruth",USA,mulheres,200M Freestyle,bronze
1972,munique,aquatics,natação,"GOULD, Shane",AUS,mulheres,200M Freestyle,ouro
1972,munique,aquatics,natação,"BABASHOFF, Shirley Farber",USA,mulheres,200M Freestyle,prateado
1972,munique,aquatics,natação,"FURNISS, Steven Charles",USA,homens,200M Individual Medley,bronze
1972,munique,aquatics,natação,"LARSSON, Gunnar",SWE,homens,200M Individual Medley,ouro
1972,munique,aquatics,natação,"MCKEE, Alexander Timothy",USA,homens,200M Individual Medley,prateado
1972,munique,,natação,"VIDALI, Lynn Marie",USA,mulheres,200M Individual Medley,bronze
1972,munique,aquatics,natação,"GOULD, Shane",AUS,mulheres,200M Individual Medley,ouro
1972,munique,aquatics,natação,"ENDER, Kornelia",GDR,mulheres,200M Individual Medley,prateado
1972,munique,aquatics,natação,"MCBREEN, Thomas Sean",USA,homens,400M Freestyle,bronze
1972,munique,aquatics,natação,"COOPER, Bradford Paul",AUS,homens,400M Freestyle,ouro
1972,munique,aquatics,natação,"GENTER, Robert Steven",USA,homens,400M Freestyle,prateado
1972,munique,aquatics,natação,"WEGNER, Gudrun",GDR,mulheres,400M Freestyle,bronze
1972,munique,aquatics,natação,"GOULD, Shane",AUS,mulheres,400M Freestyle,ouro
1972,munique,aquatics,natação,"CALLIGARIS, Novella",ITA,mulheres,400M Freestyle,prateado
1972,munique,aquatics,natação,"HARGITAY, Andras",HUN,homens,400M Individual Medley,bronze
1972,munique,aquatics,natação,"LARSSON, Gunnar",SWE,homens,400M Individual Medley,ouro
1972,munique,aquatics,natação,"MCKEE, Alexander Timothy",USA,homens,400M Individual Medley,prateado
1972,munique,aquatics,natação,"CALLIGARIS, Novella",ITA,mulheres,400M Individual Medley,bronze
1972,munique,,natação,"NEALL, Gail",AUS,mulheres,400M Individual Medley,ouro
1972,munique,aquatics,natação,"CLIFF, Leslie",CAN,mulheres,400M Individual Medley,prateado
1972,munique,aquatics,natação,"BRUCH, Peter",GDR,homens,4X100M Freestyle Relay,bronze
1972,munique,aquatics,natação,"HARTUNG, Wilfried",GDR,homens,4X100M Freestyle Relay,bronze
1972,munique,aquatics,natação,"MATTHES, Roland",GDR,homens,4X100M Freestyle Relay,bronze
1972,munique,aquatics,natação,"UNGER, Lutz",GDR,homens,4X100M Freestyle Relay,bronze
1972,munique,aquatics,natação,"EDGAR, David Holmes",USA,homens,4X100M Freestyle Relay,ouro
1972,munique,aquatics,natação,"HEIDENREICH, Jerry Alan",USA,homens,4X100M Freestyle Relay,ouro
1972,munique,,natação,"MURPHY, John Joseph",USA,homens,4X100M Freestyle Relay,ouro
1972,munique,aquatics,natação,"SPITZ, Mark",USA,homens,4X100M Freestyle Relay,ouro
1972,munique,aquatics,natação,"ABOIMOV, Viktor",URS,homens,4X100M Freestyle Relay,prateado
1972,munique,aquatics,natação,"BURE, Vladimir",URS,homens,4X100M Freestyle Relay,prateado
1972,munique,aquatics,natação,"GRIVENNIKOV, Igor",URS,homens,4X100M Freestyle Relay,prateado
1972,munique,aquatics,natação,"MAZANOV, Viktor",URS,homens,4X100M Freestyle Relay,prateado
1972,munique,aquatics,natação,"BECKMANN, Gudrun",FRG,mulheres,4X100M Freestyle Relay,bronze
1972,munique,aquatics,natação,"REINECK, Heidemarie",FRG,mulheres,4X100M Freestyle Relay,bronze
1972,munique,aquatics,natação,"STEINBACH, Angela",FRG,mulheres,4X100M Freestyle Relay,bronze
1972,munique,aquatics,natação,"WEBER, Judith (Jutta)",FRG,mulheres,4X100M Freestyle Relay,bronze
1972,munique,aquatics,natação,"BABASHOFF, Shirley Farber",USA,mulheres,4X100M Freestyle Relay,ouro
1972,munique,aquatics,natação,"BARKMAN, Jane Louise",USA,mulheres,4X100M Freestyle Relay,ouro
1972,munique,aquatics,natação,"KEMP, Jennifer Jo",USA,mulheres,4X100M Freestyle Relay,ouro
1972,munique,aquatics,natação,"NEILSON, Alexandra Lynn",USA,mulheres,4X100M Freestyle Relay,ouro
1972,munique,aquatics,natação,"EIFE, Andrea",GDR,mulheres,4X100M Freestyle Relay,prateado
1972,munique,aquatics,natação,"ENDER, Kornelia",GDR,mulheres,4X100M Freestyle Relay,prateado
1972,munique,aquatics,natação,"SEHMISCH, Elke",GDR,mulheres,4X100M Freestyle Relay,prateado
1972,munique,aquatics,natação,"WETZKO, Gabriele",GDR,mulheres,4X100M Freestyle Relay,prateado
1972,munique,aquatics,natação,"FISH, Erik",CAN,homens,4X100M Medley Relay,bronze
1972,munique,aquatics,natação,"KASTING, Robert",CAN,homens,4X100M Medley Relay,bronze
1972,munique,aquatics,natação,"MAHONY, William",CAN,homens,4X100M Medley Relay,bronze
1972,munique,aquatics,natação,"ROBERTSON, Bruce Richard",CAN,homens,4X100M Medley Relay,bronze
1972,munique,aquatics,natação,"BRUCE, Thomas Edwin",USA,homens,4X100M Medley Relay,ouro
1972,munique,aquatics,natação,"HEIDENREICH, Jerry Alan",USA,homens,4X100M Medley Relay,ouro
1972,munique,aquatics,natação,"SPITZ, Mark",USA,homens,4X100M Medley Relay,ouro
,munique,aquatics,natação,"STAMM, Michael Eugene",USA,homens,4X100M Medley Relay,ouro
1972,munique,aquatics,natação,"FLÖCKNER, Hartmut",GDR,homens,4X100M Medley Relay,prateado
1972,munique,aquatics,natação,"KATZUR, Klaus",GDR,homens,4X100M Medley Relay,prateado
1972,munique,aquatics,natação,"MATTHES, Roland",GDR,homens,4X100M Medley Relay,prateado
1972,munique,aquatics,natação,"UNGER, Lutz",GDR,homens,4X100M Medley Relay,prateado
1972,munique,aquatics,natação,"BECKMANN, Gudrun",FRG,mulheres,4X100M Medley Relay,bronze
1972,munique,aquatics,natação,"EBERLE, Verena (Vreni)",FRG,mulheres,4X100M Medley Relay,bronze
1972,munique,aquatics,natação,"PIELEN, Silke",FRG,mulheres,4X100M Medley Relay,bronze
1972,munique,aquatics,natação,"REINECK, Heidemarie",FRG,mulheres,4X100M Medley Relay,bronze
1972,munique,aquatics,natação,"BELOTE, Melissa Louise",USA,mulheres,4X100M Medley Relay,ouro
1972,munique,aquatics,natação,"CARR, Catherine L.",USA,mulheres,4X100M Medley Relay,ouro
1972,munique,aquatics,natação,"DEARDRUFF, Deena Diana",USA,mulheres,4X100M Medley Relay,ouro
1972,munique,aquatics,natação,"NEILSON, Alexandra Lynn",USA,mulheres,4X100M Medley Relay,ouro
1972,munique,aquatics,natação,"BEIER, Roswitha",GDR,mulheres,4X100M Medley Relay,prateado
1972,munique,aquatics,natação,"ENDER, Kornelia",GDR,mulheres,4X100M Medley Relay,prateado
1972,munique,aquatics,natação,"HERBST, Christine",GDR,mulheres,4X100M Medley Relay,prateado
1972,munique,aquatics,natação,"VOGEL, Renate",GDR,mulheres,4X100M Medley Relay,prateado
1972,munique,aquatics,natação,"BURE, Vladimir",URS,homens,4X200M Freestyle Relay,bronze
1972,munique,aquatics,natação,"GRIVENNIKOV, Igor",URS,homens,4X200M Freestyle Relay,bronze
1972,munique,aquatics,natação,"KULIKOV, Georgi",URS,homens,4X200M Freestyle Relay,bronze
1972,munique,aquatics,natação,"MAZANOV, Viktor",URS,homens,4X200M Freestyle Relay,bronze
1972,munique,aquatics,natação,"GENTER, Robert Steven",USA,homens,4X200M Freestyle Relay,ouro
1972,munique,aquatics,natação,"KINSELLA, John Pitann",USA,homens,4X200M Freestyle Relay,ouro
1972,munique,aquatics,natação,"SPITZ, Mark",USA,homens,4X200M Freestyle Relay,ouro
1972,munique,aquatics,natação,"TYLER, Frederick Daniel",USA,homens,4X200M Freestyle Relay,ouro
1972,munique,aquatics,natação,"FASSNACHT, Hans",FRG,homens,4X200M Freestyle Relay,prateado
1972,munique,aquatics,natação,"LAMPE, Werner",FRG,homens,4X200M Freestyle Relay,prateado
1972,munique,aquatics,natação,"STEINBACH, Klaus",FRG,homens,4X200M Freestyle Relay,prateado
1972,munique,aquatics,natação,"VOSSELER, Hans-Günther",FRG,homens,4X200M Freestyle Relay,prateado
1972,munique,aquatics,natação,"CALLIGARIS, Novella",ITA,mulheres,800M Freestyle,bronze
1972,munique,aquatics,natação,"ROTHHAMMER, Keena Ruth",USA,mulheres,800M Freestyle,ouro
1972,munique,aquatics,natação,"GOULD, Shane",AUS,mulheres,800M Freestyle,prateado
1972,munique,aquatics,pólo aquático,"ASCH, Peter Gregory",USA,homens,Water Polo,bronze
1972,munique,aquatics,pólo aquático,"BARNETT, Steven William",USA,homens,Water Polo,bronze
1972,munique,aquatics,pólo aquático,"BRADLEY, Myron Bruce",USA,homens,Water Polo,bronze
1972,munique,,pólo aquático,"COLE, Stanley Clark",USA,homens,Water Polo,bronze
1972,munique,aquatics,pólo aquático,"FERGUSON, James Michael",USA,homens,Water Polo,bronze
1972,munique,aquatics,pólo aquático,"LINDROTH, Eric Emil",USA,homens,Water Polo,bronze
1972,munique,aquatics,pólo aquático,"PARKER, John Michael",USA,homens,Water Polo,bronze
1972,munique,aquatics,pólo aquático,"SHEERER, Gary Peter",USA,homens,Water Polo,bronze
1972,munique,aquatics,pólo aquático,"SLATTON, James Walter",USA,homens,Water Polo,bronze
1972,munique,aquatics,pólo aquático,"WEBB, Russell Irving",USA,homens,Water Polo,bronze
1972,munique,aquatics,pólo aquático,"WEITZENBERG, Charles Barry",USA,homens,Water Polo,bronze
1972,munique,aquatics,pólo aquático,"AKIMOV, Anatoli",URS,homens,Water Polo,ouro
1972,munique,aquatics,pólo aquático,"BARKALOV, Aleksei",URS,homens,Water Polo,ouro
,munique,aquatics,pólo aquático,"DOLGUSHIN, Aleksandr",URS,homens,Water Polo,ouro
1972,munique,aquatics,pólo aquático,"DREVAL, Aleksandr",URS,homens,Water Polo,ouro
1972,munique,aquatics,pólo aquático,"GULYAEV, Vadim",URS,homens,Water Polo,ouro
1972,munique,aquatics,pólo aquático,"KABANOV, Aleksandr",URS,homens,Water Polo,ouro
1972,munique,aquatics,pólo aquático,"MELNIKOV, Nikolai",URS,homens,Water Polo,ouro
1972,munique,aquatics,pólo aquático,"OSIPOV, Leonid",URS,homens,Water Polo,ouro
1972,munique,aquatics,pólo aquático,"SHIDLOVSKY, Aleksandr",URS,homens,Water Polo,ouro
1972,munique,aquatics,pólo aquático,"SHMUDSKY, Vladimir",URS,homens,Water Polo,ouro
1972,munique,aquatics,pólo aquático,"SOBCHENKO, Viacheslav",URS,homens,Water Polo,ouro
1972,munique,aquatics,pólo aquático,"BODNAR, Andras",HUN,homens,Water Polo,prateado
1972,munique,aquatics,pólo aquático,"CSERVENYAK, Tibor",HUN,homens,Water Polo,prateado
1972,munique,aquatics,pólo aquático,"FARAGO, Tamas",HUN,homens,Water Polo,prateado
1972,munique,aquatics,pólo aquático,"GÖRGENYI, Istvan",HUN,homens,Water Polo,prateado
1972,munique,aquatics,pólo aquático,"KASAS, Zoltan",HUN,homens,Water Polo,prateado
1972,munique,aquatics,pólo aquático,"KONRAD, Ferenc",HUN,homens,Water Polo,prateado
1972,munique,aquatics,pólo aquático,"MAGAS, Istvan",HUN,homens,Water Polo,prateado
1972,munique,aquatics,pólo aquático,"MOLNAR, Endre",HUN,homens,Water Polo,prateado
1972,munique,,pólo aquático,"POCSIK, Denes",HUN,homens,Water Polo,prateado
1972,munique,aquatics,pólo aquático,"SAROSI, Laszlo",HUN,homens,Water Polo,prateado
1972,munique,aquatics,pólo aquático,"SZIVOS, Istvan",HUN,homens,Water Polo,prateado
1972,munique,atletismo,atletismo,"LAASONEN, Kyösti Kalevi",FIN,homens,Individual Fita Round,bronze
1972,munique,atletismo,atletismo,"WILLIAMS, John Chester",USA,homens,Individual Fita Round,ouro
1972,munique,atletismo,atletismo,"JERVILL, Gunnar",SWE,homens,Individual Fita Round,prateado
1972,munique,atletismo,atletismo,"GAPCHENKO, Emma",URS,mulheres,Individual Fita Round,bronze
,munique,atletismo,atletismo,"WILBER, Doreen Viola Hansen",USA,mulheres,Individual Fita Round,ouro
1972,munique,atletismo,atletismo,"SZYDLOWSKA, Irena",POL,mulheres,Individual Fita Round,prateado
1972,munique,automobilismo,automobilismo,"YIFTER, Miruts",ETH,homens,10000M,bronze
1972,munique,automobilismo,automobilismo,"VIREN, Lasse",FIN,homens,10000M,ouro
1972,munique,automobilismo,automobilismo,"PUTTEMANS, Emiel",BEL,homens,10000M,prateado
1972,munique,automobilismo,automobilismo,"MILLER, Lennox",JAM,homens,100M,bronze
1972,munique,automobilismo,automobilismo,"BORZOV, Valery",URS,homens,100M,ouro
1972,munique,automobilismo,automobilismo,"TAYLOR, Robert",USA,homens,100M,prateado
1972,munique,automobilismo,automobilismo,"CHIVAS BARO, Silvia",CUB,mulheres,100M,bronze
1972,munique,automobilismo,automobilismo,"STECHER, Renate",GDR,mulheres,100M,ouro
1972,munique,automobilismo,automobilismo,"BOYLE, Raelene Ann",AUS,mulheres,100M,prateado
1972,munique,automobilismo,automobilismo,"RICHERT-BALZER, Karin",GDR,mulheres,100M Hurdles,bronze
1972,munique,automobilismo,automobilismo,"EHRHARDT, Annelie",GDR,mulheres,100M Hurdles,ouro
1972,munique,automobilismo,automobilismo,"BUFANU-STEFANESCU, Valeria",ROU,mulheres,100M Hurdles,prateado
1972,munique,automobilismo,automobilismo,"HILL, Thomas",USA,homens,110M Hurdles,bronze
1972,munique,automobilismo,automobilismo,"MILBURN, Rodney Jr.",USA,homens,110M Hurdles,ouro
1972,munique,automobilismo,automobilismo,"DRUT, Guy",FRA,homens,110M Hurdles,prateado
1972,munique,automobilismo,automobilismo,"DIXON, Rodney",NZL,homens,1500M,bronze
1972,munique,automobilismo,automobilismo,"VASALA, Pekka",FIN,homens,1500M,ouro
1972,munique,automobilismo,automobilismo,"KEINO, Kipchoge",KEN,homens,1500M,prateado
1972,munique,automobilismo,automobilismo,"PIGNI-CACCHI, Paola",ITA,mulheres,1500M,bronze
,munique,automobilismo,automobilismo,"BRAGINA, Lyudmila",URS,mulheres,1500M,ouro
,munique,automobilismo,automobilismo,"HOFFMEISTER, Gunhild",GDR,mulheres,1500M,prateado
,munique,automobilismo,automobilismo,"MENNEA, Pietro",ITA,homens,200M,bronze
,munique,automobilismo,automobilismo,"BORZOV, Valery",URS,homens,200M,ouro
,munique,automobilismo,automobilismo,"BLACK, Lawrence J.",USA,homens,200M,prateado
,munique,automobilismo,automobilismo,"SZEWINSKA, Irena",POL,mulheres,200M,bronze
,munique,automobilismo,automobilismo,"STECHER, Renate",GDR,mulheres,200M,ouro
,munique,automobilismo,automobilismo,"BOYLE, Raelene Ann",AUS,mulheres,200M,prateado
,munique,automobilismo,automobilismo,"REIMANN, Hans",GDR,homens,20KM Walk,bronze
,munique,automobilismo,automobilismo,"FRENKEL, Peter",GDR,homens,20KM Walk,ouro
,munique,automobilismo,automobilismo,"GOLUBNICHY, Vladimir",URS,homens,20KM Walk,prateado
,munique,automobilismo,automobilismo,"KANTANEN, Tapio",FIN,homens,3000M Steeplechase,bronze
,munique,automobilismo,automobilismo,"KEINO, Kipchoge",KEN,homens,3000M Steeplechase,ouro
,munique,automobilismo,automobilismo,"JIPCHO, Benjamin Wabura",KEN,homens,3000M Steeplechase,prateado
,munique,automobilismo,automobilismo,"SANG, Julius",KEN,homens,400M,bronze
,munique,automobilismo,automobilismo,"MATTHEWS, Vincent Edward",USA,homens,400M,ouro
,munique,automobilismo,automobilismo,"COLLETT, Wayne Curtis",USA,homens,400M,prateado
,munique,automobilismo,automobilismo,"HAMMOND, Kathleen",USA,mulheres,400M,bronze
,munique,automobilismo,automobilismo,"ZEHRT, Monika",GDR,mulheres,400M,ouro
,munique,automobilismo,automobilismo,"WILDEN-JAHN, Rita",FRG,mulheres,400M,prateado
,munique,automobilismo,automobilismo,"HEMERY, David Peter",GBR,homens,400M Hurdles,bronze
,munique,automobilismo,automobilismo,"AKII-BUA, John",UGA,homens,400M Hurdles,ouro
,munique,automobilismo,automobilismo,"MANN, Ralph Vernon",USA,homens,400M Hurdles,prateado
,munique,automobilismo,automobilismo,"EHL, Klaus",FRG,homens,4X100M Relay,bronze
,munique,automobilismo,automobilismo,"HIRSCHT, Jobst",FRG,homens,4X100M Relay,bronze
,munique,automobilismo,automobilismo,"KLOTZ, Karlheinz",FRG,homens,4X100M Relay,bronze
,munique,automobilismo,automobilismo,"WUCHERER, Gerhard",FRG,homens,4X100M Relay,bronze
,munique,automobilismo,automobilismo,"BLACK, Lawrence J.",USA,homens,4X100M Relay,ouro
,munique,automobilismo,automobilismo,"HART, Edward James",USA,homens,4X100M Relay,ouro
,munique,automobilismo,automobilismo,"TAYLOR, Robert",USA,homens,4X100M Relay,ouro
,munique,automobilismo,automobilismo,"TINKER, Gerald A.",USA,homens,4X100M Relay,ouro
,munique,automobilismo,automobilismo,"BORZOV, Valery",URS,homens,4X100M Relay,prateado
,munique,automobilismo,automobilismo,"KORNELYUK, Aleksandr",URS,homens,4X100M Relay,prateado
,munique,automobilismo,automobilismo,"LOVETSKY, Vladimir",URS,homens,4X100M Relay,prateado
,munique,automobilismo,automobilismo,"SILOVS, Yuris",URS,homens,4X100M Relay,prateado
,munique,automobilismo,automobilismo,"CHIVAS BARO, Silvia",CUB,mulheres,4X100M Relay,bronze
,munique,automobilismo,automobilismo,"ELEJALDE DIAZ, Marlene",CUB,mulheres,4X100M Relay,bronze
,munique,automobilismo,automobilismo,"ROMAY MARTINEZ, Fulgencia",CUB,mulheres,4X100M Relay,bronze
,munique,automobilismo,automobilismo,"VALDES CAPOTE, Carmen",CUB,mulheres,4X100M Relay,bronze
,munique,automobilismo,automobilismo,"BECKER-MICKLER, Ingrid",FRG,mulheres,4X100M Relay,ouro
,munique,automobilismo,automobilismo,"KRAUSE, Christiane",FRG,mulheres,4X100M Relay,ouro
,munique,automobilismo,automobilismo,"RICHTER-IRRGANG, Annegret",FRG,mulheres,4X100M Relay,ouro
,munique,automobilismo,automobilismo,"ROSENDAHL, Heidemarie",FRG,mulheres,4X100M Relay,ouro
1972,munique,automobilismo,automobilismo,"HEINICH, Christina",GDR,mulheres,4X100M Relay,prateado
1972,munique,automobilismo,automobilismo,"KAUFER, Evelyn",GDR,mulheres,4X100M Relay,prateado
1972,munique,automobilismo,automobilismo,"STECHER, Renate",GDR,mulheres,4X100M Relay,prateado
1972,munique,automobilismo,automobilismo,"STRUPPERT, Bärbel",GDR,mulheres,4X100M Relay,prateado
1972,munique,automobilismo,automobilismo,"BERTOULD, Gilles",FRA,homens,4X400M Relay,bronze
1972,munique,automobilismo,automobilismo,"CARETTE, Jacques",FRA,homens,4X400M Relay,bronze
1972,munique,automobilismo,automobilismo,"KERBIROU, Francis",FRA,homens,4X400M Relay,bronze
1972,munique,automobilismo,automobilismo,"VELASQUES, Daniel Roger",FRA,homens,4X400M Relay,bronze
1972,munique,automobilismo,automobilismo,"ASATI, Charles",KEN,homens,4X400M Relay,ouro
1972,munique,automobilismo,automobilismo,"NYAMAU, Hezekiah Munyoro",KEN,homens,4X400M Relay,ouro
1972,munique,automobilismo,automobilismo,"OUKO, Robert",KEN,homens,4X400M Relay,ouro
1972,munique,automobilismo,automobilismo,"SANG, Julius",KEN,homens,4X400M Relay,ouro
1972,munique,automobilismo,automobilismo,"HEMERY, David Peter",GBR,homens,4X400M Relay,prateado
1972,munique,automobilismo,automobilismo,"JENKINS, David Andrew",GBR,homens,4X400M Relay,prateado
1972,munique,automobilismo,automobilismo,"PASCOE, Alan Peter",GBR,homens,4X400M Relay,prateado
1972,munique,automobilismo,automobilismo,"REYNOLDS, Martin Edward",GBR,homens,4X400M Relay,prateado
1972,munique,automobilismo,automobilismo,"BÖDDING-ECKHOFF, Inge",FRG,mulheres,4X400M Relay,bronze
1972,munique,automobilismo,automobilismo,"FALCK-JANZE, Hildegard",FRG,mulheres,4X400M Relay,bronze
1972,munique,automobilismo,automobilismo,"RÜCKES, Anette",FRG,mulheres,4X400M Relay,bronze
1972,munique,automobilismo,automobilismo,"WILDEN-JAHN, Rita",FRG,mulheres,4X400M Relay,bronze
1972,munique,automobilismo,automobilismo,"KÄSLING, Dagmar",GDR,mulheres,4X400M Relay,ouro
1972,munique,automobilismo,automobilismo,"KÜHNE, Rita",GDR,mulheres,4X400M Relay,ouro
1972,munique,automobilismo,automobilismo,"SEIDLER, Helga",GDR,mulheres,4X400M Relay,ouro
1972,munique,automobilismo,automobilismo,"ZEHRT, Monika",GDR,mulheres,4X400M Relay,ouro
1972,munique,automobilismo,automobilismo,"FERGERSON, Mabel",USA,mulheres,4X400M Relay,prateado
1972,munique,automobilismo,automobilismo,"HAMMOND, Kathleen",USA,mulheres,4X400M Relay,prateado
1972,munique,automobilismo,automobilismo,"MANNING-JACKSON, Madeline",USA,mulheres,4X400M Relay,prateado
1972,munique,automobilismo,automobilismo,"TOUSSAINT, Cheryl Renee",USA,mulheres,4X400M Relay,prateado
1972,munique,automobilismo,automobilismo,"STEWART, Ian",GBR,homens,5000M,bronze
1972,munique,automobilismo,automobilismo,"VIREN, Lasse",FIN,homens,5000M,ouro
1972,munique,automobilismo,automobilismo,"GAMMOUDI, Mohamed",TUN,homens,5000M,prateado
1972,munique,automobilismo,automobilismo,"YOUNG, Lawrence Dean",USA,homens,50KM Walk,bronze
1972,munique,automobilismo,automobilismo,"KANNENBERG, Bernd",FRG,homens,50KM Walk,ouro
1972,munique,automobilismo,automobilismo,"SOLDATENKO, Veniamin",URS,homens,50KM Walk,prateado
1972,munique,automobilismo,automobilismo,"BOIT, Michael",KEN,homens,800M,bronze
1972,munique,automobilismo,automobilismo,"WOTTLE, David James",USA,homens,800M,ouro
1972,munique,automobilismo,automobilismo,"ARZHANOV, Yevgeni",URS,homens,800M,prateado
1972,munique,automobilismo,automobilismo,"HOFFMEISTER, Gunhild",GDR,mulheres,800M,bronze
