"Coluna1"," Coluna2"," Coluna3"," Coluna4"," Coluna5"," Coluna6"," Coluna 7"," Coluna8"," Coluna9"," Coluna 10"," Coluna11"," Coluna 12"," Coluna 13"," Coluna 14"," Coluna 15"," Coluna 16"," Coluna 17"," Coluna 18"," Coluna 19"," Coluna20"," Coluna21"," Coluna22"," Coluna23"," Coluna24"," Coluna25"," Coluna26"," Coluna 27"," Coluna 28"," Coluna 29"," Coluna30"," Coluna31"," Coluna32"
" salsicha"," pãezinhos/pãezinhos","refrigerante"," cerveja em lata"," barra de especialidades"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," leite inteiro"," iogurte"," ovos domésticos"," pão integral"," pastelaria"," açúcar"," cereais"," café","refrigerante"," waffles"," doce","","","","","","","","","","","","","","","","","","",""
" bagas"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Soro de leite coalhado"," iogurte"," Requeijão cremoso"," barrar queijo"," pãezinhos/pãezinhos"," água engarrafada","refrigerante"," jornais","","","","","","","","","","","","","","","","","","","","","","","",""
" café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," manteiga"," coalhada"," chantilly/creme de leite"," Leite UHT"," queijo duro"," pãezinhos/pãezinhos"," água engarrafada"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," pãezinhos/pãezinhos"," comida de gato"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," uvas"," outros vegetais"," leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" peru"," fruta tropical"," outros vegetais"," coalhada"," ovos domésticos"," pão integral"," pão semiacabado"," Margarina"," fermento em pó"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," iogurte"," Queijo processado"," legumes em conserva","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," coalhada"," iogurte"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frutas/legumes embalados"," pão integral"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," óleo"," água engarrafada"," goma de mascar"," marshmallow de chocolate"," artigos de higiene"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," carne bovina"," chantilly/creme de leite"," sorvete"," pãezinhos/pãezinhos"," comida de gato","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," pastelaria"," açúcar","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," vegetais congelados"," peixe enlatado"," lanche salgado"," produtos sazonais"," detergente","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne bovina"," leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," fruta tropical"," pãezinhos/pãezinhos"," pão integral"," açúcar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," pastelaria","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" requeijão"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vinho tinto/blush"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," leite inteiro"," coalhada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa"," bagas"," leite inteiro"," produtos de batata congelados"," pãezinhos/pãezinhos"," legumes em conserva"," chocolate","","","","","","","","","","","","","","","","","","","","","","","",""
" vinho tinto/blush","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," manteiga"," Margarina"," gordura especial"," chocolate especial","velas"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," citrino"," leite inteiro"," ovos domésticos"," óleo"," espumante"," chocolate especial"," jornais","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pastas de carne","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" produtos de batata congelados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," pãezinhos/pãezinhos"," açúcar","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," leite inteiro"," coalhada"," Soro de leite coalhado"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" farinha"," sal"," água engarrafada"," suco de frutas/vegetais"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" açúcar"," água engarrafada","refrigerante"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Refeições congeladas"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," leite inteiro"," vegetais congelados"," ovos domésticos"," pãezinhos/pãezinhos"," óleo"," Margarina"," vegetais enlatados"," suco de frutas/vegetais"," limpador de banheiro","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," cebola"," queijo duro"," vegetais congelados","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ervas"," Leite condensado"," vegetais congelados"," sal"," óleo"," vinho branco","velas","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," vegetais de raiz"," cebola"," iogurte"," pãezinhos/pãezinhos"," conhaque"," detergente","","","","","","","","","","","","","","","","","","","","","","","","",""
" café"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," outros vegetais"," chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bagas"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bagas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" suco de frutas/vegetais"," lanche salgado","velas","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," Soro de leite coalhado"," iogurte"," Requeijão cremoso","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," carne de hambúrguer"," citrino"," bagas"," cebola"," chantilly/creme de leite"," arroz"," café"," chocolate","","","","","","","","","","","","","","","","","","","","","","",""
" detergente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" uvas"," foto/filme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," queijo fatiado"," pãezinhos/pãezinhos"," pão integral"," suco de frutas/vegetais"," cerveja em lata"," vinho tinto/blush"," waffles"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," carne de hambúrguer"," citrino"," fruta tropical"," vegetais de raiz"," outros vegetais"," manteiga"," massa"," óleo"," detergente","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," iogurte"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta tropical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante"," diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne de porco"," uvas"," leite inteiro"," pãezinhos/pãezinhos"," pastelaria","refrigerante"," barra de especialidades"," limpador de banheiro","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," pãezinhos/pãezinhos"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," leite inteiro"," iogurte"," café"," suco de frutas/vegetais"," cerveja engarrafada"," amaciante"," guardanapos"," foto/filme"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," citrino"," bagas"," vegetais de raiz"," pão integral"," detergente","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," chantilly/creme de leite"," pãezinhos/pãezinhos","refrigerante"," waffles"," doce"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","","","","","","",""
" Queijo processado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," vegetais de raiz"," outros vegetais"," pãezinhos/pãezinhos"," óleo"," legumes em conserva"," cerveja engarrafada"," goma de mascar"," pratos","","","","","","","","","","","","","","","","","","","","","",""
" frutas/legumes embalados"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," sobremesa"," vegetais congelados"," pãezinhos/pãezinhos"," Margarina"," água engarrafada"," vinho tinto/blush"," jornais","","","","","","","","","","","","","","","","","","","","","","","",""
" bagas"," chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," bagas"," Leite UHT"," Queijo processado","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," leite inteiro"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," leite inteiro"," vegetais congelados"," pãezinhos/pãezinhos"," cerveja engarrafada"," espumante","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," outros vegetais"," leite inteiro"," vegetais congelados"," ovos domésticos","refrigerante"," pratos","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," Requeijão cremoso","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" peixe"," outros vegetais"," pastelaria"," Margarina"," café"," produto de panificação longa vida"," cosméticos masculinos"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," produto de panificação longa vida"," waffles","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frutas/legumes embalados"," sobremesa"," pão semiacabado"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," vinho tinto/blush","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," citrino"," fruta tropical"," fruta pipa"," leite inteiro"," queijo duro"," Requeijão cremoso"," ovos domésticos"," arroz"," açúcar"," Fruta enlatada"," diversos. bebidas"," suco de frutas/vegetais"," artigos de higiene","","","","","","","","","","","","","","","","",""
" espumante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," Soro de leite coalhado"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" requeijão","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," sobremesa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," iogurte"," bebidas"," pão integral"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bagas","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," farinha"," licor (aperitivo)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," outros vegetais"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," Produtos alimentares instantâneos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," leite inteiro"," pãezinhos/pãezinhos"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," diversos. bebidas"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," vegetais congelados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," manteiga"," Requeijão cremoso"," pão branco"," óleo"," Margarina"," jornais","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," presunto"," fruta pipa"," outros vegetais"," leite inteiro"," queijo macio"," vegetais congelados"," pãezinhos/pãezinhos"," açúcar"," fermento em pó","","","","","","","","","","","","","","","","","","","","","",""
" Soro de leite coalhado"," iogurte"," mel","refrigerante"," detergente","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," citrino"," cebola"," pãezinhos/pãezinhos"," água engarrafada"," cuidado dental","","","","","","","","","","","","","","","","","","","","","","","","","",""
" massa"," Pipoca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," pastas de carne"," barra de bolo"," chocolate"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne de porco"," citrino"," sobremesa"," pão branco"," pratos","velas","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" uvas"," outros vegetais"," coalhada"," sobremesa"," iogurte"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," leite inteiro"," iogurte"," bebidas"," queijo macio"," vegetais congelados"," suco de frutas/vegetais"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","",""
" café"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Pipoca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pãezinhos/pãezinhos"," açúcar"," água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," outros vegetais"," frutas/legumes embalados"," leite inteiro"," salgadinhos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," ervas"," farinha"," filme plástico/sacos"," solo/fertilizante para flores","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," manteiga"," sobremesa"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt","refrigerante"," goma de mascar","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," queijo especial"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" produtos finalizados"," outros vegetais"," vegetais congelados"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bebidas","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," vegetais de raiz"," leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pastelaria"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" produtos finalizados"," vinho branco"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," fruta tropical"," outros vegetais"," leite inteiro"," pão branco"," pão integral"," suco de frutas/vegetais"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," Soro de leite coalhado"," bebidas de cacau"," lanche salgado"," Pipoca","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," sobremesa","refrigerante"," lanche salgado"," waffles"," barra de bolo"," chocolate"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," Requeijão cremoso"," cereais"," comida de cão","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," sal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sobremesa"," sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," queijo macio"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," água engarrafada"," waffles"," pratos"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," leite inteiro"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante"," cerveja engarrafada"," vinho branco"," prosecco","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ervas"," doce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," presunto"," fruta tropical"," fruta pipa"," vegetais de raiz"," outros vegetais"," leite inteiro"," manteiga"," coalhada"," iogurte"," chantilly/creme de leite"," queijo macio"," queijo fatiado"," Requeijão cremoso"," Refeições congeladas"," peixe congelado"," ovos domésticos"," pão branco"," açúcar"," cereais"," suco de frutas/vegetais"," cerveja engarrafada"," waffles","","","","","","","","",""
" pãezinhos/pãezinhos"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," Requeijão cremoso"," pão semiacabado"," zwieback"," barra de bolo"," barra de especialidades"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," fruta tropical"," leite inteiro"," barrar queijo"," Margarina"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" comida de cão","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," sal"," licor (aperitivo)"," detergente"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," bagas"," vegetais de raiz"," leite inteiro"," sobremesa"," barrar queijo"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," carne bovina"," fruta pipa"," ervas"," especiarias","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," citrino"," Leite UHT"," Margarina"," açúcar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," cerveja engarrafada"," licor (aperitivo)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," água engarrafada"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," goma de mascar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," vegetais de raiz"," outros vegetais"," leite inteiro"," pratos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," pastelaria","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" manteiga"," iogurte"," água engarrafada","refrigerante"," removedor de maquiagem"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Leite condensado"," açúcar"," café"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," outros vegetais"," iogurte","refrigerante"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," bebidas"," Leite UHT","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne de porco"," carne bovina"," leite inteiro"," pãezinhos/pãezinhos"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bebidas"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" limpador"," produtos sanitários femininos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha","refrigerante"," jornais"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne bovina"," citrino"," outros vegetais"," leite inteiro"," Soro de leite coalhado"," chantilly/creme de leite"," bebidas"," queijo duro"," pãezinhos/pãezinhos"," limpador de louça"," utensílios de cozinha","","","","","","","","","","","","","","","","","","","",""
" diversos. bebidas"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vinho branco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," queijo fatiado"," pãezinhos/pãezinhos","refrigerante"," cerveja em lata"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," coalhada"," cerveja engarrafada"," barra de bolo","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne"," fruta tropical"," cebola"," óleo"," fermento em pó"," chá"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","","","","","",""
