marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento,valor
acer,2010,6,12,4,não,0,2,562,FULLHD,VA,não,250,250,ultraportatil,15586
apple,2017,6,12,16,não,0,3,569,QUADHD,OLED,não,0,1000,premium,18424
lenovo,2014,8,12,8,sim,4,1,126,FULLHD,VA,não,1000,2000,jogos_entrada,9444
hp,2017,4,4,12,sim,4,3,133,FULLHD,VA,não,0,500,jogos_entrada,8671
lenovo,2019,12,20,16,não,0,2,403,QUADHD,OLED,não,0,250,premium,22867
razer,2013,6,6,8,não,0,3,528,4K,AMOLED,não,500,250,premium,18161
razer,2012,8,12,32,sim,6,1,77,QUADHD,OLED,não,1000,2000,jogos_premium,14754
acer,2010,4,4,4,não,0,1,214,HD,TN,não,0,1000,entrada,6711
lenovo,2014,8,12,8,sim,4,4,185,FULLHD,TN,não,2000,1000,jogos_entrada,10280
huawei,2019,12,22,8,não,0,2,534,QUADHD,OLED,não,0,500,premium,18075
positivo,2013,6,7,6,não,0,2,113,HD,IPS,não,500,0,entrada,5492
positivo,2022,4,8,2,não,0,2,95,HD,IPS,não,500,500,entrada,5266
asus,2018,10,11,4,não,0,3,270,HD,TN,não,250,0,entrada,7845
apple,2013,4,5,16,não,0,2,415,QUADHD,AMOLED,não,250,250,premium,21161
samsung,2011,4,8,16,não,0,3,408,FULLHD,AMOLED,não,500,250,premium,13552
razer,2021,12,21,16,sim,6,4,64,QUADHD,AMOLED,não,0,500,jogos_premium,20541
positivo,2023,6,9,12,não,0,4,192,HD,TN,não,500,250,entrada,6602
apple,2019,12,16,16,não,0,2,414,4K,OLED,não,0,250,premium,20292
hp,2020,4,5,32,não,0,3,527,FULLHD,OLED,não,0,250,ultraportatil,19499
huawei,2023,4,7,8,não,0,3,429,QUADHD,OLED,não,0,500,premium,22358
dell,2019,12,20,8,sim,2,4,199,FULLHD,OLED,não,0,1000,jogos_entrada,9991
xiaomi,2017,8,11,16,não,0,2,558,FULLHD,AMOLED,não,0,250,premium,26103
dell,2018,12,15,12,sim,6,4,151,FULLHD,IPS,não,0,250,jogos_intermediarios,10466
lenovo,2022,12,18,32,não,0,3,130,HD,IPS,não,0,1000,intermediario,9229
xiaomi,2020,10,19,16,não,0,3,407,4K,OLED,não,0,500,premium,22770
samsung,2012,2,4,2,não,0,3,532,FULLHD,OLED,não,0,500,ultraportatil,19704
apple,2020,12,12,16,não,0,2,580,QUADHD,AMOLED,não,0,250,premium,23093
acer,2015,4,6,16,não,0,2,483,FULLHD,OLED,não,0,2000,premium,22770
lenovo,2022,12,24,16,sim,4,4,108,4K,VA,não,0,500,jogos_intermediarios,12891
acer,2015,4,8,6,não,0,4,268,HD,VA,não,250,0,intermediario,8258
positivo,2020,6,7,2,não,0,1,174,HD,TN,não,1000,0,entrada,4877
huawei,2021,10,18,8,não,0,3,570,QUADHD,OLED,não,0,1000,premium,27145
dell,2021,12,22,8,não,0,2,512,FULLHD,AMOLED,não,0,500,premium,23146
positivo,2020,12,21,64,não,0,2,106,HD,TN,não,0,250,entrada,7503
samsung,2022,8,13,6,não,0,2,169,FULLHD,AMOLED,sim,0,250,2em1,9045
samsung,2016,4,5,8,não,0,2,472,4K,AMOLED,não,0,250,premium,16686
apple,2022,6,7,8,não,0,2,566,QUADHD,OLED,não,0,250,premium,17776
xiaomi,2015,12,21,8,não,0,2,458,4K,OLED,não,0,1000,premium,24174
apple,2010,8,10,8,não,0,2,424,4K,AMOLED,não,1000,250,premium,15441
lenovo,2011,6,12,8,sim,2,4,156,FULLHD,VA,não,0,1000,jogos_entrada,9704
positivo,2023,12,15,64,não,0,4,176,HD,IPS,não,250,500,entrada,8844
xiaomi,2017,4,5,16,não,0,2,460,4K,OLED,não,0,500,premium,18679
positivo,2013,6,7,12,não,0,4,223,HD,IPS,não,1000,0,entrada,7364
asus,2013,6,7,6,não,0,3,553,FULLHD,TN,não,0,250,ultraportatil,15950
huawei,2022,4,7,8,não,0,2,417,QUADHD,AMOLED,não,0,2000,premium,15803
asus,2011,4,8,16,não,0,3,546,FULLHD,IPS,sim,250,250,premium,16234
positivo,2014,10,18,8,não,0,4,228,HD,IPS,não,2000,0,entrada,7521
dell,2017,4,8,12,não,0,2,573,FULLHD,IPS,não,0,2000,ultraportatil,20286
dell,2022,4,5,12,não,0,1,438,HD,OLED,não,0,1000,intermediario,13149
acer,2010,4,4,32,sim,6,3,153,4K,AMOLED,não,0,2000,jogos_premium,22202
positivo,2020,6,10,4,não,0,1,271,HD,TN,não,250,0,entrada,7845
acer,2017,4,6,64,não,0,2,571,FULLHD,IPS,não,0,2000,ultraportatil,20245
samsung,2017,10,19,16,não,0,2,464,4K,IPS,sim,0,2000,premium,21021
huawei,2017,6,11,8,não,0,2,481,FULLHD,OLED,não,0,2000,premium,18285
razer,2014,10,11,16,não,0,2,585,FULLHD,AMOLED,não,1000,250,premium,20148
samsung,2020,10,19,4,não,0,1,44,HD,IPS,não,0,250,entrada,4428
samsung,2016,8,14,16,não,0,2,549,HD,VA,não,2000,0,intermediario,15055
dell,2014,10,18,12,sim,2,4,64,FULLHD,OLED,não,250,250,jogos_entrada,8726
apple,2022,8,8,8,não,0,2,572,FULLHD,AMOLED,não,0,2000,premium,23085
lenovo,2011,12,16,16,sim,6,4,128,4K,AMOLED,não,1000,2000,jogos_premium,24605
samsung,2023,10,15,32,sim,6,4,101,FULLHD,AMOLED,não,0,500,jogos_premium,18408
lenovo,2010,4,4,12,não,0,2,572,FULLHD,IPS,não,500,1000,ultraportatil,16302
dell,2016,10,18,16,não,0,4,372,HD,TN,não,1000,0,entrada,9166
xiaomi,2020,4,7,16,não,0,3,572,FULLHD,AMOLED,não,0,250,premium,25326
lenovo,2017,10,19,12,não,0,2,523,FULLHD,IPS,não,0,250,ultraportatil,19554
razer,2014,10,14,16,não,0,3,417,FULLHD,OLED,não,250,250,premium,16180
huawei,2017,8,11,8,não,0,3,546,FULLHD,AMOLED,não,0,1000,premium,16173
apple,2019,10,12,8,não,0,2,460,QUADHD,AMOLED,não,0,500,premium,22210
hp,2021,10,17,4,não,0,3,583,FULLHD,TN,não,0,500,ultraportatil,17577
asus,2020,12,19,8,não,0,3,515,QUADHD,IPS,sim,0,250,premium,16151
dell,2020,8,12,8,não,0,3,444,4K,AMOLED,sim,0,2000,premium,17600
dell,2013,2,4,16,não,0,2,509,FULLHD,VA,não,1000,125,ultraportatil,18491
huawei,2015,12,20,8,não,0,2,504,FULLHD,AMOLED,não,0,2000,premium,26661
lenovo,2019,4,8,12,sim,6,4,94,FULLHD,TN,não,0,250,jogos_intermediarios,9069
dell,2021,12,24,12,sim,6,4,163,QUADHD,IPS,não,0,2000,jogos_intermediarios,13357
dell,2018,4,6,6,não,0,3,501,FULLHD,VA,não,0,250,ultraportatil,15949
razer,2020,10,14,16,não,0,2,502,4K,OLED,não,0,500,premium,25812
xiaomi,2022,4,6,8,não,0,2,475,4K,AMOLED,não,0,1000,premium,21782
dell,2013,6,9,8,sim,4,1,82,FULLHD,OLED,não,0,1000,jogos_entrada,8825
asus,2012,6,8,6,não,0,3,575,FULLHD,VA,não,2000,125,ultraportatil,18275
xiaomi,2016,8,13,16,não,0,2,522,4K,OLED,não,0,500,premium,24162
lenovo,2014,8,11,12,não,0,2,559,FULLHD,AMOLED,sim,250,250,2em1,17152
asus,2019,10,14,2,não,0,2,567,HD,IPS,não,250,0,entrada,12470
xiaomi,2015,6,9,16,não,0,3,500,QUADHD,AMOLED,não,0,500,premium,16862
apple,2010,8,16,8,não,0,3,568,4K,OLED,não,500,250,premium,24699
positivo,2015,4,8,2,não,0,4,298,HD,TN,não,250,0,entrada,7944
lenovo,2020,8,11,8,não,0,2,86,FULLHD,AMOLED,sim,0,2000,2em1,11121
huawei,2015,4,4,16,não,0,3,465,4K,OLED,não,0,1000,premium,16427
huawei,2021,8,10,8,não,0,3,580,QUADHD,OLED,não,0,250,premium,23426
huawei,2015,10,18,16,não,0,2,415,FULLHD,AMOLED,não,0,2000,premium,17900
xiaomi,2019,4,8,16,não,0,2,566,4K,OLED,não,0,250,premium,18598
xiaomi,2019,8,11,8,não,0,3,410,FULLHD,OLED,não,0,250,premium,20630
lenovo,2017,10,11,16,sim,6,2,181,FULLHD,AMOLED,não,0,500,jogos_premium,19792
samsung,2018,10,19,12,sim,6,1,71,QUADHD,TN,não,0,250,jogos_intermediarios,9473
acer,2011,6,6,16,sim,6,4,186,4K,OLED,não,250,2000,jogos_premium,25998
apple,2012,12,21,16,não,0,3,494,QUADHD,AMOLED,não,2000,250,premium,19721
dell,2023,4,5,16,sim,6,4,103,QUADHD,IPS,não,0,2000,jogos_intermediarios,9820
xiaomi,2014,10,13,16,não,0,3,406,4K,OLED,não,500,250,premium,23632
acer,2012,4,4,32,sim,6,1,165,FULLHD,OLED,não,250,250,jogos_premium,18509
lenovo,2015,10,19,16,não,0,2,433,4K,OLED,não,0,1000,premium,23406
asus,2012,10,18,16,não,0,3,567,QUADHD,AMOLED,não,250,250,premium,21249
acer,2023,8,10,8,sim,4,4,70,FULLHD,VA,não,0,250,jogos_entrada,6851
xiaomi,2010,6,7,16,não,0,2,536,4K,OLED,não,1000,250,premium,23894
razer,2010,4,6,8,não,0,2,554,4K,OLED,não,0,250,premium,24090
lenovo,2019,12,12,32,sim,6,4,183,4K,OLED,não,0,250,jogos_premium,17388
huawei,2016,6,12,8,não,0,2,435,QUADHD,OLED,não,0,250,premium,23862
lenovo,2021,6,12,32,não,0,1,483,HD,TN,não,2000,0,intermediario,13666
acer,2022,8,10,32,não,0,2,513,FULLHD,TN,não,0,250,ultraportatil,17023
samsung,2013,4,6,32,sim,6,1,165,QUADHD,OLED,não,2000,1000,jogos_premium,17437
huawei,2021,6,12,8,não,0,2,526,QUADHD,AMOLED,não,0,250,premium,18497
huawei,2015,6,11,16,não,0,3,403,4K,OLED,não,0,2000,premium,21172
samsung,2020,6,7,16,não,0,2,136,HD,TN,não,0,250,entrada,5746
asus,2014,6,7,8,não,0,2,544,FULLHD,IPS,não,2000,1000,ultraportatil,19587
xiaomi,2013,4,4,8,não,0,3,521,QUADHD,AMOLED,não,2000,250,premium,24104
acer,2019,8,9,16,sim,6,4,74,4K,OLED,não,0,2000,jogos_premium,12624
dell,2013,6,9,4,não,0,2,477,HD,TN,não,2000,0,intermediario,11282
huawei,2013,8,15,16,não,0,2,451,FULLHD,AMOLED,não,0,250,premium,16964
asus,2016,8,12,8,não,0,3,538,FULLHD,AMOLED,não,0,250,premium,21621
razer,2015,10,18,16,sim,6,3,100,QUADHD,AMOLED,não,0,1000,jogos_premium,18650
xiaomi,2014,10,17,8,não,0,3,428,FULLHD,AMOLED,não,1000,250,premium,17831
positivo,2019,8,9,12,não,0,3,204,HD,IPS,não,0,250,entrada,6894
apple,2017,4,6,8,não,0,3,435,FULLHD,OLED,não,0,250,premium,18525
dell,2013,2,4,8,sim,4,3,130,FULLHD,VA,não,500,125,jogos_entrada,6812
xiaomi,2017,4,5,8,não,0,3,455,FULLHD,OLED,não,0,250,premium,17497
acer,2022,10,19,32,sim,12,4,143,QUADHD,OLED,não,0,2000,jogos_premium,21753
dell,2013,8,14,16,sim,4,4,120,QUADHD,VA,não,500,2000,jogos_intermediarios,12265
lenovo,2016,10,13,8,não,0,3,422,4K,OLED,não,0,250,premium,23993
dell,2021,4,6,6,não,0,4,578,HD,IPS,não,250,0,intermediario,12805
huawei,2015,10,11,8,não,0,2,552,4K,AMOLED,não,0,250,premium,24484
xiaomi,2012,10,17,16,não,0,3,582,QUADHD,OLED,não,2000,250,premium,20996
samsung,2023,10,12,12,não,0,4,57,HD,VA,não,0,250,intermediario,6013
razer,2011,8,15,16,não,0,3,487,FULLHD,AMOLED,não,0,1000,premium,19389
huawei,2018,8,12,16,não,0,3,423,QUADHD,OLED,não,0,250,premium,22428
positivo,2019,4,8,64,não,0,1,110,HD,IPS,não,1000,0,entrada,5956
samsung,2022,8,14,8,não,0,1,313,HD,IPS,não,0,500,intermediario,10811
asus,2020,8,11,12,não,0,1,150,HD,IPS,não,1000,0,intermediario,6817
asus,2012,2,2,8,não,0,2,544,FULLHD,OLED,não,250,125,ultraportatil,19118
huawei,2023,6,12,16,não,0,3,447,4K,AMOLED,não,0,1000,premium,24808
samsung,2018,4,7,16,não,0,3,53,HD,TN,não,500,0,entrada,4686
huawei,2015,12,20,16,não,0,2,539,4K,AMOLED,não,0,250,premium,25049
apple,2012,12,19,16,não,0,2,563,FULLHD,AMOLED,não,1000,250,premium,21532
dell,2010,6,9,4,não,0,4,460,HD,TN,não,250,0,entrada,10532
apple,2021,6,6,16,não,0,2,545,QUADHD,AMOLED,não,0,250,premium,16850
acer,2016,8,15,8,não,0,1,522,HD,TN,não,0,250,entrada,12195
positivo,2010,2,2,12,não,0,4,128,HD,TN,não,2000,0,entrada,4830
acer,2023,12,12,16,sim,8,4,39,QUADHD,OLED,não,0,250,jogos_premium,20483
xiaomi,2010,6,6,16,não,0,2,480,QUADHD,OLED,não,2000,250,premium,22606
lenovo,2013,8,16,12,sim,6,4,71,QUADHD,VA,não,1000,500,jogos_intermediarios,10282
acer,2013,4,5,16,não,0,2,402,HD,IPS,não,0,500,entrada,9770
positivo,2011,6,9,6,não,0,4,238,HD,TN,não,500,0,entrada,6110
huawei,2018,8,14,8,não,0,2,438,4K,AMOLED,não,0,250,premium,16624
lenovo,2022,12,13,32,não,0,4,340,HD,IPS,não,1000,500,entrada,10343
dell,2023,10,18,12,sim,4,4,72,FULLHD,TN,não,0,1000,jogos_intermediarios,9759
apple,2021,10,15,8,não,0,2,531,FULLHD,OLED,não,0,2000,premium,16659
huawei,2015,12,19,16,não,0,2,585,4K,OLED,não,0,500,premium,26853
lenovo,2022,8,15,6,não,0,4,477,HD,IPS,não,1000,500,entrada,10518
razer,2020,10,20,32,sim,6,4,174,QUADHD,OLED,não,0,500,jogos_premium,18338
huawei,2012,4,7,16,não,0,2,564,FULLHD,OLED,não,500,250,premium,18302
hp,2016,10,11,12,sim,2,2,171,FULLHD,IPS,não,0,2000,jogos_entrada,9122
hp,2011,6,11,4,não,0,2,536,FULLHD,OLED,não,2000,125,ultraportatil,15930
samsung,2023,6,12,16,sim,8,4,129,4K,AMOLED,não,0,250,jogos_premium,16987
acer,2015,10,12,16,não,0,2,483,QUADHD,OLED,não,0,250,premium,15779
lenovo,2013,8,11,16,sim,6,4,134,FULLHD,OLED,não,1000,2000,jogos_intermediarios,11435
huawei,2016,6,8,8,não,0,3,533,FULLHD,AMOLED,não,0,250,premium,25399
razer,2022,10,16,16,não,0,3,538,QUADHD,OLED,não,0,500,premium,21527
xiaomi,2022,8,11,8,não,0,2,553,QUADHD,AMOLED,não,0,1000,premium,18910
razer,2010,10,12,32,sim,6,1,119,FULLHD,AMOLED,não,1000,125,jogos_premium,23936
samsung,2011,4,7,12,não,0,2,352,FULLHD,IPS,sim,1000,250,2em1,15022
xiaomi,2011,12,14,16,não,0,2,433,QUADHD,AMOLED,não,0,250,premium,18305
samsung,2014,8,9,6,não,0,3,546,FULLHD,OLED,não,500,500,ultraportatil,15889
xiaomi,2021,8,13,8,não,0,3,476,FULLHD,OLED,não,0,250,premium,16099
acer,2018,10,11,12,não,0,4,213,HD,IPS,não,250,0,entrada,7665
xiaomi,2017,8,9,8,não,0,2,518,QUADHD,AMOLED,não,0,250,premium,15397
apple,2019,12,18,8,não,0,2,550,FULLHD,AMOLED,não,0,2000,premium,19899
xiaomi,2018,8,10,8,não,0,2,487,QUADHD,OLED,não,0,250,premium,16014
xiaomi,2013,12,14,8,não,0,2,516,FULLHD,AMOLED,não,250,250,premium,24635
lenovo,2022,8,12,64,não,0,3,542,HD,IPS,não,250,500,entrada,13704
lenovo,2019,10,11,32,sim,6,4,47,QUADHD,OLED,não,0,250,jogos_premium,18580
lenovo,2012,4,5,6,não,0,2,510,FULLHD,TN,não,0,250,ultraportatil,14454
xiaomi,2017,8,11,16,não,0,2,551,QUADHD,OLED,não,0,250,premium,19525
dell,2013,6,8,6,não,0,2,545,FULLHD,VA,não,2000,125,ultraportatil,18322
razer,2012,6,7,32,sim,6,1,122,4K,AMOLED,não,250,1000,jogos_premium,24760
samsung,2016,4,7,12,sim,4,2,33,QUADHD,IPS,não,0,2000,jogos_intermediarios,10442
hp,2017,12,13,12,sim,6,4,83,4K,IPS,não,0,1000,jogos_intermediarios,11015
dell,2020,6,9,64,não,0,2,88,FULLHD,AMOLED,sim,0,1000,2em1,12930
positivo,2012,2,2,12,não,0,1,38,HD,TN,não,2000,0,entrada,3428
samsung,2012,4,7,8,sim,4,4,138,FULLHD,OLED,não,1000,250,jogos_entrada,9138
hp,2020,8,12,8,não,0,2,548,FULLHD,TN,não,0,1000,ultraportatil,14644
acer,2013,6,11,16,sim,6,4,103,FULLHD,TN,não,250,250,jogos_intermediarios,9973
samsung,2019,10,13,2,não,0,1,385,HD,TN,não,500,0,intermediario,10542
positivo,2019,8,13,64,não,0,4,175,HD,IPS,não,1000,0,entrada,8327
xiaomi,2021,10,20,16,não,0,3,468,4K,OLED,não,0,1000,premium,23366
lenovo,2015,6,7,12,não,0,4,591,HD,IPS,não,250,0,entrada,12333
lenovo,2023,4,7,16,não,0,3,539,FULLHD,AMOLED,sim,0,250,2em1,18124
hp,2022,10,20,12,sim,2,4,169,FULLHD,VA,não,0,1000,jogos_entrada,10272
positivo,2021,12,15,2,não,0,2,81,HD,TN,não,1000,0,entrada,4548
acer,2014,6,6,8,não,0,2,586,QUADHD,OLED,não,500,250,premium,18708
positivo,2012,2,4,16,não,0,2,239,HD,IPS,não,250,0,entrada,6500
dell,2021,6,10,32,sim,6,4,117,4K,OLED,não,0,250,jogos_premium,23825
xiaomi,2023,12,20,16,não,0,3,537,4K,OLED,não,0,250,premium,22968
dell,2015,6,10,12,não,0,3,204,FULLHD,AMOLED,sim,0,2000,2em1,11628
apple,2014,8,9,8,não,0,3,593,FULLHD,OLED,não,500,250,premium,18735
lenovo,2013,4,8,6,não,0,2,521,FULLHD,OLED,não,0,1000,ultraportatil,18079
positivo,2010,2,2,12,não,0,4,49,HD,TN,não,1000,0,entrada,4004
razer,2020,12,12,8,não,0,2,476,4K,OLED,não,0,250,premium,23346
hp,2016,6,11,32,não,0,2,503,FULLHD,IPS,não,0,250,ultraportatil,14462
huawei,2010,6,7,8,não,0,2,414,FULLHD,AMOLED,não,250,250,premium,23028
xiaomi,2015,12,21,8,não,0,2,480,QUADHD,OLED,não,0,500,premium,22431
dell,2023,6,6,2,não,0,2,273,HD,IPS,não,0,250,entrada,7097
razer,2014,12,19,16,sim,6,1,183,QUADHD,AMOLED,não,0,2000,jogos_premium,24531
huawei,2015,6,12,16,não,0,3,442,QUADHD,OLED,não,0,250,premium,21568
apple,2022,4,4,8,não,0,2,506,FULLHD,AMOLED,não,0,1000,premium,17611
xiaomi,2011,4,4,16,não,0,3,413,QUADHD,OLED,não,1000,250,premium,23511
asus,2014,8,12,8,não,0,4,530,HD,OLED,não,1000,0,intermediario,14200
huawei,2020,10,16,8,não,0,3,476,QUADHD,AMOLED,não,0,1000,premium,15892
positivo,2023,12,19,12,não,0,1,32,HD,IPS,não,1000,500,entrada,5119
lenovo,2020,6,6,16,sim,6,4,84,4K,OLED,não,0,250,jogos_premium,13623
dell,2014,10,11,12,sim,6,3,186,QUADHD,VA,não,2000,250,jogos_intermediarios,12786
asus,2020,4,6,2,não,0,3,583,FULLHD,IPS,não,0,500,ultraportatil,18598
xiaomi,2013,8,15,16,não,0,3,522,4K,OLED,não,2000,250,premium,25688
apple,2021,4,4,8,não,0,2,558,QUADHD,AMOLED,não,0,1000,premium,17884
asus,2018,10,19,2,não,0,3,210,HD,OLED,não,0,2000,intermediario,9343
xiaomi,2022,12,22,16,não,0,3,539,QUADHD,AMOLED,não,0,2000,premium,19249
acer,2021,6,9,12,sim,4,4,81,QUADHD,IPS,não,0,1000,jogos_intermediarios,10234
xiaomi,2021,12,14,16,não,0,3,521,QUADHD,AMOLED,não,0,2000,premium,25320
positivo,2011,6,8,16,não,0,4,83,HD,IPS,não,500,0,entrada,4222
hp,2023,12,17,8,sim,4,4,167,FULLHD,IPS,não,0,250,jogos_entrada,9425
hp,2015,10,11,16,não,0,2,520,FULLHD,IPS,não,0,250,ultraportatil,19957
xiaomi,2023,4,6,8,não,0,2,423,4K,AMOLED,não,0,2000,premium,14676
hp,2020,6,8,16,não,0,2,525,FULLHD,OLED,não,0,250,ultraportatil,16447
dell,2014,10,17,16,não,0,3,474,FULLHD,IPS,sim,2000,250,premium,20952
